Planner,P2,Problem,Time,# Steps
yrefanid,GRT,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.45,18
yrefanid,GRT,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.44,17
yrefanid,GRT,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.44,15
yrefanid,GRT,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.45,18
yrefanid,GRT,mixed-f10-p5-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.45,19
yrefanid,GRT,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.49,20
yrefanid,GRT,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.48,20
yrefanid,GRT,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.48,23
yrefanid,GRT,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.48,20
yrefanid,GRT,mixed-f12-p6-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.49,22
yrefanid,GRT,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.52,25
yrefanid,GRT,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.53,27
yrefanid,GRT,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.54,23
yrefanid,GRT,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.56,24
yrefanid,GRT,mixed-f14-p7-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.54,25
yrefanid,GRT,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.6,29
yrefanid,GRT,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.59,29
yrefanid,GRT,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.61,27
yrefanid,GRT,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.61,29
yrefanid,GRT,mixed-f16-p8-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.63,29
yrefanid,GRT,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.73,33
yrefanid,GRT,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.69,33
yrefanid,GRT,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.72,33
yrefanid,GRT,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.7,32
yrefanid,GRT,mixed-f18-p9-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.72,29
yrefanid,GRT,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.4,4
yrefanid,GRT,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.4,3
yrefanid,GRT,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.4,4
yrefanid,GRT,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.42,4
yrefanid,GRT,mixed-f2-p1-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.4,4
yrefanid,GRT,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.84,34
yrefanid,GRT,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.81,33
yrefanid,GRT,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.83,36
yrefanid,GRT,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.8,35
yrefanid,GRT,mixed-f20-p10-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.85,35
yrefanid,GRT,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,1,41
yrefanid,GRT,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,1.01,35
yrefanid,GRT,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.98,40
yrefanid,GRT,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.99,38
yrefanid,GRT,mixed-f22-p11-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,1.04,38
yrefanid,GRT,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,1.15,41
yrefanid,GRT,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,1.26,43
yrefanid,GRT,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,1.2,43
yrefanid,GRT,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,1.18,43
yrefanid,GRT,mixed-f24-p12-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,1.2,41
yrefanid,GRT,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,1.31,45
yrefanid,GRT,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,1.44,42
yrefanid,GRT,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,1.39,47
yrefanid,GRT,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,1.53,45
yrefanid,GRT,mixed-f26-p13-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,1.45,44
yrefanid,GRT,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,1.8,47
yrefanid,GRT,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,1.81,52
yrefanid,GRT,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,1.72,51
yrefanid,GRT,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,1.84,46
yrefanid,GRT,mixed-f28-p14-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,1.8,48
yrefanid,GRT,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,2.22,49
yrefanid,GRT,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,2.11,56
yrefanid,GRT,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,2.21,53
yrefanid,GRT,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,2.19,55
yrefanid,GRT,mixed-f30-p15-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,2.14,51
yrefanid,GRT,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,2.38,55
yrefanid,GRT,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,2.55,52
yrefanid,GRT,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,2.53,57
yrefanid,GRT,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,2.63,56
yrefanid,GRT,mixed-f32-p16-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,2.7,54
yrefanid,GRT,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,3.06,60
yrefanid,GRT,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,2.9,58
yrefanid,GRT,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,3.15,58
yrefanid,GRT,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,3.18,61
yrefanid,GRT,mixed-f34-p17-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,3.17,58
yrefanid,GRT,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,3.64,63
yrefanid,GRT,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,3.56,62
yrefanid,GRT,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,3.73,62
yrefanid,GRT,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,3.67,64
yrefanid,GRT,mixed-f36-p18-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,3.57,62
yrefanid,GRT,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,4.47,69
yrefanid,GRT,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,4.5,69
yrefanid,GRT,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,4.19,65
yrefanid,GRT,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,4.31,68
yrefanid,GRT,mixed-f38-p19-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,4.55,67
yrefanid,GRT,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,0.4,7
yrefanid,GRT,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,0.4,7
yrefanid,GRT,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,0.41,7
yrefanid,GRT,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,0.4,7
yrefanid,GRT,mixed-f4-p2-u0-v0-g0-a0-n0-a0-b0-n0-f0-r4,0.4,8
yrefanid,GRT,mixed-f40-p20-u0-v0-g0-a0-n0-a0-b0-n0-f0-r0,4.92,70
yrefanid,GRT,mixed-f40-p20-u0-v0-g0-a0-n0-a0-b0-n0-f0-r1,5.17,69
yrefanid,GRT,mixed-f40-p20-u0-v0-g0-a0-n0-a0-b0-n0-f0-r2,5.29,67
yrefanid,GRT,mixed-f40-p20-u0-v0-g0-a0-n0-a0-b0-n0-f0-r3,5.3,70
