Comp,Dom,gn
IPC98,gripper,strips-gripper-x-1
IPC98,gripper,strips-gripper-x-2
IPC98,gripper,strips-gripper-x-3
IPC98,gripper,strips-gripper-x-4
IPC98,gripper,strips-gripper-x-5
IPC98,gripper,strips-gripper-x-6
IPC98,gripper,strips-gripper-x-7
IPC98,gripper,strips-gripper-x-8
IPC98,gripper,strips-gripper-x-9
IPC98,gripper,strips-gripper-x-10
IPC98,gripper,strips-gripper-x-11
IPC98,gripper,strips-gripper-x-12
IPC98,gripper,strips-gripper-x-13
IPC98,gripper,strips-gripper-x-14
IPC98,gripper,strips-gripper-x-15
IPC98,gripper,strips-gripper-x-16
IPC98,gripper,strips-gripper-x-17
IPC98,gripper,strips-gripper-x-18
IPC98,gripper,strips-gripper-x-19
IPC98,gripper,strips-gripper-x-20
IPC98,logistics,strips-log-x-1
IPC98,logistics,strips-log-x-2
IPC98,logistics,strips-log-x-3
IPC98,logistics,strips-log-x-4
IPC98,logistics,strips-log-x-5
IPC98,logistics,strips-log-x-6
IPC98,logistics,strips-log-x-7
IPC98,logistics,strips-log-x-8
IPC98,logistics,strips-log-x-9
IPC98,logistics,strips-log-x-10
IPC98,logistics,strips-log-x-11
IPC98,logistics,strips-log-x-12
IPC98,logistics,strips-log-x-13
IPC98,logistics,strips-log-x-14
IPC98,logistics,strips-log-x-15
IPC98,logistics,strips-log-x-16
IPC98,logistics,strips-log-x-17
IPC98,logistics,strips-log-x-18
IPC98,logistics,strips-log-x-19
IPC98,logistics,strips-log-x-20
IPC98,logistics,strips-log-x-21
IPC98,logistics,strips-log-x-22
IPC98,logistics,strips-log-x-23
IPC98,logistics,strips-log-x-24
IPC98,logistics,strips-log-x-25
IPC98,logistics,strips-log-x-26
IPC98,logistics,strips-log-x-27
IPC98,logistics,strips-log-x-28
IPC98,logistics,strips-log-x-29
IPC98,logistics,strips-log-x-30
IPC98,logistics,strips-log-y-1
IPC98,logistics,strips-log-y-2
IPC98,logistics,strips-log-y-3
IPC98,logistics,strips-log-y-4
IPC98,logistics,strips-log-y-5
IPC98,movie,strips-movie-x-1
IPC98,movie,strips-movie-x-2
IPC98,movie,strips-movie-x-3
IPC98,movie,strips-movie-x-4
IPC98,movie,strips-movie-x-5
IPC98,movie,strips-movie-x-6
IPC98,movie,strips-movie-x-7
IPC98,movie,strips-movie-x-8
IPC98,movie,strips-movie-x-9
IPC98,movie,strips-movie-x-10
IPC98,movie,strips-movie-x-11
IPC98,movie,strips-movie-x-12
IPC98,movie,strips-movie-x-13
IPC98,movie,strips-movie-x-14
IPC98,movie,strips-movie-x-15
IPC98,movie,strips-movie-x-16
IPC98,movie,strips-movie-x-17
IPC98,movie,strips-movie-x-18
IPC98,movie,strips-movie-x-19
IPC98,movie,strips-movie-x-20
IPC98,movie,strips-movie-x-21
IPC98,movie,strips-movie-x-22
IPC98,movie,strips-movie-x-23
IPC98,movie,strips-movie-x-24
IPC98,movie,strips-movie-x-25
IPC98,movie,strips-movie-x-26
IPC98,movie,strips-movie-x-27
IPC98,movie,strips-movie-x-28
IPC98,movie,strips-movie-x-29
IPC98,movie,strips-movie-x-30
IPC98,mprime,strips-mprime-x-1
IPC98,mprime,strips-mprime-x-2
IPC98,mprime,strips-mprime-x-3
IPC98,mprime,strips-mprime-x-4
IPC98,mprime,strips-mprime-x-5
IPC98,mprime,strips-mprime-x-6
IPC98,mprime,strips-mprime-x-7
IPC98,mprime,strips-mprime-x-8
IPC98,mprime,strips-mprime-x-9
IPC98,mprime,strips-mprime-x-10
IPC98,mprime,strips-mprime-x-11
IPC98,mprime,strips-mprime-x-12
IPC98,mprime,strips-mprime-x-13
IPC98,mprime,strips-mprime-x-14
IPC98,mprime,strips-mprime-x-15
IPC98,mprime,strips-mprime-x-16
IPC98,mprime,strips-mprime-x-17
IPC98,mprime,strips-mprime-x-18
IPC98,mprime,strips-mprime-x-19
IPC98,mprime,strips-mprime-x-20
IPC98,mprime,strips-mprime-x-21
IPC98,mprime,strips-mprime-x-22
IPC98,mprime,strips-mprime-x-23
IPC98,mprime,strips-mprime-x-24
IPC98,mprime,strips-mprime-x-25
IPC98,mprime,strips-mprime-x-26
IPC98,mprime,strips-mprime-x-27
IPC98,mprime,strips-mprime-x-28
IPC98,mprime,strips-mprime-x-29
IPC98,mprime,strips-mprime-x-30
IPC98,mprime,strips-mprime-y-1
IPC98,mprime,strips-mprime-y-2
IPC98,mprime,strips-mprime-y-3
IPC98,mprime,strips-mprime-y-4
IPC98,mprime,strips-mprime-y-5
IPC98,mystery,strips-mysty-x-1
IPC98,mystery,strips-mysty-x-2
IPC98,mystery,strips-mysty-x-3
IPC98,mystery,strips-mysty-x-4
IPC98,mystery,strips-mysty-x-5
IPC98,mystery,strips-mysty-x-6
IPC98,mystery,strips-mysty-x-7
IPC98,mystery,strips-mysty-x-8
IPC98,mystery,strips-mysty-x-9
IPC98,mystery,strips-mysty-x-10
IPC98,mystery,strips-mysty-x-11
IPC98,mystery,strips-mysty-x-12
