competition, planner, domain, pn, steps, time
IPC2002, FF.quality, Depots, pfile1, 10, 0
IPC2002, FF.quality, Depots, pfile2, 15, 10
IPC2002, FF.quality, Depots, pfile3, 37, 150
IPC2002, FF.quality, Depots, pfile4, 38, 73250
IPC2002, FF.quality, Depots, pfile5, 94, 256790
IPC2002, FF.quality, Depots, pfile7, 23, 70
IPC2002, FF.quality, Depots, pfile8, 43, 107590
IPC2002, FF.quality, Depots, pfile9, 99, 135350
IPC2002, FF.quality, Depots, pfile10, 32, 16810
IPC2002, FF.quality, Depots, pfile11, 73, 271280
IPC2002, FF.speed, Depots, pfile1, 10, 0
IPC2002, FF.speed, Depots, pfile2, 15, 10
IPC2002, FF.speed, Depots, pfile3, 37, 30
IPC2002, FF.speed, Depots, pfile4, 30, 596930
IPC2002, FF.speed, Depots, pfile5, 72, 52090
IPC2002, FF.speed, Depots, pfile6, 91, 682890
IPC2002, FF.speed, Depots, pfile7, 27, 30
IPC2002, FF.speed, Depots, pfile8, 44, 1168330
IPC2002, FF.speed, Depots, pfile9, 75, 1860
IPC2002, FF.speed, Depots, pfile10, 29, 101310
IPC2002, FF.speed, Depots, pfile11, 63, 390
IPC2002, FF.speed, Depots, pfile12, 94, 9800
IPC2002, FF.speed, Depots, pfile13, 26, 40
IPC2002, FF.speed, Depots, pfile14, 37, 260
IPC2002, FF.speed, Depots, pfile15, 85, 46850
IPC2002, FF.speed, Depots, pfile16, 28, 60
IPC2002, FF.speed, Depots, pfile17, 38, 1840
IPC2002, FF.speed, Depots, pfile18, 60, 1760
IPC2002, FF.speed, Depots, pfile19, 47, 450
IPC2002, FF.speed, Depots, pfile20, 98, 31090
IPC2002, FF.speed, Depots, pfile21, 32, 690
IPC2002, FF.speed, Depots, pfile22, 102, 102960
IPC2002, LPG, Depots, pfile1, 10, 20
IPC2002, LPG, Depots, pfile2, 15, 40
IPC2002, LPG, Depots, pfile3, 28, 60
IPC2002, LPG, Depots, pfile4, 31, 250
IPC2002, LPG, Depots, pfile5, 74, 75460
IPC2002, LPG, Depots, pfile7, 23, 180
IPC2002, LPG, Depots, pfile8, 37, 4170
IPC2002, LPG, Depots, pfile9, 84, 3180
IPC2002, LPG, Depots, pfile10, 24, 1170
IPC2002, LPG, Depots, pfile11, 49, 23490
IPC2002, LPG, Depots, pfile12, 94, 114920
IPC2002, LPG, Depots, pfile13, 25, 140
IPC2002, LPG, Depots, pfile14, 32, 4420
IPC2002, LPG, Depots, pfile15, 90, 5450
IPC2002, LPG, Depots, pfile16, 26, 180
IPC2002, LPG, Depots, pfile17, 24, 3400
IPC2002, LPG, Depots, pfile18, 100, 66280
IPC2002, LPG, Depots, pfile19, 43, 1720
IPC2002, LPG, Depots, pfile20, 87, 40070
IPC2002, LPG, Depots, pfile21, 35, 2950
IPC2002, LPG, Depots, pfile22, 127, 81250
IPC2002, LPG.quality, Depots, pfile1, 10, 20
IPC2002, LPG.quality, Depots, pfile2, 15, 40
IPC2002, LPG.quality, Depots, pfile3, 27, 4180
IPC2002, LPG.quality, Depots, pfile4, 30, 8630
IPC2002, LPG.quality, Depots, pfile5, 46, 357080
IPC2002, LPG.quality, Depots, pfile7, 21, 380
IPC2002, LPG.quality, Depots, pfile8, 35, 164160
IPC2002, LPG.quality, Depots, pfile9, 74, 95290
IPC2002, LPG.quality, Depots, pfile10, 24, 1170
IPC2002, LPG.quality, Depots, pfile11, 48, 174470
IPC2002, LPG.quality, Depots, pfile12, 77, 117900
IPC2002, LPG.quality, Depots, pfile13, 25, 140
IPC2002, LPG.quality, Depots, pfile14, 31, 121390
IPC2002, LPG.quality, Depots, pfile15, 72, 12050
IPC2002, LPG.quality, Depots, pfile16, 25, 70520
IPC2002, LPG.quality, Depots, pfile17, 23, 71910
IPC2002, LPG.quality, Depots, pfile18, 100, 66280
IPC2002, LPG.quality, Depots, pfile19, 42, 2170
IPC2002, LPG.quality, Depots, pfile20, 82, 78370
IPC2002, LPG.quality, Depots, pfile21, 34, 5850
IPC2002, LPG.quality, Depots, pfile22, 114, 396710
IPC2002, LPG.speed, Depots, pfile1, 10, 20
IPC2002, LPG.speed, Depots, pfile2, 16, 30
IPC2002, LPG.speed, Depots, pfile3, 28, 60
IPC2002, LPG.speed, Depots, pfile4, 31, 250
IPC2002, LPG.speed, Depots, pfile5, 85, 4340
IPC2002, LPG.speed, Depots, pfile7, 26, 60
IPC2002, LPG.speed, Depots, pfile8, 43, 720
IPC2002, LPG.speed, Depots, pfile9, 84, 3180
IPC2002, LPG.speed, Depots, pfile10, 28, 90
IPC2002, LPG.speed, Depots, pfile11, 57, 1630
IPC2002, LPG.speed, Depots, pfile12, 126, 53800
IPC2002, LPG.speed, Depots, pfile13, 25, 140
IPC2002, LPG.speed, Depots, pfile14, 34, 520
IPC2002, LPG.speed, Depots, pfile15, 90, 5450
IPC2002, LPG.speed, Depots, pfile16, 26, 180
IPC2002, LPG.speed, Depots, pfile17, 28, 510
IPC2002, LPG.speed, Depots, pfile18, 122, 23740
IPC2002, LPG.speed, Depots, pfile19, 49, 750
IPC2002, LPG.speed, Depots, pfile20, 145, 23820
IPC2002, LPG.speed, Depots, pfile21, 36, 2600
IPC2002, LPG.speed, Depots, pfile22, 127, 81250
IPC2002, MIPS, Depots, pfile1, 13, 270
