competition, planner, domain, pn, steps, time
IPC2002, FF.quality, Depots, depotprob1818, 10, 0
IPC2002, FF.quality, Depots, depotprob7512, 15, 10
IPC2002, FF.quality, Depots, depotprob1935, 37, 150
IPC2002, FF.quality, Depots, depotprob6512, 38, 73250
IPC2002, FF.quality, Depots, depotprob1212, 94, 256790
IPC2002, FF.quality, Depots, depotprob1234, 23, 70
IPC2002, FF.quality, Depots, depotprob4321, 43, 107590
IPC2002, FF.quality, Depots, depotprob5451, 99, 135350
IPC2002, FF.quality, Depots, depotprob18180, 32, 16810
IPC2002, FF.quality, Depots, depotprob18181, 73, 271280
IPC2002, FF.speed, Depots, depotprob1818, 10, 0
IPC2002, FF.speed, Depots, depotprob7512, 15, 10
IPC2002, FF.speed, Depots, depotprob1935, 37, 30
IPC2002, FF.speed, Depots, depotprob6512, 30, 596930
IPC2002, FF.speed, Depots, depotprob1212, 72, 52090
IPC2002, FF.speed, Depots, depotprob5656, 91, 682890
IPC2002, FF.speed, Depots, depotprob1234, 27, 30
IPC2002, FF.speed, Depots, depotprob4321, 44, 1168330
IPC2002, FF.speed, Depots, depotprob5451, 75, 1860
IPC2002, FF.speed, Depots, depotprob18180, 29, 101310
IPC2002, FF.speed, Depots, depotprob18181, 63, 390
IPC2002, FF.speed, Depots, depotprob18182, 94, 9800
IPC2002, FF.speed, Depots, depotprob18183, 26, 40
IPC2002, FF.speed, Depots, depotprob18184, 37, 260
IPC2002, FF.speed, Depots, depotprob18185, 85, 46850
IPC2002, FF.speed, Depots, depotprob18186, 28, 60
IPC2002, FF.speed, Depots, depotprob18187, 38, 1840
IPC2002, FF.speed, Depots, depotprob18188, 60, 1760
IPC2002, FF.speed, Depots, depotprob18189, 47, 450
IPC2002, FF.speed, Depots, depotprob75120, 98, 31090
IPC2002, FF.speed, Depots, depotprob75121, 32, 690
IPC2002, FF.speed, Depots, depotprob75122, 102, 102960
IPC2002, LPG, Depots, depotprob1818, 10, 20
IPC2002, LPG, Depots, depotprob7512, 15, 40
IPC2002, LPG, Depots, depotprob1935, 28, 60
IPC2002, LPG, Depots, depotprob6512, 31, 250
IPC2002, LPG, Depots, depotprob1212, 74, 75460
IPC2002, LPG, Depots, depotprob1234, 23, 180
