com,domain,planner,cdkey,akey,gn,pkey,fkey,solved,steps,time
IPC2002,Depots,FF.quality,IPC2002-Depots,IPC2002-Depots-FF.quality,depotprob1818,IPC2002-Depots-depotprob1818,IPC2002-Depots-FF.quality-depotprob1818,1,10,0
IPC2002,Depots,FF.quality,IPC2002-Depots,IPC2002-Depots-FF.quality,depotprob7512,IPC2002-Depots-depotprob7512,IPC2002-Depots-FF.quality-depotprob7512,1,15,10
IPC2002,Depots,FF.quality,IPC2002-Depots,IPC2002-Depots-FF.quality,depotprob1935,IPC2002-Depots-depotprob1935,IPC2002-Depots-FF.quality-depotprob1935,1,37,150
IPC2002,Depots,FF.quality,IPC2002-Depots,IPC2002-Depots-FF.quality,depotprob6512,IPC2002-Depots-depotprob6512,IPC2002-Depots-FF.quality-depotprob6512,1,38,73250
IPC2002,Depots,FF.quality,IPC2002-Depots,IPC2002-Depots-FF.quality,depotprob1212,IPC2002-Depots-depotprob1212,IPC2002-Depots-FF.quality-depotprob1212,1,94,256790
IPC2002,Depots,FF.quality,IPC2002-Depots,IPC2002-Depots-FF.quality,depotprob1234,IPC2002-Depots-depotprob1234,IPC2002-Depots-FF.quality-depotprob1234,1,23,70
IPC2002,Depots,FF.quality,IPC2002-Depots,IPC2002-Depots-FF.quality,depotprob4321,IPC2002-Depots-depotprob4321,IPC2002-Depots-FF.quality-depotprob4321,1,43,107590
IPC2002,Depots,FF.quality,IPC2002-Depots,IPC2002-Depots-FF.quality,depotprob5451,IPC2002-Depots-depotprob5451,IPC2002-Depots-FF.quality-depotprob5451,1,99,135350
IPC2002,Depots,FF.quality,IPC2002-Depots,IPC2002-Depots-FF.quality,depotprob18180,IPC2002-Depots-depotprob18180,IPC2002-Depots-FF.quality-depotprob18180,1,32,16810
IPC2002,Depots,FF.quality,IPC2002-Depots,IPC2002-Depots-FF.quality,depotprob18181,IPC2002-Depots-depotprob18181,IPC2002-Depots-FF.quality-depotprob18181,1,73,271280
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob1818,IPC2002-Depots-depotprob1818,IPC2002-Depots-FF.speed-depotprob1818,1,10,0
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob7512,IPC2002-Depots-depotprob7512,IPC2002-Depots-FF.speed-depotprob7512,1,15,10
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob1935,IPC2002-Depots-depotprob1935,IPC2002-Depots-FF.speed-depotprob1935,1,37,30
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob6512,IPC2002-Depots-depotprob6512,IPC2002-Depots-FF.speed-depotprob6512,1,30,596930
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob1212,IPC2002-Depots-depotprob1212,IPC2002-Depots-FF.speed-depotprob1212,1,72,52090
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob5656,IPC2002-Depots-depotprob5656,IPC2002-Depots-FF.speed-depotprob5656,1,91,682890
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob1234,IPC2002-Depots-depotprob1234,IPC2002-Depots-FF.speed-depotprob1234,1,27,30
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob4321,IPC2002-Depots-depotprob4321,IPC2002-Depots-FF.speed-depotprob4321,1,44,1168330
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob5451,IPC2002-Depots-depotprob5451,IPC2002-Depots-FF.speed-depotprob5451,1,75,1860
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob18180,IPC2002-Depots-depotprob18180,IPC2002-Depots-FF.speed-depotprob18180,1,29,101310
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob18181,IPC2002-Depots-depotprob18181,IPC2002-Depots-FF.speed-depotprob18181,1,63,390
IPC2002,Depots,FF.speed,IPC2002-Depots,IPC2002-Depots-FF.speed,depotprob18182,IPC2002-Depots-depotprob18182,IPC2002-Depots-FF.speed-depotprob18182,1,94,9800
