id,gn,name,hash,time,type,ind,iid,iod,idd,ixd,isd,otd,oid,ood,odd,oxd,osd,ad,bc
17_7885061,strips-gripper-x-12,carry_ball2_right,7885061,17,f,34,3,0,2,29,0,34,3,0,2,29,0,37,0
18_3764290,strips-gripper-x-12,pick_ball25_rooma_right,3764290,18,a,198,6,0,2,190,0,193,1,0,2,190,0,199,0
33_3507844,strips-gripper-x-12,ball_ball11,3507844,33,f,1,1,0,0,0,0,9,9,0,0,0,0,10,0
35_7129619,strips-gripper-x-12,drop_ball10_rooma_right,7129619,35,a,196,5,0,1,190,0,193,2,0,1,190,0,198,0
22_7498643,strips-gripper-x-12,free_left,7498643,22,f,131,53,0,52,26,0,131,53,0,52,26,0,184,0
4_3156708,strips-gripper-x-12,noop_at_ball4_rooma,3156708,4,a,12,1,0,0,11,0,12,1,0,0,11,0,13,0
32_3465778,strips-gripper-x-12,drop_ball1_roomb_right,3465778,32,a,196,5,0,1,190,0,193,2,0,1,190,0,198,0
1_5318369,strips-gripper-x-12,pick_ball7_rooma_left,5318369,1,a,93,6,0,2,85,0,88,1,0,2,85,0,94,0
15_1540694,strips-gripper-x-12,pick_ball25_roomb_right,1540694,15,a,198,6,0,2,190,0,193,1,0,2,190,0,199,0
5_1993940,strips-gripper-x-12,drop_ball18_roomb_left,1993940,5,a,196,5,0,1,190,0,193,2,0,1,190,0,198,0
32_2108121,strips-gripper-x-12,pick_ball5_roomb_right,2108121,32,a,198,6,0,2,190,0,193,1,0,2,190,0,199,0
23_39705,strips-gripper-x-12,noop_at_ball9_rooma,39705,23,a,12,1,0,0,11,0,12,1,0,0,11,0,13,0
9_5304439,strips-gripper-x-12,drop_ball22_rooma_left,5304439,9,a,196,5,0,1,190,0,193,2,0,1,190,0,198,0
8_7603900,strips-gripper-x-12,noop_at_ball2_rooma,7603900,8,a,12,1,0,0,11,0,12,1,0,0,11,0,13,0
13_6672723,strips-gripper-x-12,drop_ball25_rooma_left,6672723,13,a,196,5,0,1,190,0,193,2,0,1,190,0,198,0
27_7887090,strips-gripper-x-12,carry_ball22_right,7887090,27,f,34,3,0,2,29,0,34,3,0,2,29,0,37,0
4_953266,strips-gripper-x-12,pick_ball26_roomb_right,953266,4,a,198,6,0,2,190,0,193,1,0,2,190,0,199,0
30_3720326,strips-gripper-x-12,carry_ball1_left,3720326,30,f,34,3,0,2,29,0,34,3,0,2,29,0,37,0
35_2430195,strips-gripper-x-12,drop_ball18_rooma_right,2430195,35,a,196,5,0,1,190,0,193,2,0,1,190,0,198,0
33_3173407,strips-gripper-x-12,pick_ball21_rooma_left,3173407,33,a,198,6,0,2,190,0,193,1,0,2,190,0,199,0
8_1144461,strips-gripper-x-12,drop_ball9_roomb_left,1144461,8,a,196,5,0,1,190,0,193,2,0,1,190,0,198,0
6_1185277,strips-gripper-x-12,carry_ball5_left,1185277,6,f,34,3,0,2,29,0,34,3,0,2,29,0,37,0
37_4360233,strips-gripper-x-12,noop_at_ball20_roomb,4360233,37,a,12,1,0,0,11,0,12,1,0,0,11,0,13,0
28_3507851,strips-gripper-x-12,ball_ball18,3507851,28,f,1,1,0,0,0,0,9,9,0,0,0,0,10,0
24_164498,strips-gripper-x-12,drop_ball4_rooma_left,164498,24,a,196,5,0,1,190,0,193,2,0,1,190,0,198,0
