id,gn,name,hash,time,type,ind,iid,iod,idd,ixd,isd,otd,oid,ood,odd,oxd,osd,ad,bc
7_2419858,strips-log-x-7,unload-airplane_package1_plane6_city6-2,2419858,7,a,490,5,0,1,484,0,486,1,0,1,484,0,491,0
1_7424275,strips-log-x-7,obj_package10,7424275,1,f,1,1,0,0,0,0,9,9,0,0,0,0,10,0
1_1339949,strips-log-x-7,noop_at_plane1_city3-2,1339949,1,a,133,1,0,0,132,0,133,1,0,0,132,0,134,0
5_4257477,strips-log-x-7,load-airplane_package7_plane5_city10-2,4257477,5,a,482,5,0,1,476,0,478,1,0,1,476,0,483,0
7_3507680,strips-log-x-7,noop_at_truck9_city9-2,3507680,7,a,23,1,0,0,22,0,23,1,0,0,22,0,24,0
8_47041,strips-log-x-7,in_package10_truck4,47041,8,f,43,3,0,2,38,0,43,3,0,2,38,0,46,0
8_1579215,strips-log-x-7,noop_at_package3_city5-1,1579215,8,a,215,1,0,0,214,0,215,1,0,0,214,0,216,0
8_2488951,strips-log-x-7,noop_at_package8_city11-2,2488951,8,a,215,1,0,0,214,0,215,1,0,0,214,0,216,0
7_3174091,strips-log-x-7,load-airplane_package7_plane4_city8-2,3174091,7,a,520,5,0,1,514,0,516,1,0,1,514,0,521,0
3_3948486,strips-log-x-7,unload-airplane_package3_plane4_city5-2,3948486,3,a,553,5,0,1,547,0,549,1,0,1,547,0,554,0
8_7899812,strips-log-x-7,unload-airplane_package7_plane4_city4-2,7899812,8,a,520,5,0,1,514,0,516,1,0,1,514,0,521,0
6_7147286,strips-log-x-7,load-airplane_package10_plane3_city6-2,7147286,6,a,520,5,0,1,514,0,516,1,0,1,514,0,521,0
7_1596325,strips-log-x-7,fly-airplane_plane3_city9-2_city10-2,1596325,7,a,345,4,0,1,340,0,342,1,0,1,340,0,346,0
7_6682615,strips-log-x-7,unload-airplane_package2_plane4_city1-2,6682615,7,a,520,5,0,1,514,0,516,1,0,1,514,0,521,0
6_3954334,strips-log-x-7,unload-airplane_package7_plane3_city8-2,3954334,6,a,520,5,0,1,514,0,516,1,0,1,514,0,521,0
8_3616594,strips-log-x-7,load-airplane_package4_plane2_city6-2,3616594,8,a,520,5,0,1,514,0,516,1,0,1,514,0,521,0
6_1471021,strips-log-x-7,noop_at_plane1_city5-2,1471021,6,a,321,1,0,0,320,0,321,1,0,0,320,0,322,0
7_6536523,strips-log-x-7,load-truck_package10_truck4_city4-2,6536523,7,a,241,5,0,1,235,0,237,1,0,1,235,0,242,0
7_1661861,strips-log-x-7,fly-airplane_plane3_city9-2_city11-2,1661861,7,a,345,4,0,1,340,0,342,1,0,1,340,0,346,0
6_1090687,strips-log-x-7,fly-airplane_plane4_city9-2_city3-2,1090687,6,a,345,4,0,1,340,0,342,1,0,1,340,0,346,0
6_7582311,strips-log-x-7,fly-airplane_plane4_city7-2_city10-2,7582311,6,a,345,4,0,1,340,0,342,1,0,1,340,0,346,0
6_3359088,strips-log-x-7,noop_in_package2_truck1,3359088,6,a,201,1,0,0,200,0,201,1,0,0,200,0,202,0
3_5947952,strips-log-x-7,fly-airplane_plane1_city9-2_city3-2,5947952,3,a,399,4,0,1,394,0,395,1,0,0,394,0,400,0
6_6185349,strips-log-x-7,unload-truck_package7_truck1_city1-2,6185349,6,a,236,5,0,1,230,0,232,1,0,1,230,0,237,0
7_122018,strips-log-x-7,load-airplane_package5_plane3_city10-2,122018,7,a,490,5,0,1,484,0,486,1,0,1,484,0,491,0
2_1829377,strips-log-x-7,fly-airplane_plane4_city6-2_city1-2,1829377,2,a,167,4,0,1,162,0,164,1,0,1,162,0,168,0
6_5018863,strips-log-x-7,noop_airplane_plane1,5018863,6,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
7_3756852,strips-log-x-7,fly-airplane_plane2_city2-2_city4-2,3756852,7,a,345,4,0,1,340,0,341,1,0,0,340,0,346,0
1_1536557,strips-log-x-7,noop_at_plane1_city6-2,1536557,1,a,131,1,0,0,130,0,131,1,0,0,130,0,132,0
6_2642576,strips-log-x-7,noop_location_city1-1,2642576,6,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
4_5521490,strips-log-x-7,fly-airplane_plane4_city11-2_city5-2,5521490,4,a,307,4,0,1,302,0,304,1,0,1,302,0,308,0
6_3813202,strips-log-x-7,load-airplane_package4_plane2_city9-2,3813202,6,a,500,5,0,1,494,0,495,1,0,0,494,0,501,0
3_3818870,strips-log-x-7,unload-airplane_package10_plane3_city5-2,3818870,3,a,415,5,0,1,409,0,411,1,0,1,409,0,416,0
3_7872913,strips-log-x-7,unload-airplane_package3_plane3_city7-2,7872913,3,a,415,5,0,1,409,0,411,1,0,1,409,0,416,0
6_1134936,strips-log-x-7,fly-airplane_plane1_city9-2_city10-2,1134936,6,a,345,4,0,1,340,0,342,1,0,1,340,0,346,0
6_1982280,strips-log-x-7,unload-truck_package2_truck4_city4-2,1982280,6,a,223,5,0,1,217,0,219,1,0,1,217,0,224,0
5_1136276,strips-log-x-7,fly-airplane_plane4_city1-2_city9-2,1136276,5,a,325,4,0,1,320,0,322,1,0,1,320,0,326,0
0_592994,strips-log-x-7,in-city_city8-2_city8,592994,0,f,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6_857216,strips-log-x-7,noop_in_package7_truck10,857216,6,a,215,1,0,0,214,0,215,1,0,0,214,0,216,0
7_1430399,strips-log-x-7,noop_airport_city1-2,1430399,7,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
7_1903570,strips-log-x-7,fly-airplane_plane6_city4-2_city2-2,1903570,7,a,345,4,0,1,340,0,342,1,0,1,340,0,346,0
4_1405485,strips-log-x-7,noop_at_plane1_city4-2,1405485,4,a,284,1,0,0,283,0,284,1,0,0,283,0,285,0
8_200978,strips-log-x-7,fly-airplane_plane4_city4-2_city8-2,200978,8,a,345,4,0,1,340,0,342,1,0,1,340,0,346,0
1_62686,strips-log-x-7,noop_truck_truck1,62686,1,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
5_5673722,strips-log-x-7,unload-airplane_package5_plane2_city7-2,5673722,5,a,383,5,0,1,377,0,379,1,0,1,377,0,384,0
8_7676305,strips-log-x-7,unload-airplane_package3_plane3_city4-2,7676305,8,a,520,5,0,1,514,0,516,1,0,1,514,0,521,0
4_3239627,strips-log-x-7,load-airplane_package7_plane4_city9-2,3239627,4,a,456,5,0,1,450,0,452,1,0,1,450,0,457,0
2_2168483,strips-log-x-7,noop_at_plane5_city3-2,2168483,2,a,153,1,0,0,152,0,153,1,0,0,152,0,154,0
4_2643412,strips-log-x-7,fly-airplane_plane1_city2-2_city3-2,2643412,4,a,307,4,0,1,302,0,304,1,0,1,302,0,308,0
2_69906,strips-log-x-7,fly-airplane_plane4_city4-2_city6-2,69906,2,a,166,4,0,1,161,0,163,1,0,1,161,0,167,0
3_4450894,strips-log-x-7,drive-truck_truck11_city11-1_city11-2_city11,4450894,3,a,16,7,0,1,8,0,10,1,0,1,8,0,17,0
6_873263,strips-log-x-7,at_package9_city8-1,873263,6,f,43,1,0,0,42,0,44,2,0,0,42,0,45,0
8_5732451,strips-log-x-7,at_plane5_city10-2,5732451,8,f,30,11,0,9,10,0,51,31,0,10,10,0,62,0
6_1269492,strips-log-x-7,unload-airplane_package5_plane1_city4-2,1269492,6,a,470,5,0,1,464,0,466,1,0,1,464,0,471,0
2_1954687,strips-log-x-7,noop_airport_city9-2,1954687,2,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
3_5991184,strips-log-x-7,load-truck_package10_truck2_city2-2,5991184,3,a,471,5,0,1,465,0,467,1,0,1,465,0,472,0
3_3548208,strips-log-x-7,unload-truck_package7_truck6_city6-2,3548208,3,a,172,5,0,1,166,0,168,1,0,1,166,0,173,0
7_5690561,strips-log-x-7,load-airplane_package6_plane2_city7-2,5690561,7,a,520,5,0,1,514,0,516,1,0,1,514,0,521,0
6_3139425,strips-log-x-7,fly-airplane_plane5_city6-2_city5-2,3139425,6,a,345,4,0,1,340,0,342,1,0,1,340,0,346,0
7_2713826,strips-log-x-7,unload-truck_package3_truck3_city3-2,2713826,7,a,240,5,0,1,234,0,236,1,0,1,234,0,241,0
7_3984639,strips-log-x-7,unload-airplane_package5_plane6_city11-2,3984639,7,a,490,5,0,1,484,0,486,1,0,1,484,0,491,0
4_4040921,strips-log-x-7,unload-airplane_package7_plane5_city3-2,4040921,4,a,456,5,0,1,450,0,452,1,0,1,450,0,457,0
1_1025526,strips-log-x-7,fly-airplane_plane1_city11-2_city8-2,1025526,1,a,137,4,0,1,132,0,134,1,0,1,132,0,138,0
8_2231250,strips-log-x-7,fly-airplane_plane6_city4-2_city7-2,2231250,8,a,345,4,0,1,340,0,341,1,0,0,340,0,346,0
7_4530301,strips-log-x-7,noop_in_package1_truck5,4530301,7,a,210,1,0,0,209,0,210,1,0,0,209,0,211,0
0_5371146,strips-log-x-7,drive-truck_truck3_city3-1_city3-2_city3,5371146,0,a,8,0,6,1,1,0,3,1,0,1,1,0,9,0
6_7096882,strips-log-x-7,unload-airplane_package2_plane6_city1-2,7096882,6,a,500,5,0,1,494,0,496,1,0,1,494,0,501,0
