id,gn,name,hash,time,type,ind,iid,iod,idd,ixd,isd,otd,oid,ood,odd,oxd,osd,ad,bc
1_1254993,strips-movie-x-13,pop_p1,1254993,1,f,1,1,0,0,0,0,2,2,0,0,0,0,3,0
0_4409160,strips-movie-x-13,noop_crackers_k13,4409160,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1_2402020,strips-movie-x-13,get-crackers_k9,2402020,1,a,2,1,0,0,1,0,2,1,0,0,1,0,3,0
0_5684321,strips-movie-x-13,crackers_k7,5684321,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_7927461,strips-movie-x-13,get-chips_c9,7927461,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0_5691738,strips-movie-x-13,noop_pop_p14,5691738,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1_838643,strips-movie-x-13,noop_cheese_z5,838643,1,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
0_838641,strips-movie-x-13,noop_cheese_z3,838641,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2_1629719,strips-movie-x-13,cheese_z2,1629719,2,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2_3358524,strips-movie-x-13,chips_c15,3358524,2,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2_7007858,strips-movie-x-13,crackers_k17,7007858,2,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2_5295019,strips-movie-x-13,chips_c6,5295019,2,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2_3801590,strips-movie-x-13,have-cheese,3801590,2,f,18,18,0,0,0,0,0,0,0,0,0,0,18,0
1_5835450,strips-movie-x-13,noop_pop_p8,5835450,1,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
0_5835444,strips-movie-x-13,noop_pop_p2,5835444,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0_7387610,strips-movie-x-13,noop_dip_d12,7387610,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1_3358526,strips-movie-x-13,chips_c17,3358526,1,f,1,1,0,0,0,0,2,2,0,0,0,0,3,0
0_1157053,strips-movie-x-13,cheese_z11,1157053,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_2935053,strips-movie-x-13,dip_d13,2935053,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_2567443,strips-movie-x-13,noop_chips_c13,2567443,1,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
1_4409161,strips-movie-x-13,noop_crackers_k14,4409161,1,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
0_3358522,strips-movie-x-13,chips_c13,3358522,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_3452036,strips-movie-x-13,get-cheese_z3,3452036,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2_3358521,strips-movie-x-13,chips_c12,3358521,2,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2_2935052,strips-movie-x-13,dip_d12,2935052,2,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0_2567440,strips-movie-x-13,noop_chips_c10,2567440,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0_7861934,strips-movie-x-13,noop_crackers_k4,7861934,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0_5180835,strips-movie-x-13,get-chips_c10,5180835,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1_7927459,strips-movie-x-13,get-chips_c7,7927459,1,a,2,1,0,0,1,0,2,1,0,0,1,0,3,0
0_7387613,strips-movie-x-13,noop_dip_d15,7387613,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1_6840874,strips-movie-x-13,get-crackers_k16,6840874,1,a,2,1,0,0,1,0,2,1,0,0,1,0,3,0
