id,gn,name,hash,time,type,ind,iid,iod,idd,ixd,isd,otd,oid,ood,odd,oxd,osd,ad,bc
3_64098,strips-mprime-x-16,noop_attacks_pennsylvania_goias,64098,3,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
0_7862758,strips-mprime-x-16,noop_craves_achievement_rice,7862758,0,a,3,0,1,0,2,0,3,1,0,0,2,0,4,0
0_6427428,strips-mprime-x-16,noop_pain_boils,6427428,0,a,1,0,1,0,0,0,1,1,0,0,0,0,2,0
4_4882172,strips-mprime-x-16,succumb_boils_triumph_chocolate_mercury_neptune,4882172,4,a,337,7,0,2,328,0,332,2,0,2,328,0,339,0
2_4271646,strips-mprime-x-16,craves_achievement_rice,4271646,2,f,20,5,0,4,11,0,20,5,0,4,11,0,25,0
4_5926134,strips-mprime-x-16,feast_triumph_pepper_guava_alsace_bosnia,5926134,4,a,375,7,0,2,366,0,370,2,0,2,366,0,377,0
2_5552945,strips-mprime-x-16,feast_triumph_flounder_wonderbread_alsace_bosnia,5552945,2,a,115,7,0,2,106,0,110,2,0,2,106,0,117,0
3_5596717,strips-mprime-x-16,drink_chocolate_pepper_kentucky_bosnia_alsace_pennsylvania_goias,5596717,3,a,297,5,0,2,290,0,294,2,0,2,290,0,299,0
4_4875935,strips-mprime-x-16,succumb_abrasion_achievement_arugula_neptune_vulcan,4875935,4,a,466,7,0,2,457,0,461,2,0,2,457,0,468,0
5_1343230,strips-mprime-x-16,craves_rest_chocolate,1343230,5,f,43,10,0,14,19,0,34,0,0,15,19,0,44,0
1_2818090,strips-mprime-x-16,drink_chocolate_baguette_pennsylvania_kentucky_bosnia_manitoba_alsace,2818090,1,a,62,5,0,2,55,0,59,2,0,2,55,0,64,0
4_7175599,strips-mprime-x-16,succumb_abrasion_excitement_arugula_vulcan_earth,7175599,4,a,434,7,0,2,425,0,429,2,0,2,425,0,436,0
3_5354152,strips-mprime-x-16,locale_arugula_manitoba,5354152,3,f,13,8,0,0,5,0,14,9,0,0,5,0,22,0
4_7471164,strips-mprime-x-16,feast_excitement_arugula_baguette_pennsylvania_goias,7471164,4,a,436,7,0,2,427,0,431,2,0,2,427,0,438,0
4_3372585,strips-mprime-x-16,feast_stimulation_bacon_chicken_alsace_bosnia,3372585,4,a,520,7,0,2,511,0,515,2,0,2,511,0,522,0
3_540914,strips-mprime-x-16,feast_learning_wonderbread_arugula_alsace_bosnia,540914,3,a,439,7,0,2,430,0,434,2,0,2,430,0,441,0
2_3647504,strips-mprime-x-16,drink_flounder_bacon_bosnia_alsace_manitoba_pennsylvania_goias,3647504,2,a,136,5,0,2,129,0,133,2,0,2,129,0,138,0
4_3637333,strips-mprime-x-16,feast_learning_baguette_arugula_alsace_bosnia,3637333,4,a,461,7,0,2,452,0,456,2,0,2,452,0,463,0
3_7421740,strips-mprime-x-16,drink_marzipan_guava_bosnia_alsace_manitoba_kentucky_pennsylvania,7421740,3,a,222,5,0,2,215,0,219,2,0,2,215,0,224,0
4_7958475,strips-mprime-x-16,drink_pepper_arugula_kentucky_bosnia_alsace_pennsylvania_goias,7958475,4,a,351,5,0,2,344,0,348,2,0,2,344,0,353,0
3_4053240,strips-mprime-x-16,feast_achievement_chicken_bacon_manitoba_alsace,4053240,3,a,176,7,0,2,167,0,171,2,0,2,167,0,178,0
4_3347440,strips-mprime-x-16,overcome_sciatica_triumph_guava_neptune_vulcan,3347440,4,a,666,9,0,2,655,0,659,2,0,2,655,0,668,0
3_2113750,strips-mprime-x-16,craves_satiety_flounder,2113750,3,f,23,6,0,4,13,0,26,9,0,4,13,0,32,0
4_143177,strips-mprime-x-16,succumb_angina_learning_arugula_mercury_neptune,143177,4,a,630,7,0,2,621,0,625,2,0,2,621,0,632,0
3_6186670,strips-mprime-x-16,drink_chocolate_baguette_goias_pennsylvania_kentucky_manitoba_alsace,6186670,3,a,209,5,0,2,202,0,206,2,0,2,202,0,211,0
2_2189956,strips-mprime-x-16,noop_locale_chicken_manitoba,2189956,2,a,40,1,0,0,39,0,40,1,0,0,39,0,41,0
