id,gn,name,hash,time,type,ind,iid,iod,idd,ixd,isd,otd,oid,ood,odd,oxd,osd,ad,bc
6_1816712,strips-mprime-y-2,overcome_boils_satiety_cucumber_neptune_uranus,1816712,6,a,488,9,0,2,477,0,481,2,0,2,477,0,490,0
0_5058271,strips-mprime-y-2,eats_onion_turkey,5058271,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_3128324,strips-mprime-y-2,noop_eats_chicken_cod,3128324,3,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
3_6514107,strips-mprime-y-2,noop_harmony_satiety_mars,6514107,3,a,93,1,0,0,92,0,93,1,0,0,92,0,94,0
0_3371037,strips-mprime-y-2,feast_excitement_yogurt_sweetroll_goias_kentucky,3371037,0,a,13,0,6,2,5,0,9,2,0,2,5,0,15,0
3_3352484,strips-mprime-y-2,noop_eats_turkey_pepper,3352484,3,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
2_4259121,strips-mprime-y-2,craves_excitement_cucumber,4259121,2,f,13,1,0,0,12,0,17,5,0,0,12,0,18,0
5_6919373,strips-mprime-y-2,overcome_dread_excitement_cantelope_mars_neptune,6919373,5,a,387,9,0,2,376,0,380,2,0,2,376,0,389,0
1_2500116,strips-mprime-y-2,noop_craves_anger_onion,2500116,1,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
4_3883223,strips-mprime-y-2,fears_loneliness_satiety,3883223,4,f,25,3,0,4,18,0,35,12,0,5,18,0,38,0
4_2201353,strips-mprime-y-2,eats_turkey_chicken,2201353,4,f,1,1,0,0,0,0,1,1,0,0,0,0,2,0
5_1586885,strips-mprime-y-2,overcome_dread_satiety_yogurt_uranus_pluto,1586885,5,a,408,9,0,2,397,0,401,2,0,2,397,0,410,0
3_2774048,strips-mprime-y-2,feast_excitement_sweetroll_yogurt_alsace_goias,2774048,3,a,111,7,0,2,102,0,106,2,0,2,102,0,113,0
1_606737,strips-mprime-y-2,overcome_angina_excitement_cantelope_uranus_pluto,606737,1,a,33,9,0,2,22,0,26,2,0,2,22,0,35,0
2_5976464,strips-mprime-y-2,planet_neptune,5976464,2,f,1,1,0,0,0,0,23,23,0,0,0,0,24,0
4_5852317,strips-mprime-y-2,succumb_depression_excitement_cucumber_neptune_uranus,5852317,4,a,228,7,0,2,219,0,223,2,0,2,219,0,230,0
6_2423191,strips-mprime-y-2,succumb_loneliness_satiety_cucumber_uranus_pluto,2423191,6,a,476,7,0,2,467,0,471,2,0,2,467,0,478,0
5_2909787,strips-mprime-y-2,feast_excitement_pepper_pork_alsace_goias,2909787,5,a,577,7,0,2,568,0,572,2,0,2,568,0,579,0
7_2577106,strips-mprime-y-2,eats_pepper_pork,2577106,7,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
5_2616621,strips-mprime-y-2,noop_province_goias,2616621,5,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
6_1900967,strips-mprime-y-2,overcome_loneliness_excitement_sweetroll_mars_neptune,1900967,6,a,647,9,0,2,636,0,640,2,0,2,636,0,649,0
6_3411674,strips-mprime-y-2,feast_satiety_pepper_turkey_alsace_goias,3411674,6,a,457,7,0,2,448,0,452,2,0,2,448,0,459,0
4_1161122,strips-mprime-y-2,craves_boils_pepper,1161122,4,f,33,1,0,0,32,0,36,4,0,0,32,0,37,0
0_6427428,strips-mprime-y-2,noop_pain_boils,6427428,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1_4370428,strips-mprime-y-2,eats_pork_pepper,4370428,1,f,1,1,0,0,0,0,2,2,0,0,0,0,3,0
5_323258,strips-mprime-y-2,craves_angina_pork,323258,5,f,33,1,0,0,32,0,37,5,0,0,32,0,38,0
6_1454558,strips-mprime-y-2,overcome_laceration_excitement_pepper_neptune_uranus,1454558,6,a,431,9,0,2,420,0,424,2,0,2,420,0,433,0
7_7480922,strips-mprime-y-2,planet_uranus,7480922,7,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
7_7288792,strips-mprime-y-2,craves_jealousy_sweetroll,7288792,7,f,21,7,0,6,8,0,14,0,0,6,8,0,21,0
5_3084362,strips-mprime-y-2,noop_locale_cucumber_alsace,3084362,5,a,22,1,0,0,21,0,22,1,0,0,21,0,23,0
1_3516611,strips-mprime-y-2,harmony_excitement_uranus,3516611,1,f,6,2,0,0,4,0,9,5,0,0,4,0,11,0
4_5255804,strips-mprime-y-2,succumb_jealousy_excitement_sweetroll_neptune_uranus,5255804,4,a,231,7,0,2,222,0,225,2,0,1,222,0,233,0
4_7009250,strips-mprime-y-2,feast_excitement_cucumber_pork_goias_kentucky,7009250,4,a,211,7,0,2,202,0,204,2,0,0,202,0,213,0
4_7003990,strips-mprime-y-2,succumb_depression_excitement_cantelope_neptune_uranus,7003990,4,a,227,7,0,2,218,0,222,2,0,2,218,0,229,0
6_6940379,strips-mprime-y-2,overcome_jealousy_satiety_yogurt_mars_neptune,6940379,6,a,495,9,0,2,484,0,488,2,0,2,484,0,497,0
2_1465202,strips-mprime-y-2,craves_satiety_turkey,1465202,2,f,13,2,0,0,11,0,16,5,0,0,11,0,18,0
7_3692117,strips-mprime-y-2,craves_satiety_pepper,3692117,7,f,15,3,0,3,9,0,12,0,0,3,9,0,15,0
0_1883612,strips-mprime-y-2,noop_craves_prostatitis_cod,1883612,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2_651352,strips-mprime-y-2,noop_food_chicken,651352,2,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
6_7599583,strips-mprime-y-2,noop_craves_depression_cantelope,7599583,6,a,88,1,0,0,87,0,88,1,0,0,87,0,89,0
6_4077534,strips-mprime-y-2,succumb_boils_excitement_turkey_uranus_pluto,4077534,6,a,753,7,0,2,744,0,748,2,0,2,744,0,755,0
3_6481153,strips-mprime-y-2,noop_eats_cod_turkey,6481153,3,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
4_2186378,strips-mprime-y-2,eats_yogurt_sweetroll,2186378,4,f,1,1,0,0,0,0,5,5,0,0,0,0,6,0
0_7325474,strips-mprime-y-2,orbits_neptune_uranus,7325474,0,f,0,0,0,0,0,0,1,0,1,0,0,0,1,0
4_1995611,strips-mprime-y-2,succumb_jealousy_excitement_pork_uranus_pluto,1995611,4,a,231,7,0,2,222,0,226,2,0,2,222,0,233,0
7_5613713,strips-mprime-y-2,craves_dread_pork,5613713,7,f,20,7,0,5,8,0,14,0,0,6,8,0,21,0
4_4223307,strips-mprime-y-2,food_pepper,4223307,4,f,1,1,0,0,0,0,67,67,0,0,0,0,68,0
4_964644,strips-mprime-y-2,noop_pain_grief,964644,4,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
5_6611778,strips-mprime-y-2,noop_locale_pork_goias,6611778,5,a,6,1,0,0,5,0,6,1,0,0,5,0,7,0
3_892127,strips-mprime-y-2,noop_craves_excitement_sweetroll,892127,3,a,93,1,0,0,92,0,93,1,0,0,92,0,94,0
1_4744087,strips-mprime-y-2,eats_pepper_turkey,4744087,1,f,1,1,0,0,0,0,2,2,0,0,0,0,3,0
6_5855560,strips-mprime-y-2,succumb_boils_satiety_yogurt_neptune_uranus,5855560,6,a,470,7,0,2,461,0,465,2,0,2,461,0,472,0
3_2186378,strips-mprime-y-2,eats_yogurt_sweetroll,2186378,3,f,1,1,0,0,0,0,5,5,0,0,0,0,6,0
6_2015826,strips-mprime-y-2,feast_satiety_yogurt_cantelope_goias_kentucky,2015826,6,a,716,7,0,2,707,0,711,2,0,2,707,0,718,0
6_7674923,strips-mprime-y-2,succumb_sciatica_excitement_yogurt_mars_neptune,7674923,6,a,451,7,0,2,442,0,446,2,0,2,442,0,453,0
6_5249277,strips-mprime-y-2,locale_chicken_goias,5249277,6,f,1,1,0,0,0,0,1,1,0,0,0,0,2,0
5_3469212,strips-mprime-y-2,feast_satiety_sweetroll_cucumber_alsace_goias,3469212,5,a,345,7,0,2,336,0,338,2,0,0,336,0,347,0
3_6787060,strips-mprime-y-2,overcome_boils_satiety_yogurt_neptune_uranus,6787060,3,a,154,9,0,2,143,0,147,2,0,2,143,0,156,0
4_4200475,strips-mprime-y-2,eats_chicken_turkey,4200475,4,f,1,1,0,0,0,0,1,1,0,0,0,0,2,0
5_7582579,strips-mprime-y-2,eats_pepper_cantelope,7582579,5,f,1,1,0,0,0,0,3,3,0,0,0,0,4,0
3_3703060,strips-mprime-y-2,overcome_hangover_satiety_cantelope_neptune_uranus,3703060,3,a,131,9,0,2,120,0,124,2,0,2,120,0,133,0
2_6295151,strips-mprime-y-2,feast_satiety_pork_pepper_alsace_goias,6295151,2,a,61,7,0,2,52,0,55,2,0,1,52,0,63,0
6_1273903,strips-mprime-y-2,succumb_loneliness_satiety_sweetroll_mars_neptune,1273903,6,a,484,7,0,2,475,0,479,2,0,2,475,0,486,0
7_2597956,strips-mprime-y-2,craves_angina_turkey,2597956,7,f,34,7,0,2,25,0,27,0,0,2,25,0,34,0
7_1830183,strips-mprime-y-2,province_goias,1830183,7,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
5_4117097,strips-mprime-y-2,succumb_grief_satiety_turkey_mars_neptune,4117097,5,a,380,7,0,2,371,0,375,2,0,2,371,0,382,0
6_2757705,strips-mprime-y-2,planet_pluto,2757705,6,f,1,1,0,0,0,0,109,109,0,0,0,0,110,0
1_2774048,strips-mprime-y-2,feast_excitement_sweetroll_yogurt_alsace_goias,2774048,1,a,30,7,0,2,21,0,25,2,0,2,21,0,32,0
0_5249277,strips-mprime-y-2,locale_chicken_goias,5249277,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_6295151,strips-mprime-y-2,feast_satiety_pork_pepper_alsace_goias,6295151,6,a,456,7,0,2,447,0,450,2,0,1,447,0,458,0
0_6345836,strips-mprime-y-2,noop_eats_chicken_turkey,6345836,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
4_6514107,strips-mprime-y-2,noop_harmony_satiety_mars,6514107,4,a,183,1,0,0,182,0,183,1,0,0,182,0,184,0
4_117477,strips-mprime-y-2,overcome_hangover_satiety_yogurt_mars_neptune,117477,4,a,265,9,0,2,254,0,258,2,0,2,254,0,267,0
6_5394662,strips-mprime-y-2,succumb_boils_satiety_sweetroll_neptune_uranus,5394662,6,a,486,7,0,2,477,0,481,2,0,2,477,0,488,0
4_3566795,strips-mprime-y-2,succumb_boils_excitement_cucumber_uranus_pluto,3566795,4,a,225,7,0,2,216,0,220,2,0,2,216,0,227,0
5_3964863,strips-mprime-y-2,fears_sciatica_satiety,3964863,5,f,29,3,0,4,22,0,40,13,0,5,22,0,43,0
3_6055644,strips-mprime-y-2,succumb_angina_excitement_cantelope_uranus_pluto,6055644,3,a,122,7,0,2,113,0,117,2,0,2,113,0,124,0
