id,gn,name,hash,time,type,ind,iid,iod,idd,ixd,isd,otd,oid,ood,odd,oxd,osd,ad,bc
0_234529,strips-mysty-x-9,eats_haroset_guava,234529,0,f,0,0,0,0,0,0,1,0,1,0,0,0,1,0
4_1939434,strips-mysty-x-9,succumb_dread_excitement_wurst_earth_uranus,1939434,4,a,493,7,0,2,484,0,488,2,0,2,484,0,495,0
1_2182175,strips-mysty-x-9,noop_harmony_intoxication_uranus,2182175,1,a,21,1,0,0,20,0,21,1,0,0,20,0,22,0
4_4298874,strips-mysty-x-9,craves_angina_guava,4298874,4,f,15,4,0,3,8,0,16,5,0,3,8,0,20,0
5_3669775,strips-mysty-x-9,craves_hangover_haroset,3669775,5,f,15,4,0,3,8,0,11,0,0,3,8,0,15,0
4_6242205,strips-mysty-x-9,succumb_abrasion_entertainment_hamburger_earth_uranus,6242205,4,a,408,7,0,2,399,0,403,2,0,2,399,0,410,0
0_7564217,strips-mysty-x-9,eats_flounder_hamburger,7564217,0,f,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0_7865332,strips-mysty-x-9,pain_dread,7865332,0,f,0,0,0,0,0,0,1,0,1,0,0,0,1,0
3_7693611,strips-mysty-x-9,succumb_jealousy_intoxication_apple_earth_uranus,7693611,3,a,180,7,0,2,171,0,175,2,0,2,171,0,182,0
3_3349766,strips-mysty-x-9,locale_guava_kentucky,3349766,3,f,30,1,0,5,24,0,37,7,0,6,24,0,38,0
1_1259394,strips-mysty-x-9,feast_excitement_guava_haroset_manitoba_kentucky,1259394,1,a,38,7,0,2,29,0,33,2,0,2,29,0,40,0
3_5475787,strips-mysty-x-9,fears_grief_excitement,5475787,3,f,25,2,0,2,21,0,30,6,0,3,21,0,32,0
4_2484442,strips-mysty-x-9,noop_pain_laceration,2484442,4,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
4_784390,strips-mysty-x-9,feast_intoxication_apple_hotdog_bosnia_bavaria,784390,4,a,180,7,0,2,171,0,175,2,0,2,171,0,182,0
3_7543600,strips-mysty-x-9,noop_province_bosnia,7543600,3,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
3_7800636,strips-mysty-x-9,noop_craves_jealousy_guava,7800636,3,a,25,1,0,0,24,0,25,1,0,0,24,0,26,0
2_3331555,strips-mysty-x-9,succumb_anger_intoxication_haroset_earth_uranus,3331555,2,a,72,7,0,2,63,0,66,2,0,1,63,0,74,0
4_7990758,strips-mysty-x-9,succumb_abrasion_excitement_haroset_earth_uranus,7990758,4,a,252,7,0,2,243,0,247,2,0,2,243,0,254,0
3_4410647,strips-mysty-x-9,overcome_dread_curiosity_flounder_earth_uranus,4410647,3,a,146,9,0,2,135,0,139,2,0,2,135,0,148,0
2_4038017,strips-mysty-x-9,food_hotdog,4038017,2,f,1,1,0,0,0,0,15,15,0,0,0,0,16,0
4_6281550,strips-mysty-x-9,overcome_anger_curiosity_haroset_earth_uranus,6281550,4,a,283,9,0,2,272,0,275,2,0,1,272,0,285,0
5_4312550,strips-mysty-x-9,harmony_intoxication_uranus,4312550,5,f,112,48,0,50,14,0,64,0,0,50,14,0,112,0
2_5617476,strips-mysty-x-9,noop_craves_abrasion_haroset,5617476,2,a,9,1,0,0,8,0,9,1,0,0,8,0,10,0
4_6285601,strips-mysty-x-9,overcome_prostatitis_intoxication_apple_earth_uranus,6285601,4,a,224,9,0,2,213,0,216,2,0,1,213,0,226,0
1_2402640,strips-mysty-x-9,harmony_entertainment_saturn,2402640,1,f,6,2,0,0,4,0,9,5,0,0,4,0,11,0
1_6810348,strips-mysty-x-9,overcome_laceration_curiosity_wurst_earth_uranus,6810348,1,a,24,9,0,2,13,0,17,2,0,2,13,0,26,0
4_5755459,strips-mysty-x-9,succumb_sciatica_entertainment_apple_saturn_venus,5755459,4,a,421,7,0,2,412,0,416,2,0,2,412,0,423,0
3_7766187,strips-mysty-x-9,succumb_sciatica_entertainment_wurst_saturn_venus,7766187,3,a,111,7,0,2,102,0,106,2,0,2,102,0,113,0
3_3239540,strips-mysty-x-9,noop_fears_grief_excitement,3239540,3,a,118,1,0,0,117,0,118,1,0,0,117,0,119,0
2_203307,strips-mysty-x-9,feast_excitement_guava_apple_manitoba_kentucky,203307,2,a,79,7,0,2,70,0,73,2,0,1,70,0,81,0
4_2215113,strips-mysty-x-9,overcome_jealousy_curiosity_apple_earth_uranus,2215113,4,a,281,9,0,2,270,0,274,2,0,2,270,0,283,0
3_1567476,strips-mysty-x-9,pain_anger,1567476,3,f,1,1,0,0,0,0,20,20,0,0,0,0,21,0
2_2254148,strips-mysty-x-9,noop_eats_wurst_flounder,2254148,2,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
5_2317974,strips-mysty-x-9,locale_hotdog_bavaria,2317974,5,f,35,1,0,7,27,0,35,0,0,8,27,0,36,0
5_3934647,strips-mysty-x-9,fears_anger_entertainment,3934647,5,f,29,7,0,3,19,0,22,0,0,3,19,0,29,0
5_6676125,strips-mysty-x-9,eats_hamburger_haroset,6676125,5,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0_564420,strips-mysty-x-9,noop_planet_earth,564420,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
4_2715489,strips-mysty-x-9,succumb_sciatica_curiosity_flounder_earth_uranus,2715489,4,a,311,7,0,2,302,0,306,2,0,2,302,0,313,0
3_2725603,strips-mysty-x-9,fears_jealousy_intoxication,2725603,3,f,30,2,0,0,28,0,33,4,0,1,28,0,35,0
0_3933873,strips-mysty-x-9,province_bavaria,3933873,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_7869709,strips-mysty-x-9,fears_sciatica_excitement,7869709,4,f,49,2,0,0,47,0,50,3,0,0,47,0,52,0
2_3070540,strips-mysty-x-9,succumb_laceration_entertainment_wurst_saturn_venus,3070540,2,a,53,7,0,2,44,0,48,2,0,2,44,0,55,0
3_4159221,strips-mysty-x-9,feast_entertainment_apple_hotdog_bosnia_bavaria,4159221,3,a,213,7,0,2,204,0,208,2,0,2,204,0,215,0
3_6260074,strips-mysty-x-9,noop_fears_prostatitis_intoxication,6260074,3,a,126,1,0,0,125,0,126,1,0,0,125,0,127,0
4_7820736,strips-mysty-x-9,succumb_angina_intoxication_hamburger_earth_uranus,7820736,4,a,230,7,0,2,221,0,225,2,0,2,221,0,232,0
3_7743536,strips-mysty-x-9,noop_pleasure_curiosity,7743536,3,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
5_4907933,strips-mysty-x-9,craves_entertainment_hamburger,4907933,5,f,16,3,0,0,13,0,13,0,0,0,13,0,16,0
3_123136,strips-mysty-x-9,succumb_grief_excitement_apple_earth_uranus,123136,3,a,154,7,0,2,145,0,149,2,0,2,145,0,156,0
1_6839201,strips-mysty-x-9,noop_food_hamburger,6839201,1,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
5_7363867,strips-mysty-x-9,fears_loneliness_entertainment,7363867,5,f,29,7,0,3,19,0,22,0,0,3,19,0,29,0
4_3310385,strips-mysty-x-9,succumb_boils_excitement_guava_earth_uranus,3310385,4,a,235,7,0,2,226,0,230,2,0,2,226,0,237,0
2_7816639,strips-mysty-x-9,succumb_loneliness_excitement_haroset_earth_uranus,7816639,2,a,77,7,0,2,68,0,72,2,0,2,68,0,79,0
4_5204489,strips-mysty-x-9,eats_hotdog_wurst,5204489,4,f,1,1,0,0,0,0,5,5,0,0,0,0,6,0
4_4945758,strips-mysty-x-9,overcome_dread_excitement_hotdog_earth_uranus,4945758,4,a,429,9,0,2,418,0,422,2,0,2,418,0,431,0
3_416355,strips-mysty-x-9,noop_locale_guava_bavaria,416355,3,a,149,1,0,0,148,0,149,1,0,0,148,0,150,0
2_6521973,strips-mysty-x-9,overcome_dread_entertainment_flounder_earth_uranus,6521973,2,a,52,9,0,2,41,0,45,2,0,2,41,0,54,0
4_6254936,strips-mysty-x-9,craves_prostatitis_haroset,6254936,4,f,13,3,0,3,7,0,14,4,0,3,7,0,17,0
1_5248153,strips-mysty-x-9,noop_locale_flounder_bavaria,5248153,1,a,14,1,0,0,13,0,14,1,0,0,13,0,15,0
3_206625,strips-mysty-x-9,noop_craves_sciatica_hamburger,206625,3,a,99,1,0,0,98,0,99,1,0,0,98,0,100,0
4_648034,strips-mysty-x-9,overcome_laceration_entertainment_wurst_earth_uranus,648034,4,a,273,9,0,2,262,0,266,2,0,2,262,0,275,0
3_2061816,strips-mysty-x-9,feast_curiosity_guava_apple_manitoba_kentucky,2061816,3,a,233,7,0,2,224,0,228,2,0,2,224,0,235,0
4_6084092,strips-mysty-x-9,overcome_loneliness_intoxication_hamburger_earth_uranus,6084092,4,a,201,9,0,2,190,0,194,2,0,2,190,0,203,0
2_3125656,strips-mysty-x-9,feast_entertainment_wurst_flounder_bosnia_bavaria,3125656,2,a,53,7,0,2,44,0,47,2,0,1,44,0,55,0
4_5081157,strips-mysty-x-9,succumb_dread_curiosity_flounder_earth_uranus,5081157,4,a,311,7,0,2,302,0,306,2,0,2,302,0,313,0
3_6855564,strips-mysty-x-9,noop_fears_dread_curiosity,6855564,3,a,131,1,0,0,130,0,131,1,0,0,130,0,132,0
3_2720800,strips-mysty-x-9,overcome_prostatitis_intoxication_hamburger_earth_uranus,2720800,3,a,166,9,0,2,155,0,158,2,0,1,155,0,168,0
3_559441,strips-mysty-x-9,noop_locale_guava_kentucky,559441,3,a,160,1,0,0,159,0,160,1,0,0,159,0,161,0
0_1212441,strips-mysty-x-9,craves_loneliness_haroset,1212441,0,f,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0_2125703,strips-mysty-x-9,feast_entertainment_flounder_wurst_bavaria_arizona,2125703,0,a,13,0,6,2,5,0,7,2,0,0,5,0,15,0
0_4985459,strips-mysty-x-9,pain_sciatica,4985459,0,f,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2_118154,strips-mysty-x-9,noop_locale_hamburger_bosnia,118154,2,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
4_7880654,strips-mysty-x-9,fears_boils_excitement,7880654,4,f,40,4,0,5,31,0,43,7,0,5,31,0,47,0
5_6052763,strips-mysty-x-9,food_hamburger,6052763,5,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1_2360762,strips-mysty-x-9,feast_curiosity_hotdog_wurst_bosnia_bavaria,2360762,1,a,21,7,0,2,12,0,14,2,0,0,12,0,23,0
4_2522475,strips-mysty-x-9,succumb_sciatica_entertainment_hamburger_saturn_venus,2522475,4,a,246,7,0,2,237,0,241,2,0,2,237,0,248,0
2_5534201,strips-mysty-x-9,noop_fears_anxiety_entertainment,5534201,2,a,41,1,0,0,40,0,41,1,0,0,40,0,42,0
3_1490646,strips-mysty-x-9,craves_excitement_haroset,1490646,3,f,18,4,0,4,10,0,37,23,0,4,10,0,41,0
1_5373533,strips-mysty-x-9,noop_pain_dread,5373533,1,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
2_3516611,strips-mysty-x-9,harmony_excitement_uranus,3516611,2,f,23,5,0,8,10,0,29,10,0,9,10,0,34,0
0_2518592,strips-mysty-x-9,noop_province_arizona,2518592,0,a,0,0,0,0,0,0,1,1,0,0,0,0,1,0
5_5631791,strips-mysty-x-9,pain_loneliness,5631791,5,f,1,1,0,0,0,0,0,0,0,0,0,0,1,0
5_519842,strips-mysty-x-9,fears_prostatitis_curiosity,519842,5,f,48,5,0,3,40,0,43,0,0,3,40,0,48,0
4_4593104,strips-mysty-x-9,overcome_jealousy_entertainment_apple_saturn_venus,4593104,4,a,454,9,0,2,443,0,447,2,0,2,443,0,456,0
3_6366383,strips-mysty-x-9,feast_intoxication_haroset_guava_bavaria_arizona,6366383,3,a,169,7,0,2,160,0,164,2,0,2,160,0,171,0
3_4612006,strips-mysty-x-9,overcome_boils_entertainment_apple_saturn_venus,4612006,3,a,320,9,0,2,309,0,312,2,0,1,309,0,322,0
4_6628497,strips-mysty-x-9,noop_pain_abrasion,6628497,4,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
3_4623385,strips-mysty-x-9,province_manitoba,4623385,3,f,1,1,0,0,0,0,1,1,0,0,0,0,2,0
4_3099292,strips-mysty-x-9,overcome_angina_entertainment_hotdog_uranus_saturn,3099292,4,a,449,9,0,2,438,0,442,2,0,2,438,0,451,0
1_4264805,strips-mysty-x-9,overcome_grief_excitement_guava_earth_uranus,4264805,1,a,44,9,0,2,33,0,37,2,0,2,33,0,46,0
1_781703,strips-mysty-x-9,eats_guava_haroset,781703,1,f,1,1,0,0,0,0,4,4,0,0,0,0,5,0
4_6075070,strips-mysty-x-9,feast_intoxication_wurst_hotdog_bosnia_bavaria,6075070,4,a,436,7,0,2,427,0,431,2,0,2,427,0,438,0
2_6775296,strips-mysty-x-9,feast_excitement_guava_haroset_arizona_manitoba,6775296,2,a,73,7,0,2,64,0,68,2,0,2,64,0,75,0
3_7619652,strips-mysty-x-9,feast_curiosity_apple_guava_bavaria_arizona,7619652,3,a,135,7,0,2,126,0,129,2,0,1,126,0,137,0
0_7369113,strips-mysty-x-9,eats_apple_guava,7369113,0,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_6676125,strips-mysty-x-9,eats_hamburger_haroset,6676125,2,f,1,1,0,0,0,0,1,1,0,0,0,0,2,0
1_5475787,strips-mysty-x-9,fears_grief_excitement,5475787,1,f,9,1,0,0,8,0,10,2,0,0,8,0,11,0
2_93017,strips-mysty-x-9,succumb_hangover_excitement_haroset_earth_uranus,93017,2,a,77,7,0,2,68,0,71,2,0,1,68,0,79,0
3_2366283,strips-mysty-x-9,harmony_excitement_earth,2366283,3,f,37,10,0,17,10,0,63,36,0,17,10,0,73,0
3_5081157,strips-mysty-x-9,succumb_dread_curiosity_flounder_earth_uranus,5081157,3,a,144,7,0,2,135,0,139,2,0,2,135,0,146,0
1_6965452,strips-mysty-x-9,noop_craves_prostatitis_haroset,6965452,1,a,5,1,0,0,4,0,5,1,0,0,4,0,6,0
3_3418191,strips-mysty-x-9,succumb_dread_entertainment_flounder_uranus_saturn,3418191,3,a,108,7,0,2,99,0,103,2,0,2,99,0,110,0
4_7480603,strips-mysty-x-9,overcome_jealousy_entertainment_hotdog_uranus_saturn,7480603,4,a,449,9,0,2,438,0,441,2,0,1,438,0,451,0
0_1486223,strips-mysty-x-9,pain_angina,1486223,0,f,0,0,0,0,0,0,1,0,1,0,0,0,1,0
