id,name,hash,time,ind,otd,ad,bc
0_4312550,harmony_intoxication_uranus,4312550,0,0,5,5,0
1_2182175,noop_harmony_intoxication_uranus,2182175,1,2,8,10,0
1_7805069,overcome_boils-1_intoxication_arugula_earth_uranus,7805069,1,13,29,42,0
0_4203350,craves_intoxication_arugula,4203350,0,0,5,5,0
1_2072975,noop_craves_intoxication_arugula,2072975,1,3,20,23,0
1_3592004,feast_intoxication_arugula_wonderbread_alsace_surrey,3592004,1,11,28,39,0
1_7519785,feast_intoxication_arugula_potato_alsace_surrey,7519785,1,11,28,39,0
0_4452600,pain_depression-7,4452600,0,0,1,1,0
1_1499025,noop_pain_depression-7,1499025,1,1,1,2,0
0_6843000,pain_abrasion-4,6843000,0,0,3,3,0
1_145726,noop_pain_abrasion-4,145726,1,1,1,2,0
1_6459978,overcome_abrasion-4_rest_ham_mercury_saturn,6459978,1,15,30,45,0
0_918250,pain_boils,918250,0,0,4,4,0
1_6427428,noop_pain_boils,6427428,1,1,1,2,0
1_7796944,overcome_boils_lubricity_shrimp_earth_uranus,7796944,1,14,33,47,0
0_7897051,eats_turkey_shrimp,7897051,0,0,2,2,0
1_3873689,noop_eats_turkey_shrimp,3873689,1,1,1,2,0
0_365501,orbits_earth_uranus,365501,0,0,25,25,0
1_2510862,noop_orbits_earth_uranus,2510862,1,1,1,2,0
1_3572660,overcome_hangover_excitement_papaya_earth_uranus,3572660,1,14,30,44,0
1_5230030,overcome_prostatitis_entertainment_wurst_earth_uranus,5230030,1,11,11,22,0
1_4911427,overcome_jealousy_love_rice_earth_uranus,4911427,1,14,44,58,0
1_3292190,overcome_dread_excitement_papaya_earth_uranus,3292190,1,14,30,44,0
0_4332901,eats_mutton_ham,4332901,0,0,2,2,0
1_5636604,noop_eats_mutton_ham,5636604,1,1,1,2,0
0_3715801,orbits_saturn_earth,3715801,0,0,9,9,0
1_5861162,noop_orbits_saturn_earth,5861162,1,1,1,2,0
1_6252085,overcome_depression_achievement_endive_saturn_earth,6252085,1,14,30,44,0
1_6230834,overcome_grief_achievement_endive_saturn_earth,6230834,1,14,30,44,0
0_6759901,locale_yogurt_bosnia,6759901,0,0,3,3,0
1_3904904,noop_locale_yogurt_bosnia,3904904,1,1,3,4,0
0_3609901,province_surrey,3609901,0,0,1,1,0
1_4913604,noop_province_surrey,4913604,1,1,1,2,0
0_4317552,eats_marzipan_onion,4317552,0,0,3,3,0
1_6462913,noop_eats_marzipan_onion,6462913,1,1,1,2,0
0_676602,eats_marzipan_haroset,676602,0,0,3,3,0
1_5887254,noop_eats_marzipan_haroset,5887254,1,1,1,2,0
0_3095552,pain_boils-1,3095552,0,0,4,4,0
1_496858,noop_pain_boils-1,496858,1,1,1,2,0
0_6188452,food_ham,6188452,0,0,13,13,0
1_1903589,noop_food_ham,1903589,1,1,1,2,0
1_3561603,feast_rest_ham_onion_bavaria_guanabara,3561603,1,13,27,40,0
1_3876999,feast_rest_ham_mutton_bavaria_guanabara,3876999,1,13,27,40,0
1_1961477,feast_rest_ham_wonderbread_bavaria_guanabara,1961477,1,13,27,40,0
1_5941935,overcome_loneliness-3_rest_ham_mercury_saturn,5941935,1,15,30,45,0
0_2200903,pleasure_love,2200903,0,0,26,26,0
1_1016330,noop_pleasure_love,1016330,1,1,1,2,0
1_537240,feast_love_rice_papaya_bosnia_alsace,537240,1,12,46,58,0
1_7422623,feast_love_rice_marzipan_bosnia_alsace,7422623,1,12,46,58,0
1_6275620,feast_love_rice_cherry_bosnia_alsace,6275620,1,12,46,58,0
0_1833554,eats_yogurt_wonderbread,1833554,0,0,2,2,0
1_5424666,noop_eats_yogurt_wonderbread,5424666,1,1,1,2,0
0_3412554,food_marzipan,3412554,0,0,28,28,0
1_2227981,noop_food_marzipan,2227981,1,1,1,2,0
1_4153561,feast_satiety_cherry_marzipan_bosnia_alsace,4153561,1,12,46,58,0
0_1694955,craves_depression-7_haroset,1694955,0,0,1,1,0
1_7565557,noop_craves_depression-7_haroset,7565557,1,1,1,2,0
0_7894655,eats_arugula_wonderbread,7894655,0,0,4,4,0
1_7106972,noop_eats_arugula_wonderbread,7106972,1,1,1,2,0
0_4379955,locale_mutton_guanabara,4379955,0,0,3,3,0
1_7971067,noop_locale_mutton_guanabara,7971067,1,1,3,4,0
0_1473805,food_papaya,1473805,0,0,20,20,0
1_3651421,noop_food_papaya,3651421,1,1,1,2,0
1_7101164,feast_excitement_papaya_rice_bosnia_alsace,7101164,1,12,28,40,0
1_6885942,feast_excitement_papaya_wurst_bosnia_alsace,6885942,1,12,28,40,0
0_4380956,eats_marzipan_mutton,4380956,0,0,3,3,0
1_1525959,noop_eats_marzipan_mutton,1525959,1,1,1,2,0
0_2180706,eats_ham_onion,2180706,0,0,2,2,0
1_2967144,noop_eats_ham_onion,2967144,1,1,1,2,0
0_5423156,food_endive,5423156,0,0,20,20,0
1_7600772,noop_food_endive,7600772,1,1,1,2,0
1_2718660,feast_satiety_cherry_endive_bosnia_alsace,2718660,1,12,46,58,0
1_6269771,feast_achievement_endive_cherry_bosnia_alsace,6269771,1,12,28,40,0
1_2494215,feast_achievement_endive_wurst_bosnia_alsace,2494215,1,12,28,40,0
0_6551857,craves_jealousy-2_wonderbread,6551857,0,0,3,3,0
1_7344507,noop_craves_jealousy-2_wonderbread,7344507,1,1,3,4,0
0_2879007,craves_grief_endive,2879007,0,0,4,4,0
1_5024368,noop_craves_grief_endive,5024368,1,2,6,8,0
0_1766507,locale_shrimp_alsace,1766507,0,0,7,7,0
1_6912487,noop_locale_shrimp_alsace,6912487,1,4,27,31,0
