Planner,Dom,Problem,Time,Steps,comp
blackbox,gripper,strips-gripper-x-1,113,11,IPC1998
hsp,gripper,strips-gripper-x-1,2007,13,IPC1998
ipp,gripper,strips-gripper-x-1,50,15,IPC1998
stan,gripper,strips-gripper-x-1,46,11,IPC1998
hsp,gripper,strips-gripper-x-10,7583,85,IPC1998
hsp,gripper,strips-gripper-x-11,9060,93,IPC1998
hsp,gripper,strips-gripper-x-12,10617,101,IPC1998
hsp,gripper,strips-gripper-x-13,12499,109,IPC1998
hsp,gripper,strips-gripper-x-14,15050,119,IPC1998
hsp,gripper,strips-gripper-x-15,16886,125,IPC1998
hsp,gripper,strips-gripper-x-16,20084,135,IPC1998
hsp,gripper,strips-gripper-x-17,23613,143,IPC1998
hsp,gripper,strips-gripper-x-18,26973,151,IPC1998
hsp,gripper,strips-gripper-x-19,29851,157,IPC1998
blackbox,gripper,strips-gripper-x-2,7820,17,IPC1998
hsp,gripper,strips-gripper-x-2,2150,21,IPC1998
ipp,gripper,strips-gripper-x-2,380,23,IPC1998
stan,gripper,strips-gripper-x-2,1075,17,IPC1998
hsp,gripper,strips-gripper-x-20,33210,165,IPC1998
hsp,gripper,strips-gripper-x-3,2485,31,IPC1998
ipp,gripper,strips-gripper-x-3,3270,31,IPC1998
stan,gripper,strips-gripper-x-3,54693,23,IPC1998
hsp,gripper,strips-gripper-x-4,3060,37,IPC1998
ipp,gripper,strips-gripper-x-4,26680,39,IPC1998
stan,gripper,strips-gripper-x-4,3038381,29,IPC1998
hsp,gripper,strips-gripper-x-5,3320,47,IPC1998
ipp,gripper,strips-gripper-x-5,226460,47,IPC1998
hsp,gripper,strips-gripper-x-6,3779,53,IPC1998
hsp,gripper,strips-gripper-x-7,4797,63,IPC1998
hsp,gripper,strips-gripper-x-8,5565,71,IPC1998
hsp,gripper,strips-gripper-x-9,6675,79,IPC1998
blackbox,logistics,strips-log-x-1,2062,27,IPC1998
hsp,logistics,strips-log-x-1,79682,43,IPC1998
ipp,logistics,strips-log-x-1,900,26,IPC1998
stan,logistics,strips-log-x-1,767,27,IPC1998
blackbox,logistics,strips-log-x-2,6436,32,IPC1998
hsp,logistics,strips-log-x-2,97114,44,IPC1998
stan,logistics,strips-log-x-2,4319,32,IPC1998
hsp,logistics,strips-log-x-5,14413,26,IPC1998
ipp,logistics,strips-log-x-5,2400,24,IPC1998
stan,logistics,strips-log-x-5,364932,29,IPC1998
hsp,logistics,strips-log-x-7,788914,112,IPC1998
blackbox,movie,strips-movie-x-1,11,7,IPC1998
hsp,movie,strips-movie-x-1,2121,7,IPC1998
ipp,movie,strips-movie-x-1,10,7,IPC1998
stan,movie,strips-movie-x-1,19,7,IPC1998
blackbox,movie,strips-movie-x-10,29,7,IPC1998
hsp,movie,strips-movie-x-10,2511,7,IPC1998
ipp,movie,strips-movie-x-10,10,7,IPC1998
stan,movie,strips-movie-x-10,26,7,IPC1998
blackbox,movie,strips-movie-x-11,30,7,IPC1998
hsp,movie,strips-movie-x-11,2427,7,IPC1998
ipp,movie,strips-movie-x-11,30,7,IPC1998
stan,movie,strips-movie-x-11,27,7,IPC1998
blackbox,movie,strips-movie-x-12,32,7,IPC1998
hsp,movie,strips-movie-x-12,2456,7,IPC1998
ipp,movie,strips-movie-x-12,30,7,IPC1998
stan,movie,strips-movie-x-12,28,7,IPC1998
blackbox,movie,strips-movie-x-13,36,7,IPC1998
hsp,movie,strips-movie-x-13,3070,7,IPC1998
ipp,movie,strips-movie-x-13,20,7,IPC1998
stan,movie,strips-movie-x-13,29,7,IPC1998
blackbox,movie,strips-movie-x-14,35,7,IPC1998
hsp,movie,strips-movie-x-14,2573,7,IPC1998
ipp,movie,strips-movie-x-14,30,7,IPC1998
stan,movie,strips-movie-x-14,31,7,IPC1998
blackbox,movie,strips-movie-x-15,38,7,IPC1998
hsp,movie,strips-movie-x-15,2577,7,IPC1998
ipp,movie,strips-movie-x-15,30,7,IPC1998
stan,movie,strips-movie-x-15,32,7,IPC1998
blackbox,movie,strips-movie-x-16,39,7,IPC1998
hsp,movie,strips-movie-x-16,2699,7,IPC1998
ipp,movie,strips-movie-x-16,10,7,IPC1998
stan,movie,strips-movie-x-16,34,7,IPC1998
blackbox,movie,strips-movie-x-17,41,7,IPC1998
hsp,movie,strips-movie-x-17,2645,7,IPC1998
ipp,movie,strips-movie-x-17,30,7,IPC1998
stan,movie,strips-movie-x-17,35,7,IPC1998
blackbox,movie,strips-movie-x-18,43,7,IPC1998
hsp,movie,strips-movie-x-18,2686,7,IPC1998
ipp,movie,strips-movie-x-18,10,7,IPC1998
stan,movie,strips-movie-x-18,37,7,IPC1998
blackbox,movie,strips-movie-x-19,45,7,IPC1998
hsp,movie,strips-movie-x-19,2727,7,IPC1998
ipp,movie,strips-movie-x-19,30,7,IPC1998
stan,movie,strips-movie-x-19,39,7,IPC1998
blackbox,movie,strips-movie-x-2,12,7,IPC1998
hsp,movie,strips-movie-x-2,2104,7,IPC1998
ipp,movie,strips-movie-x-2,10,7,IPC1998
stan,movie,strips-movie-x-2,18,7,IPC1998
blackbox,movie,strips-movie-x-20,47,7,IPC1998
hsp,movie,strips-movie-x-20,2787,7,IPC1998
ipp,movie,strips-movie-x-20,20,7,IPC1998
stan,movie,strips-movie-x-20,40,7,IPC1998
blackbox,movie,strips-movie-x-21,49,7,IPC1998
hsp,movie,strips-movie-x-21,2834,7,IPC1998
ipp,movie,strips-movie-x-21,20,7,IPC1998
stan,movie,strips-movie-x-21,42,7,IPC1998
blackbox,movie,strips-movie-x-22,51,7,IPC1998
hsp,movie,strips-movie-x-22,2834,7,IPC1998
ipp,movie,strips-movie-x-22,20,7,IPC1998
stan,movie,strips-movie-x-22,45,7,IPC1998
blackbox,movie,strips-movie-x-23,53,7,IPC1998
hsp,movie,strips-movie-x-23,2866,7,IPC1998
ipp,movie,strips-movie-x-23,20,7,IPC1998
stan,movie,strips-movie-x-23,48,7,IPC1998
blackbox,movie,strips-movie-x-24,55,7,IPC1998
hsp,movie,strips-movie-x-24,3341,7,IPC1998
ipp,movie,strips-movie-x-24,20,7,IPC1998
stan,movie,strips-movie-x-24,50,7,IPC1998
blackbox,movie,strips-movie-x-25,57,7,IPC1998
hsp,movie,strips-movie-x-25,2997,7,IPC1998
ipp,movie,strips-movie-x-25,30,7,IPC1998
stan,movie,strips-movie-x-25,52,7,IPC1998
blackbox,movie,strips-movie-x-26,58,7,IPC1998
hsp,movie,strips-movie-x-26,3013,7,IPC1998
ipp,movie,strips-movie-x-26,40,7,IPC1998
stan,movie,strips-movie-x-26,54,7,IPC1998
blackbox,movie,strips-movie-x-27,60,7,IPC1998
hsp,movie,strips-movie-x-27,3253,7,IPC1998
ipp,movie,strips-movie-x-27,50,7,IPC1998
stan,movie,strips-movie-x-27,57,7,IPC1998
blackbox,movie,strips-movie-x-28,63,7,IPC1998
hsp,movie,strips-movie-x-28,3049,7,IPC1998
ipp,movie,strips-movie-x-28,40,7,IPC1998
stan,movie,strips-movie-x-28,62,7,IPC1998
blackbox,movie,strips-movie-x-29,64,7,IPC1998
hsp,movie,strips-movie-x-29,3384,7,IPC1998
ipp,movie,strips-movie-x-29,50,7,IPC1998
stan,movie,strips-movie-x-29,64,7,IPC1998
blackbox,movie,strips-movie-x-3,14,7,IPC1998
hsp,movie,strips-movie-x-3,2144,7,IPC1998
ipp,movie,strips-movie-x-3,10,7,IPC1998
