"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist"
"354","IPC1998","blackbox","mprime","strips-mprime-x-17",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0
"355","IPC1998","hsp","mprime","strips-mprime-x-17",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0
"389","IPC1998","blackbox","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0
"390","IPC1998","hsp","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0
"391","IPC1998","ipp","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0.475090170625012,0
"392","IPC1998","stan","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0
"409","IPC1998","stan","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0
"410","IPC1998","ipp","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0.475090170625012,0
"411","IPC1998","blackbox","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0
"412","IPC1998","hsp","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0
"461","IPC1998","hsp","mystery","strips-mysty-x-1",1,"D","Time","D^-6vTime^-0.1",0.642009773062487,10175.6307916187
"462","IPC1998","ipp","mystery","strips-mysty-x-1",2,"D","Time","D^-6vTime^-0.1",0.475090170625012,94.9881276637273
"463","IPC1998","stan","mystery","strips-mysty-x-1",2,"D","Time","D^-6vTime^-0.1",0.531563857353823,34.9881276641353
"464","IPC1998","blackbox","mystery","strips-mysty-x-1",1,"D","Time","D^-6vTime^-0.1",0.629614267441121,1926.50745656975
"469","IPC1998","blackbox","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0
"470","IPC1998","hsp","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0
"471","IPC1998","ipp","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.475090170625012,0
"472","IPC1998","stan","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0
"493","IPC1998","blackbox","mystery","strips-mysty-x-17",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0
"494","IPC1998","stan","mystery","strips-mysty-x-17",1,"D","Time","D^-6vTime^-0.1",0.531563857353823,-1740.98812766385
"495","IPC1998","hsp","mystery","strips-mysty-x-17",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0
"496","IPC1998","ipp","mystery","strips-mysty-x-17",1,"D","Time","D^-6vTime^-0.1",0.475090170625012,-20634.9881276637
"529","IPC1998","blackbox","mystery","strips-mysty-x-25",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0
"530","IPC1998","ipp","mystery","strips-mysty-x-25",2,"D","Time","D^-6vTime^-0.1",0.475090170625012,104.988127663727
"531","IPC1998","stan","mystery","strips-mysty-x-25",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0
"532","IPC1998","hsp","mystery","strips-mysty-x-25",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0
"541","IPC1998","stan","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0
"542","IPC1998","ipp","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.475090170625012,0
"543","IPC1998","hsp","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0
"544","IPC1998","blackbox","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0
"545","IPC1998","hsp","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0
"546","IPC1998","stan","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0
"547","IPC1998","blackbox","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0
"548","IPC1998","ipp","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.475090170625012,0
"549","IPC1998","hsp","mystery","strips-mysty-x-3",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0
"550","IPC1998","ipp","mystery","strips-mysty-x-3",0,"D","Time","D^-6vTime^-0.1",0.475090170625012,0
"551","IPC1998","blackbox","mystery","strips-mysty-x-3",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0
"552","IPC1998","stan","mystery","strips-mysty-x-3",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0
"582","IPC2000","stan","blocks","BLOCKS-10-0",2,"D","Time","D^-6vTime^-0.1",0.267100223149559,-0.00195558902677759
"583","IPC2000","hsp2","blocks","BLOCKS-10-0",2,"D","Time","D^-6vTime^-0.1",0.963972912536604,-0.35975011587834
"584","IPC2000","mips","blocks","BLOCKS-10-0",2,"D","Time","D^-6vTime^-0.1",0.973029894837805,-9.40169661496952
"585","IPC2000","system-r","blocks","BLOCKS-10-0",0,"D","Time","D^-6vTime^-0.1",0.0937174934317385,0
"586","IPC2000","blackbox","blocks","BLOCKS-10-0",1,"D","Time","D^-6vTime^-0.1",0.986464538238538,-1.40413960350405
"587","IPC2000","ff","blocks","BLOCKS-10-0",0,"D","Time","D^-6vTime^-0.1",0.611517637529928,0
"589","IPC2000","tokenplan","blocks","BLOCKS-10-0",0,"D","Time","D^-6vTime^-0.1",0.130487315199316,0
"590","IPC2000","ipp","blocks","BLOCKS-10-0",1,"D","Time","D^-6vTime^-0.1",0.953266268649308,-3.41824640092989
"593","IPC2000","hsp2","blocks","BLOCKS-10-1",0,"D","Time","D^-6vTime^-0.1",0.963972912536604,0
"595","IPC2000","stan","blocks","BLOCKS-10-1",1,"D","Time","D^-6vTime^-0.1",0.267100223149559,-19.3075561043614
"596","IPC2000","ff","blocks","BLOCKS-10-1",0,"D","Time","D^-6vTime^-0.1",0.611517637529928,0
"597","IPC2000","mips","blocks","BLOCKS-10-1",0,"D","Time","D^-6vTime^-0.1",0.973029894837805,0
"599","IPC2000","ipp","blocks","BLOCKS-10-1",0,"D","Time","D^-6vTime^-0.1",0.953266268649308,0
"600","IPC2000","system-r","blocks","BLOCKS-10-1",0,"D","Time","D^-6vTime^-0.1",0.0937174934317385,0
"601","IPC2000","altalt","blocks","BLOCKS-10-1",1,"D","Time","D^-6vTime^-0.1",0.471037066879222,-159.002651975089
"604","IPC2000","blackbox","blocks","BLOCKS-10-1",1,"D","Time","D^-6vTime^-0.1",0.986464538238538,-2.41562006500277
"605","IPC2000","system-r","blocks","BLOCKS-10-2",0,"D","Time","D^-6vTime^-0.1",0.0937174934317385,0
"606","IPC2000","blackbox","blocks","BLOCKS-10-2",2,"D","Time","D^-6vTime^-0.1",0.986464538238538,-2.90410954635291
"607","IPC2000","stan","blocks","BLOCKS-10-2",1,"D","Time","D^-6vTime^-0.1",0.267100223149559,-36.9368178361679
"609","IPC2000","ff","blocks","BLOCKS-10-2",0,"D","Time","D^-6vTime^-0.1",0.611517637529928,0
"610","IPC2000","tokenplan","blocks","BLOCKS-10-2",0,"D","Time","D^-6vTime^-0.1",0.130487315199316,0
"613","IPC2000","ipp","blocks","BLOCKS-10-2",0,"D","Time","D^-6vTime^-0.1",0.953266268649308,0
"614","IPC2000","hsp2","blocks","BLOCKS-10-2",2,"D","Time","D^-6vTime^-0.1",0.963972912536604,-0.829367499861842
"615","IPC2000","mips","blocks","BLOCKS-10-2",1,"D","Time","D^-6vTime^-0.1",0.973029894837805,-55.2001031910373
"617","IPC2000","blackbox","blocks","BLOCKS-11-0",0,"D","Time","D^-6vTime^-0.1",0.986464538238538,0
"618","IPC2000","ff","blocks","BLOCKS-11-0",0,"D","Time","D^-6vTime^-0.1",0.611517637529928,0
"620","IPC2000","grt","blocks","BLOCKS-11-0",0,"D","Time","D^-6vTime^-0.1",0.285181787317707,0
"621","IPC2000","system-r","blocks","BLOCKS-11-0",0,"D","Time","D^-6vTime^-0.1",0.0937174934317385,0
"622","IPC2000","ipp","blocks","BLOCKS-11-0",2,"D","Time","D^-6vTime^-0.1",0.953266268649308,-4.56749736116895
"623","IPC2000","stan","blocks","BLOCKS-11-0",1,"D","Time","D^-6vTime^-0.1",0.267100223149559,-3.15480184275948
"626","IPC2000","hsp2","blocks","BLOCKS-11-0",1,"D","Time","D^-6vTime^-0.1",0.963972912536604,-8.79015480307281
"627","IPC2000","mips","blocks","BLOCKS-11-0",2,"D","Time","D^-6vTime^-0.1",0.973029894837805,-46.3401885747643
"641","IPC2000","blackbox","blocks","BLOCKS-11-2",2,"D","Time","D^-6vTime^-0.1",0.986464538238538,-55.0260962701487
"642","IPC2000","mips","blocks","BLOCKS-11-2",1,"D","Time","D^-6vTime^-0.1",0.973029894837805,-55.3133731824851
"643","IPC2000","stan","blocks","BLOCKS-11-2",0,"D","Time","D^-6vTime^-0.1",0.267100223149559,0
"645","IPC2000","ff","blocks","BLOCKS-11-2",0,"D","Time","D^-6vTime^-0.1",0.611517637529928,0
"647","IPC2000","hsp2","blocks","BLOCKS-11-2",0,"D","Time","D^-6vTime^-0.1",0.963972912536604,0
"648","IPC2000","system-r","blocks","BLOCKS-11-2",0,"D","Time","D^-6vTime^-0.1",0.0937174934317385,0
"649","IPC2000","ipp","blocks","BLOCKS-11-2",2,"D","Time","D^-6vTime^-0.1",0.953266268649308,-0.776946228807667
"650","IPC2000","tokenplan","blocks","BLOCKS-11-2",0,"D","Time","D^-6vTime^-0.1",0.130487315199316,0
"654","IPC2000","hsp2","blocks","BLOCKS-12-0",1,"D","Time","D^-6vTime^-0.1",0.963972912536604,-0.641506732628365
"655","IPC2000","stan","blocks","BLOCKS-12-0",0,"D","Time","D^-6vTime^-0.1",0.267100223149559,0
"656","IPC2000","ipp","blocks","BLOCKS-12-0",1,"D","Time","D^-6vTime^-0.1",0.953266268649308,-42.6569500932045
"657","IPC2000","altalt","blocks","BLOCKS-12-0",1,"D","Time","D^-6vTime^-0.1",0.471037066879222,-206.003132542738
"658","IPC2000","ff","blocks","BLOCKS-12-0",1,"D","Time","D^-6vTime^-0.1",0.611517637529928,-1
"659","IPC2000","system-r","blocks","BLOCKS-12-0",0,"D","Time","D^-6vTime^-0.1",0.0937174934317385,0
"661","IPC2000","tokenplan","blocks","BLOCKS-12-0",0,"D","Time","D^-6vTime^-0.1",0.130487315199316,0
"662","IPC2000","mips","blocks","BLOCKS-12-0",1,"D","Time","D^-6vTime^-0.1",0.973029894837805,-226.100468565866
"663","IPC2000","blackbox","blocks","BLOCKS-12-0",1,"D","Time","D^-6vTime^-0.1",0.986464538238538,-186.704794079561
"665","IPC2000","hsp2","blocks","BLOCKS-12-1",0,"D","Time","D^-6vTime^-0.1",0.963972912536604,0
"666","IPC2000","stan","blocks","BLOCKS-12-1",0,"D","Time","D^-6vTime^-0.1",0.267100223149559,0
"668","IPC2000","tokenplan","blocks","BLOCKS-12-1",0,"D","Time","D^-6vTime^-0.1",0.130487315199316,0
"669","IPC2000","ipp","blocks","BLOCKS-12-1",0,"D","Time","D^-6vTime^-0.1",0.953266268649308,0
"670","IPC2000","mips","blocks","BLOCKS-12-1",0,"D","Time","D^-6vTime^-0.1",0.973029894837805,0
"671","IPC2000","system-r","blocks","BLOCKS-12-1",0,"D","Time","D^-6vTime^-0.1",0.0937174934317385,0
"672","IPC2000","ff","blocks","BLOCKS-12-1",0,"D","Time","D^-6vTime^-0.1",0.611517637529928,0
"673","IPC2000","altalt","blocks","BLOCKS-12-1",0,"D","Time","D^-6vTime^-0.1",0.471037066879222,0
"676","IPC2000","blackbox","blocks","BLOCKS-12-1",0,"D","Time","D^-6vTime^-0.1",0.986464538238538,0
"944","IPC2000","propplan","blocks","BLOCKS-4-0",2,"D","Time","D^-6vTime^-0.1",0.988670800945,-22.0091083835166
"945","IPC2000","ff","blocks","BLOCKS-4-0",0,"D","Time","D^-6vTime^-0.1",0.611517637529928,0
"946","IPC2000","bddplan","blocks","BLOCKS-4-0",0,"D","Time","D^-6vTime^-0.1",0.997130889908925,0
"947","IPC2000","ipp","blocks","BLOCKS-4-0",0,"D","Time","D^-6vTime^-0.1",0.953266268649308,0
"948","IPC2000","system-r","blocks","BLOCKS-4-0",0,"D","Time","D^-6vTime^-0.1",0.0937174934317385,0
"949","IPC2000","mips","blocks","BLOCKS-4-0",0,"D","Time","D^-6vTime^-0.1",0.973029894837805,0
"950","IPC2000","grt","blocks","BLOCKS-4-0",0,"D","Time","D^-6vTime^-0.1",0.285181787317707,0
"951","IPC2000","stan","blocks","BLOCKS-4-0",0,"D","Time","D^-6vTime^-0.1",0.267100223149559,0
"952","IPC2000","blackbox","blocks","BLOCKS-4-0",0,"D","Time","D^-6vTime^-0.1",0.986464538238538,0
"953","IPC2000","hsp2","blocks","BLOCKS-4-0",2,"D","Time","D^-6vTime^-0.1",0.963972912536604,-0.89995760736662
"954","IPC2000","altalt","blocks","BLOCKS-4-0",1,"D","Time","D^-6vTime^-0.1",0.471037066879222,-699.337142021788
"955","IPC2000","tokenplan","blocks","BLOCKS-4-0",0,"D","Time","D^-6vTime^-0.1",0.130487315199316,0
"956","IPC2000","mips","blocks","BLOCKS-4-1",0,"D","Time","D^-6vTime^-0.1",0.973029894837805,0
"957","IPC2000","stan","blocks","BLOCKS-4-1",0,"D","Time","D^-6vTime^-0.1",0.267100223149559,0
"958","IPC2000","ipp","blocks","BLOCKS-4-1",0,"D","Time","D^-6vTime^-0.1",0.953266268649308,0
"959","IPC2000","system-r","blocks","BLOCKS-4-1",0,"D","Time","D^-6vTime^-0.1",0.0937174934317385,0
"960","IPC2000","grt","blocks","BLOCKS-4-1",0,"D","Time","D^-6vTime^-0.1",0.285181787317707,0
