"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist"
"1","IPC1998","blackbox","gripper","strips-gripper-x-1",0,"D","Time","D^10vTime^0.4",0.821280007582457,0
"2","IPC1998","stan","gripper","strips-gripper-x-1",1,"D","Time","D^10vTime^0.4",0.826563825974619,-4050.98767904834
"3","IPC1998","ipp","gripper","strips-gripper-x-1",2,"D","Time","D^10vTime^0.4",0.824571644406147,-27.5180697318398
"4","IPC1998","hsp","gripper","strips-gripper-x-1",1,"D","Time","D^10vTime^0.4",0.435834895181702,-89967.2103112041
"45","IPC1998","stan","gripper","strips-gripper-x-2",2,"D","Time","D^10vTime^0.4",0.826563825974619,-4.96346700127541
"46","IPC1998","ipp","gripper","strips-gripper-x-2",2,"D","Time","D^10vTime^0.4",0.824571644406147,-8.66675072437937
"47","IPC1998","blackbox","gripper","strips-gripper-x-2",2,"D","Time","D^10vTime^0.4",0.821280007582457,5574.79134453479
"48","IPC1998","hsp","gripper","strips-gripper-x-2",1,"D","Time","D^10vTime^0.4",0.435834895181702,-785536.025440784
"53","IPC1998","ipp","gripper","strips-gripper-x-3",0,"D","Time","D^10vTime^0.4",0.824571644406147,0
"54","IPC1998","stan","gripper","strips-gripper-x-3",2,"D","Time","D^10vTime^0.4",0.826563825974619,-20.2432894252168
"55","IPC1998","hsp","gripper","strips-gripper-x-3",2,"D","Time","D^10vTime^0.4",0.435834895181702,-894.980338526376
"85","IPC1998","hsp","logistics","strips-log-x-1",2,"D","Time","D^10vTime^0.4",0.435834895181702,-64.3131530596211
"86","IPC1998","stan","logistics","strips-log-x-1",2,"D","Time","D^10vTime^0.4",0.826563825974619,-3.78587405852729
"87","IPC1998","ipp","logistics","strips-log-x-1",1,"D","Time","D^10vTime^0.4",0.824571644406147,-0.131249411147458
"88","IPC1998","blackbox","logistics","strips-log-x-1",1,"D","Time","D^10vTime^0.4",0.821280007582457,-1
"129","IPC1998","blackbox","logistics","strips-log-x-2",1,"D","Time","D^10vTime^0.4",0.821280007582457,-1
"130","IPC1998","hsp","logistics","strips-log-x-2",2,"D","Time","D^10vTime^0.4",0.435834895181702,-126.542220108748
"132","IPC1998","stan","logistics","strips-log-x-2",2,"D","Time","D^10vTime^0.4",0.826563825974619,-2.45355423787692
"176","IPC1998","hsp","logistics","strips-log-x-7",2,"D","Time","D^10vTime^0.4",0.435834895181702,-77.8930307797423
"201","IPC1998","stan","movie","strips-movie-x-1",2,"D","Time","D^10vTime^0.4",0.826563825974619,-1.16396095447329
"202","IPC1998","hsp","movie","strips-movie-x-1",0,"D","Time","D^10vTime^0.4",0.435834895181702,0
"203","IPC1998","ipp","movie","strips-movie-x-1",0,"D","Time","D^10vTime^0.4",0.824571644406147,0
"204","IPC1998","blackbox","movie","strips-movie-x-1",1,"D","Time","D^10vTime^0.4",0.821280007582457,-1
"205","IPC1998","hsp","movie","strips-movie-x-10",0,"D","Time","D^10vTime^0.4",0.435834895181702,0
"206","IPC1998","ipp","movie","strips-movie-x-10",1,"D","Time","D^10vTime^0.4",0.824571644406147,-1.79550423183825
"207","IPC1998","stan","movie","strips-movie-x-10",0,"D","Time","D^10vTime^0.4",0.826563825974619,0
"208","IPC1998","blackbox","movie","strips-movie-x-10",0,"D","Time","D^10vTime^0.4",0.821280007582457,0
"209","IPC1998","stan","movie","strips-movie-x-11",0,"D","Time","D^10vTime^0.4",0.826563825974619,0
"210","IPC1998","blackbox","movie","strips-movie-x-11",0,"D","Time","D^10vTime^0.4",0.821280007582457,0
"211","IPC1998","ipp","movie","strips-movie-x-11",1,"D","Time","D^10vTime^0.4",0.824571644406147,-2.49356436609738
"212","IPC1998","hsp","movie","strips-movie-x-11",0,"D","Time","D^10vTime^0.4",0.435834895181702,0
"213","IPC1998","hsp","movie","strips-movie-x-12",0,"D","Time","D^10vTime^0.4",0.435834895181702,0
"214","IPC1998","ipp","movie","strips-movie-x-12",2,"D","Time","D^10vTime^0.4",0.824571644406147,-5.8102345719266
"215","IPC1998","blackbox","movie","strips-movie-x-12",0,"D","Time","D^10vTime^0.4",0.821280007582457,0
"216","IPC1998","stan","movie","strips-movie-x-12",0,"D","Time","D^10vTime^0.4",0.826563825974619,0
"217","IPC1998","ipp","movie","strips-movie-x-13",1,"D","Time","D^10vTime^0.4",0.824571644406147,-3.68799883372838
"218","IPC1998","blackbox","movie","strips-movie-x-13",0,"D","Time","D^10vTime^0.4",0.821280007582457,0
"219","IPC1998","hsp","movie","strips-movie-x-13",0,"D","Time","D^10vTime^0.4",0.435834895181702,0
"220","IPC1998","stan","movie","strips-movie-x-13",0,"D","Time","D^10vTime^0.4",0.826563825974619,0
"221","IPC1998","blackbox","movie","strips-movie-x-14",0,"D","Time","D^10vTime^0.4",0.821280007582457,0
"222","IPC1998","hsp","movie","strips-movie-x-14",0,"D","Time","D^10vTime^0.4",0.435834895181702,0
"223","IPC1998","stan","movie","strips-movie-x-14",0,"D","Time","D^10vTime^0.4",0.826563825974619,0
"224","IPC1998","ipp","movie","strips-movie-x-14",2,"D","Time","D^10vTime^0.4",0.824571644406147,-5.20572826455949
"225","IPC1998","hsp","movie","strips-movie-x-15",0,"D","Time","D^10vTime^0.4",0.435834895181702,0
"226","IPC1998","stan","movie","strips-movie-x-15",0,"D","Time","D^10vTime^0.4",0.826563825974619,0
"227","IPC1998","blackbox","movie","strips-movie-x-15",0,"D","Time","D^10vTime^0.4",0.821280007582457,0
"228","IPC1998","ipp","movie","strips-movie-x-15",1,"D","Time","D^10vTime^0.4",0.824571644406147,-4.67400393537699
"229","IPC1998","ipp","movie","strips-movie-x-16",2,"D","Time","D^10vTime^0.4",0.824571644406147,-22.2868398623008
"230","IPC1998","blackbox","movie","strips-movie-x-16",0,"D","Time","D^10vTime^0.4",0.821280007582457,0
"231","IPC1998","hsp","movie","strips-movie-x-16",2,"D","Time","D^10vTime^0.4",0.435834895181702,-815.73902170771
"232","IPC1998","stan","movie","strips-movie-x-16",0,"D","Time","D^10vTime^0.4",0.826563825974619,0
"233","IPC1998","ipp","movie","strips-movie-x-17",0,"D","Time","D^10vTime^0.4",0.824571644406147,0
"234","IPC1998","stan","movie","strips-movie-x-17",2,"D","Time","D^10vTime^0.4",0.826563825974619,-18.7098974558908
"235","IPC1998","hsp","movie","strips-movie-x-17",0,"D","Time","D^10vTime^0.4",0.435834895181702,0
"236","IPC1998","blackbox","movie","strips-movie-x-17",2,"D","Time","D^10vTime^0.4",0.821280007582457,-0.926291139353459
"237","IPC1998","hsp","movie","strips-movie-x-18",0,"D","Time","D^10vTime^0.4",0.435834895181702,0
"238","IPC1998","ipp","movie","strips-movie-x-18",0,"D","Time","D^10vTime^0.4",0.824571644406147,0
"239","IPC1998","blackbox","movie","strips-movie-x-18",1,"D","Time","D^10vTime^0.4",0.821280007582457,-1
"240","IPC1998","stan","movie","strips-movie-x-18",1,"D","Time","D^10vTime^0.4",0.826563825974619,-0.399086150976473
"241","IPC1998","ipp","movie","strips-movie-x-19",0,"D","Time","D^10vTime^0.4",0.824571644406147,0
"242","IPC1998","stan","movie","strips-movie-x-19",1,"D","Time","D^10vTime^0.4",0.826563825974619,-2.5726704722025
"243","IPC1998","hsp","movie","strips-movie-x-19",0,"D","Time","D^10vTime^0.4",0.435834895181702,0
"244","IPC1998","blackbox","movie","strips-movie-x-19",2,"D","Time","D^10vTime^0.4",0.821280007582457,1.86505488626837
"245","IPC1998","stan","movie","strips-movie-x-2",1,"D","Time","D^10vTime^0.4",0.826563825974619,-5.73258933101796
"246","IPC1998","blackbox","movie","strips-movie-x-2",2,"D","Time","D^10vTime^0.4",0.821280007582457,4.59477424802798
"247","IPC1998","ipp","movie","strips-movie-x-2",0,"D","Time","D^10vTime^0.4",0.824571644406147,0
"248","IPC1998","hsp","movie","strips-movie-x-2",0,"D","Time","D^10vTime^0.4",0.435834895181702,0
"249","IPC1998","ipp","movie","strips-movie-x-20",0,"D","Time","D^10vTime^0.4",0.824571644406147,0
"250","IPC1998","blackbox","movie","strips-movie-x-20",2,"D","Time","D^10vTime^0.4",0.821280007582457,7.27003022155597
"251","IPC1998","stan","movie","strips-movie-x-20",1,"D","Time","D^10vTime^0.4",0.826563825974619,-8.88039389891888
"252","IPC1998","hsp","movie","strips-movie-x-20",1,"D","Time","D^10vTime^0.4",0.435834895181702,-361.927511525603
"253","IPC1998","blackbox","movie","strips-movie-x-21",2,"D","Time","D^10vTime^0.4",0.821280007582457,9.89690594763426
"254","IPC1998","hsp","movie","strips-movie-x-21",1,"D","Time","D^10vTime^0.4",0.435834895181702,-29.4281359721199
"255","IPC1998","stan","movie","strips-movie-x-21",1,"D","Time","D^10vTime^0.4",0.826563825974619,-11.0174093271013
"256","IPC1998","ipp","movie","strips-movie-x-21",1,"D","Time","D^10vTime^0.4",0.824571644406147,-6.82296796633362
"257","IPC1998","stan","movie","strips-movie-x-22",1,"D","Time","D^10vTime^0.4",0.826563825974619,-13.1447744369896
"258","IPC1998","ipp","movie","strips-movie-x-22",1,"D","Time","D^10vTime^0.4",0.824571644406147,-17.0992013443654
"259","IPC1998","blackbox","movie","strips-movie-x-22",2,"D","Time","D^10vTime^0.4",0.821280007582457,12.4806013861129
"260","IPC1998","hsp","movie","strips-movie-x-22",1,"D","Time","D^10vTime^0.4",0.435834895181702,-56.3285344663755
"261","IPC1998","hsp","movie","strips-movie-x-23",1,"D","Time","D^10vTime^0.4",0.435834895181702,-306.679048932212
"262","IPC1998","stan","movie","strips-movie-x-23",1,"D","Time","D^10vTime^0.4",0.826563825974619,-15.2634733360028
"263","IPC1998","blackbox","movie","strips-movie-x-23",2,"D","Time","D^10vTime^0.4",0.821280007582457,15.0255886357672
"264","IPC1998","ipp","movie","strips-movie-x-23",1,"D","Time","D^10vTime^0.4",0.824571644406147,-27.3581495843427
"265","IPC1998","blackbox","movie","strips-movie-x-24",2,"D","Time","D^10vTime^0.4",0.821280007582457,16.5357355406331
"266","IPC1998","hsp","movie","strips-movie-x-24",1,"D","Time","D^10vTime^0.4",0.435834895181702,-112.524324363891
"267","IPC1998","stan","movie","strips-movie-x-24",1,"D","Time","D^10vTime^0.4",0.826563825974619,-18.3743608111515
"268","IPC1998","ipp","movie","strips-movie-x-24",1,"D","Time","D^10vTime^0.4",0.824571644406147,-17.6014470737407
"269","IPC1998","stan","movie","strips-movie-x-25",1,"D","Time","D^10vTime^0.4",0.826563825974619,-23.4781828829622
"270","IPC1998","hsp","movie","strips-movie-x-25",1,"D","Time","D^10vTime^0.4",0.435834895181702,-456.904109094514
"271","IPC1998","ipp","movie","strips-movie-x-25",1,"D","Time","D^10vTime^0.4",0.824571644406147,-27.8305257937882
"272","IPC1998","blackbox","movie","strips-movie-x-25",2,"D","Time","D^10vTime^0.4",0.821280007582457,19.0144048915036
"273","IPC1998","blackbox","movie","strips-movie-x-26",2,"D","Time","D^10vTime^0.4",0.821280007582457,22.4645346679656
"274","IPC1998","stan","movie","strips-movie-x-26",1,"D","Time","D^10vTime^0.4",0.826563825974619,-25.5755935621459
"275","IPC1998","hsp","movie","strips-movie-x-26",2,"D","Time","D^10vTime^0.4",0.435834895181702,-701.080362789863
"276","IPC1998","ipp","movie","strips-movie-x-26",2,"D","Time","D^10vTime^0.4",0.824571644406147,-18.7026528839076
"277","IPC1998","stan","movie","strips-movie-x-27",2,"D","Time","D^10vTime^0.4",0.826563825974619,-15.9327213937521
"278","IPC1998","hsp","movie","strips-movie-x-27",1,"D","Time","D^10vTime^0.4",0.435834895181702,-208.853922180608
"279","IPC1998","blackbox","movie","strips-movie-x-27",2,"D","Time","D^10vTime^0.4",0.821280007582457,23.888703420747
"280","IPC1998","ipp","movie","strips-movie-x-27",1,"D","Time","D^10vTime^0.4",0.824571644406147,-18.0466458781731
"281","IPC1998","ipp","movie","strips-movie-x-28",2,"D","Time","D^10vTime^0.4",0.824571644406147,-16.0970408618243
"282","IPC1998","blackbox","movie","strips-movie-x-28",1,"D","Time","D^10vTime^0.4",0.821280007582457,-1
"283","IPC1998","hsp","movie","strips-movie-x-28",2,"D","Time","D^10vTime^0.4",0.435834895181702,-597.09095233526
"284","IPC1998","stan","movie","strips-movie-x-28",1,"D","Time","D^10vTime^0.4",0.826563825974619,-28.667168602607
"285","IPC1998","hsp","movie","strips-movie-x-29",2,"D","Time","D^10vTime^0.4",0.435834895181702,-527.580173136638
"286","IPC1998","stan","movie","strips-movie-x-29",2,"D","Time","D^10vTime^0.4",0.826563825974619,-13.6189943726654
"287","IPC1998","ipp","movie","strips-movie-x-29",2,"D","Time","D^10vTime^0.4",0.824571644406147,-13.4830149134976
"288","IPC1998","blackbox","movie","strips-movie-x-29",2,"D","Time","D^10vTime^0.4",0.821280007582457,26.2891839112717
"289","IPC1998","ipp","movie","strips-movie-x-3",2,"D","Time","D^10vTime^0.4",0.824571644406147,-14.1178547442949
"290","IPC1998","blackbox","movie","strips-movie-x-3",1,"D","Time","D^10vTime^0.4",0.821280007582457,-1
"291","IPC1998","hsp","movie","strips-movie-x-3",2,"D","Time","D^10vTime^0.4",0.435834895181702,-76.8485133722279
"292","IPC1998","stan","movie","strips-movie-x-3",2,"D","Time","D^10vTime^0.4",0.826563825974619,-11.6091977941431
"293","IPC1998","hsp","movie","strips-movie-x-30",2,"D","Time","D^10vTime^0.4",0.435834895181702,-342.071970477417
"294","IPC1998","ipp","movie","strips-movie-x-30",2,"D","Time","D^10vTime^0.4",0.824571644406147,-12.5629524447005
"295","IPC1998","blackbox","movie","strips-movie-x-30",1,"D","Time","D^10vTime^0.4",0.821280007582457,-0.999999999999996
"296","IPC1998","stan","movie","strips-movie-x-30",2,"D","Time","D^10vTime^0.4",0.826563825974619,-9.80922773636092
"297","IPC1998","ipp","movie","strips-movie-x-4",2,"D","Time","D^10vTime^0.4",0.824571644406147,-1.30838978196419
"298","IPC1998","stan","movie","strips-movie-x-4",2,"D","Time","D^10vTime^0.4",0.826563825974619,-9.16007321309237
"299","IPC1998","blackbox","movie","strips-movie-x-4",1,"D","Time","D^10vTime^0.4",0.821280007582457,-1
"300","IPC1998","hsp","movie","strips-movie-x-4",2,"D","Time","D^10vTime^0.4",0.435834895181702,-311.969790209696
"301","IPC1998","ipp","movie","strips-movie-x-5",2,"D","Time","D^10vTime^0.4",0.824571644406147,-0.274096003788063
"302","IPC1998","stan","movie","strips-movie-x-5",2,"D","Time","D^10vTime^0.4",0.826563825974619,-7.62289305664549
"303","IPC1998","blackbox","movie","strips-movie-x-5",1,"D","Time","D^10vTime^0.4",0.821280007582457,-1
