"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist","MahaDist","MahaOut","CookDist","CookOut","Disc"
"1","IPC1998","blackbox","gripper","strips-gripper-x-1",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"2","IPC1998","stan","gripper","strips-gripper-x-1",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"3","IPC1998","ipp","gripper","strips-gripper-x-1",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"4","IPC1998","hsp","gripper","strips-gripper-x-1",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"45","IPC1998","stan","gripper","strips-gripper-x-2",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"46","IPC1998","ipp","gripper","strips-gripper-x-2",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"47","IPC1998","blackbox","gripper","strips-gripper-x-2",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"48","IPC1998","hsp","gripper","strips-gripper-x-2",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"53","IPC1998","ipp","gripper","strips-gripper-x-3",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"54","IPC1998","stan","gripper","strips-gripper-x-3",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"55","IPC1998","hsp","gripper","strips-gripper-x-3",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"85","IPC1998","hsp","logistics","strips-log-x-1",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"86","IPC1998","stan","logistics","strips-log-x-1",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"87","IPC1998","ipp","logistics","strips-log-x-1",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"88","IPC1998","blackbox","logistics","strips-log-x-1",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"129","IPC1998","blackbox","logistics","strips-log-x-2",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"130","IPC1998","hsp","logistics","strips-log-x-2",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"132","IPC1998","stan","logistics","strips-log-x-2",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"196","IPC1998","hsp","logistics","strips-log-x-7",0,"D","Time","D^10vTime^-0.2",0,0,0,0,0,0,0
"225","IPC1998","stan","movie","strips-movie-x-1",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.099325710951824,1.48672203048088,0,0.0329059704398991,0,2
"226","IPC1998","hsp","movie","strips-movie-x-1",1,"D","Time","D^10vTime^-0.2",0.911558852808667,-2115.00515749681,3.17022495454098,0,0.75980293406526,1,0
"227","IPC1998","ipp","movie","strips-movie-x-1",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0,3.17022495454098,0,0.00256779245309653,0,0
"228","IPC1998","blackbox","movie","strips-movie-x-1",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0,1.26122828330236,0,0.00166489693708045,0,2
"229","IPC1998","hsp","movie","strips-movie-x-10",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0,1.7601710020728,0,0.0149987490405653,0,0
"230","IPC1998","ipp","movie","strips-movie-x-10",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0,1.7601710020728,0,0.00275196518921465,0,0
"231","IPC1998","stan","movie","strips-movie-x-10",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.326049151222975,1.41626389769759,0,0.0409078616693907,0,2
"232","IPC1998","blackbox","movie","strips-movie-x-10",2,"D","Time","D^10vTime^-0.2",0.998933263671479,0.480428569632664,1.45726828862467,0,0.044200138134724,0,2
"233","IPC1998","stan","movie","strips-movie-x-11",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.173425047352783,1.13477660379785,0,0.0220536115740891,0,2
"234","IPC1998","blackbox","movie","strips-movie-x-11",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0,0.653832069887477,0,6.8281569983852e-05,0,2
"235","IPC1998","ipp","movie","strips-movie-x-11",2,"D","Time","D^10vTime^-0.2",0.636947127143981,4.17729064566719,0.870977681677118,0,0.0223625504157431,0,2
"236","IPC1998","hsp","movie","strips-movie-x-11",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0,0.870977681677118,0,0.00145887933731969,0,2
"237","IPC1998","hsp","movie","strips-movie-x-12",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0,1.0394344846273,0,0.00150437145892012,0,2
"238","IPC1998","ipp","movie","strips-movie-x-12",2,"D","Time","D^10vTime^-0.2",0.636947127143981,4.06898815245481,2.054023350525,0,0.0216822181870973,0,2
"239","IPC1998","blackbox","movie","strips-movie-x-12",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0,0.59327698731992,0,0.000842870938211608,0,2
"240","IPC1998","stan","movie","strips-movie-x-12",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0,0.7511482332169,0,0.00580362048283117,0,2
"241","IPC1998","ipp","movie","strips-movie-x-13",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0,1.83888061409036,0,8.47826374173564e-06,0,0
"242","IPC1998","blackbox","movie","strips-movie-x-13",2,"D","Time","D^10vTime^-0.2",0.998933263671479,1.83075700216733,3.63279985880854,1,0.278222864370366,1,2
"243","IPC1998","hsp","movie","strips-movie-x-13",1,"D","Time","D^10vTime^-0.2",0.911558852808667,-3064.00515749681,1.14323455803717,0,0.0649205090706142,0,0
"244","IPC1998","stan","movie","strips-movie-x-13",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0,0.473893887433642,0,0.000141652638617432,0,0
"245","IPC1998","blackbox","movie","strips-movie-x-14",1,"D","Time","D^10vTime^-0.2",0.998933263671479,0.314310189182329,1.18694099917456,0,0.0252381253834282,0,0
