"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist"
"34","IPC2000","propplan","blocks","BLOCKS-4-0",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"36","IPC2000","propplan","blocks","BLOCKS-4-1",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"38","IPC2000","propplan","blocks","BLOCKS-4-2",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"41","IPC2000","propplan","blocks","BLOCKS-5-2",2,"D","Time","D^-9vTime^-3",0.988670800945,0
"43","IPC2000","propplan","blocks","BLOCKS-6-0",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"45","IPC2000","propplan","blocks","BLOCKS-6-2",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"46","IPC2000","propplan","blocks","BLOCKS-6-1",1,"D","Time","D^-9vTime^-3",0.988670800945,0
"47","IPC2000","propplan","blocks","BLOCKS-7-1",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"49","IPC2000","propplan","blocks","BLOCKS-7-2",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"50","IPC2000","propplan","blocks","BLOCKS-7-0",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"51","IPC2000","propplan","blocks","BLOCKS-5-1",2,"D","Time","D^-9vTime^-3",0.988670800945,0
"52","IPC2000","propplan","blocks","BLOCKS-8-0",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"53","IPC2000","propplan","blocks","BLOCKS-5-0",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"57","IPC2000","propplan","blocks","BLOCKS-8-1",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"58","IPC2000","propplan","blocks","BLOCKS-8-2",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"60","IPC2000","propplan","blocks","BLOCKS-9-2",0,"D","Time","D^-9vTime^-3",0.988670800945,0
"61","IPC2000","ff","blocks","BLOCKS-10-2",0,"D","Time","D^-9vTime^-3",0.357800213301496,0
"62","IPC2000","ff","blocks","BLOCKS-11-0",1,"D","Time","D^-9vTime^-3",0.357800213301496,0
"63","IPC2000","ff","blocks","BLOCKS-11-1",0,"D","Time","D^-9vTime^-3",0.357800213301496,0
"64","IPC2000","ff","blocks","BLOCKS-11-2",1,"D","Time","D^-9vTime^-3",0.357800213301496,0
"65","IPC2000","ff","blocks","BLOCKS-12-0",1,"D","Time","D^-9vTime^-3",0.357800213301496,0
"66","IPC2000","ff","blocks","BLOCKS-10-0",0,"D","Time","D^-9vTime^-3",0.357800213301496,0
"67","IPC2000","ff","blocks","BLOCKS-10-1",1,"D","Time","D^-9vTime^-3",0.357800213301496,0
