id,name,hash,time,ind,otd,ad,bc
0_2486100,clear_blockD,2486100,0,0,6,6,0
1_7888383,noop_clear_blockD,7888383,1,1,1,2,0
1_4420261,PICK-UP_blockD,4420261,1,3,4,7,0
0_2486101,clear_blockE,2486101,0,0,6,6,0
1_7888384,noop_clear_blockE,7888384,1,1,1,2,0
1_4420262,PICK-UP_blockE,4420262,1,3,4,7,0
0_4319057,arm-empty,4319057,0,0,6,6,0
1_3527978,noop_arm-empty,3527978,1,1,1,2,0
1_4420258,PICK-UP_blockA,4420258,1,3,4,7,0
1_4420259,PICK-UP_blockB,4420259,1,3,4,7,0
1_4420260,PICK-UP_blockC,4420260,1,3,4,7,0
0_7323873,on-table_blockA,7323873,0,0,2,2,0
1_626599,noop_on-table_blockA,626599,1,1,1,2,0
0_7323874,on-table_blockB,7323874,0,0,2,2,0
1_626600,noop_on-table_blockB,626600,1,1,1,2,0
0_7323875,on-table_blockC,7323875,0,0,2,2,0
1_626601,noop_on-table_blockC,626601,1,1,1,2,0
0_7323876,on-table_blockD,7323876,0,0,2,2,0
1_626602,noop_on-table_blockD,626602,1,1,1,2,0
0_7323877,on-table_blockE,7323877,0,0,2,2,0
1_626603,noop_on-table_blockE,626603,1,1,1,2,0
0_2486097,clear_blockA,2486097,0,0,6,6,0
1_7888380,noop_clear_blockA,7888380,1,1,1,2,0
0_2486098,clear_blockB,2486098,0,0,6,6,0
1_7888381,noop_clear_blockB,7888381,1,1,1,2,0
0_2486099,clear_blockC,2486099,0,0,6,6,0
1_7888382,noop_clear_blockC,7888382,1,1,1,2,0
0_626600,noop_on-table_blockB,626600,0,0,1,1,0
1_7323874,on-table_blockB,7323874,1,2,2,4,0
0_626601,noop_on-table_blockC,626601,0,0,1,1,0
1_7323875,on-table_blockC,7323875,1,2,2,4,0
0_626602,noop_on-table_blockD,626602,0,0,1,1,0
1_7323876,on-table_blockD,7323876,1,2,2,4,0
0_626603,noop_on-table_blockE,626603,0,0,1,1,0
1_7323877,on-table_blockE,7323877,1,2,2,4,0
0_4420258,PICK-UP_blockA,4420258,0,0,4,4,0
1_6926487,holding_blockA,6926487,1,1,6,7,0
1_4319057,arm-empty,4319057,1,6,26,32,0
1_7323873,on-table_blockA,7323873,1,2,2,4,0
1_2486097,clear_blockA,2486097,1,2,10,12,0
0_4420259,PICK-UP_blockB,4420259,0,0,4,4,0
1_6926488,holding_blockB,6926488,1,1,6,7,0
1_2486098,clear_blockB,2486098,1,2,10,12,0
0_4420260,PICK-UP_blockC,4420260,0,0,4,4,0
1_6926489,holding_blockC,6926489,1,1,6,7,0
1_2486099,clear_blockC,2486099,1,2,10,12,0
0_4420261,PICK-UP_blockD,4420261,0,0,4,4,0
1_6926490,holding_blockD,6926490,1,1,6,7,0
1_2486100,clear_blockD,2486100,1,2,10,12,0
0_4420262,PICK-UP_blockE,4420262,0,0,4,4,0
1_6926491,holding_blockE,6926491,1,1,6,7,0
1_2486101,clear_blockE,2486101,1,2,10,12,0
0_3527978,noop_arm-empty,3527978,0,0,1,1,0
0_7888380,noop_clear_blockA,7888380,0,0,1,1,0
0_7888381,noop_clear_blockB,7888381,0,0,1,1,0
0_7888382,noop_clear_blockC,7888382,0,0,1,1,0
0_7888383,noop_clear_blockD,7888383,0,0,1,1,0
0_7888384,noop_clear_blockE,7888384,0,0,1,1,0
0_626599,noop_on-table_blockA,626599,0,0,1,1,0
2_7888383,noop_clear_blockD,7888383,2,1,1,2,0
2_7489797,STACK_blockA_blockD,7489797,2,2,5,7,0
2_6318588,STACK_blockB_blockD,6318588,2,2,5,7,0
2_5147379,STACK_blockC_blockD,5147379,2,2,5,7,0
2_2804961,STACK_blockE_blockD,2804961,2,2,5,7,0
2_4420261,PICK-UP_blockD,4420261,2,3,4,7,0
2_7888384,noop_clear_blockE,7888384,2,1,1,2,0
2_7489798,STACK_blockA_blockE,7489798,2,2,5,7,0
2_6318589,STACK_blockB_blockE,6318589,2,2,5,7,0
2_5147380,STACK_blockC_blockE,5147380,2,2,5,7,0
2_3976171,STACK_blockD_blockE,3976171,2,2,5,7,0
2_4420262,PICK-UP_blockE,4420262,2,3,4,7,0
2_3527978,noop_arm-empty,3527978,2,1,1,2,0
2_4420258,PICK-UP_blockA,4420258,2,3,4,7,0
2_4420259,PICK-UP_blockB,4420259,2,3,4,7,0
2_4420260,PICK-UP_blockC,4420260,2,3,4,7,0
2_626599,noop_on-table_blockA,626599,2,1,1,2,0
2_626600,noop_on-table_blockB,626600,2,1,1,2,0
2_626601,noop_on-table_blockC,626601,2,1,1,2,0
2_626602,noop_on-table_blockD,626602,2,1,1,2,0
2_626603,noop_on-table_blockE,626603,2,1,1,2,0
2_7712925,noop_holding_blockA,7712925,2,1,1,2,0
2_7489795,STACK_blockA_blockB,7489795,2,2,5,7,0
2_7489796,STACK_blockA_blockC,7489796,2,2,5,7,0
2_5129701,PUT-DOWN_blockA,5129701,2,1,4,5,0
2_7712926,noop_holding_blockB,7712926,2,1,1,2,0
2_6318585,STACK_blockB_blockA,6318585,2,2,5,7,0
2_6318587,STACK_blockB_blockC,6318587,2,2,5,7,0
2_5129702,PUT-DOWN_blockB,5129702,2,1,4,5,0
2_7712927,noop_holding_blockC,7712927,2,1,1,2,0
2_5147376,STACK_blockC_blockA,5147376,2,2,5,7,0
2_5147377,STACK_blockC_blockB,5147377,2,2,5,7,0
2_5129703,PUT-DOWN_blockC,5129703,2,1,4,5,0
2_7712928,noop_holding_blockD,7712928,2,1,1,2,0
2_3976167,STACK_blockD_blockA,3976167,2,2,5,7,0
2_3976168,STACK_blockD_blockB,3976168,2,2,5,7,0
2_3976169,STACK_blockD_blockC,3976169,2,2,5,7,0
2_5129704,PUT-DOWN_blockD,5129704,2,1,4,5,0
2_7712929,noop_holding_blockE,7712929,2,1,1,2,0
2_2804958,STACK_blockE_blockA,2804958,2,2,5,7,0
2_2804959,STACK_blockE_blockB,2804959,2,2,5,7,0
2_2804960,STACK_blockE_blockC,2804960,2,2,5,7,0
