"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist"
"354","IPC1998","blackbox","mprime","strips-mprime-x-17",0,"D","Time","D^-6vTime^-0.1",0,0
"355","IPC1998","hsp","mprime","strips-mprime-x-17",0,"D","Time","D^-6vTime^-0.1",0,0
"389","IPC1998","blackbox","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0,0
"390","IPC1998","hsp","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0,0
"391","IPC1998","ipp","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0,0
"392","IPC1998","stan","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0,0
"409","IPC1998","stan","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0,0
"410","IPC1998","ipp","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0,0
"411","IPC1998","blackbox","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0,0
"412","IPC1998","hsp","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0,0
"461","IPC1998","hsp","mystery","strips-mysty-x-1",0,"D","Time","D^-6vTime^-0.1",0.294876342133474,0
"462","IPC1998","ipp","mystery","strips-mysty-x-1",0,"D","Time","D^-6vTime^-0.1",0.453339199873208,0
"463","IPC1998","stan","mystery","strips-mysty-x-1",0,"D","Time","D^-6vTime^-0.1",0.512818219992034,0
"464","IPC1998","blackbox","mystery","strips-mysty-x-1",0,"D","Time","D^-6vTime^-0.1",0.35109822689259,0
"469","IPC1998","blackbox","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.35109822689259,0
"470","IPC1998","hsp","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.294876342133474,0
"471","IPC1998","ipp","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.453339199873208,0
"472","IPC1998","stan","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.512818219992034,0
"493","IPC1998","blackbox","mystery","strips-mysty-x-17",0,"D","Time","D^-6vTime^-0.1",0.35109822689259,0
"494","IPC1998","stan","mystery","strips-mysty-x-17",0,"D","Time","D^-6vTime^-0.1",0.512818219992034,0
"495","IPC1998","hsp","mystery","strips-mysty-x-17",0,"D","Time","D^-6vTime^-0.1",0.294876342133474,0
"496","IPC1998","ipp","mystery","strips-mysty-x-17",0,"D","Time","D^-6vTime^-0.1",0.453339199873208,0
"529","IPC1998","blackbox","mystery","strips-mysty-x-25",0,"D","Time","D^-6vTime^-0.1",0.35109822689259,0
"530","IPC1998","ipp","mystery","strips-mysty-x-25",0,"D","Time","D^-6vTime^-0.1",0.453339199873208,0
"531","IPC1998","stan","mystery","strips-mysty-x-25",0,"D","Time","D^-6vTime^-0.1",0.512818219992034,0
"532","IPC1998","hsp","mystery","strips-mysty-x-25",0,"D","Time","D^-6vTime^-0.1",0.294876342133474,0
"541","IPC1998","stan","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.512818219992034,0
"542","IPC1998","ipp","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.453339199873208,0
"543","IPC1998","hsp","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.294876342133474,0
"544","IPC1998","blackbox","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.35109822689259,0
"545","IPC1998","hsp","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.294876342133474,0
"546","IPC1998","stan","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.512818219992034,0
"547","IPC1998","blackbox","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.35109822689259,0
"548","IPC1998","ipp","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.453339199873208,0
"549","IPC1998","hsp","mystery","strips-mysty-x-3",0,"D","Time","D^-6vTime^-0.1",0.294876342133474,0
"550","IPC1998","ipp","mystery","strips-mysty-x-3",0,"D","Time","D^-6vTime^-0.1",0.453339199873208,0
"551","IPC1998","blackbox","mystery","strips-mysty-x-3",0,"D","Time","D^-6vTime^-0.1",0.35109822689259,0
"552","IPC1998","stan","mystery","strips-mysty-x-3",0,"D","Time","D^-6vTime^-0.1",0.512818219992034,0
"582","IPC2000","stan","blocks","BLOCKS-10-0",1,"D","Time","D^-6vTime^-0.1",0.815845224228601,-1
"583","IPC2000","hsp2","blocks","BLOCKS-10-0",2,"D","Time","D^-6vTime^-0.1",0.963972912536604,-0.35975011587834
"584","IPC2000","mips","blocks","BLOCKS-10-0",2,"D","Time","D^-6vTime^-0.1",0.973029894837805,-9.40169661496952
"585","IPC2000","system-r","blocks","BLOCKS-10-0",0,"D","Time","D^-6vTime^-0.1",0.993992444288372,0
"586","IPC2000","blackbox","blocks","BLOCKS-10-0",1,"D","Time","D^-6vTime^-0.1",0.986464538238538,-1.40413960350405
"587","IPC2000","ff","blocks","BLOCKS-10-0",0,"D","Time","D^-6vTime^-0.1",0.611517637529928,0
"589","IPC2000","tokenplan","blocks","BLOCKS-10-0",0,"D","Time","D^-6vTime^-0.1",0.9896894682468,0
"590","IPC2000","ipp","blocks","BLOCKS-10-0",1,"D","Time","D^-6vTime^-0.1",0.953266268649308,-3.41824640092989
