"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist"
"1","IPC1998","blackbox","gripper","strips-gripper-x-1",0,"D","Time","D^10vTime^-0.2",0,0
"2","IPC1998","stan","gripper","strips-gripper-x-1",0,"D","Time","D^10vTime^-0.2",0,0
"3","IPC1998","ipp","gripper","strips-gripper-x-1",0,"D","Time","D^10vTime^-0.2",0,0
"4","IPC1998","hsp","gripper","strips-gripper-x-1",0,"D","Time","D^10vTime^-0.2",0,0
"45","IPC1998","stan","gripper","strips-gripper-x-2",0,"D","Time","D^10vTime^-0.2",0,0
"46","IPC1998","ipp","gripper","strips-gripper-x-2",0,"D","Time","D^10vTime^-0.2",0,0
"47","IPC1998","blackbox","gripper","strips-gripper-x-2",0,"D","Time","D^10vTime^-0.2",0,0
"48","IPC1998","hsp","gripper","strips-gripper-x-2",0,"D","Time","D^10vTime^-0.2",0,0
"53","IPC1998","ipp","gripper","strips-gripper-x-3",0,"D","Time","D^10vTime^-0.2",0,0
"54","IPC1998","stan","gripper","strips-gripper-x-3",0,"D","Time","D^10vTime^-0.2",0,0
"55","IPC1998","hsp","gripper","strips-gripper-x-3",0,"D","Time","D^10vTime^-0.2",0,0
"85","IPC1998","hsp","logistics","strips-log-x-1",0,"D","Time","D^10vTime^-0.2",0,0
"86","IPC1998","stan","logistics","strips-log-x-1",0,"D","Time","D^10vTime^-0.2",0,0
"87","IPC1998","ipp","logistics","strips-log-x-1",0,"D","Time","D^10vTime^-0.2",0,0
"88","IPC1998","blackbox","logistics","strips-log-x-1",0,"D","Time","D^10vTime^-0.2",0,0
"129","IPC1998","blackbox","logistics","strips-log-x-2",0,"D","Time","D^10vTime^-0.2",0,0
"130","IPC1998","hsp","logistics","strips-log-x-2",0,"D","Time","D^10vTime^-0.2",0,0
"132","IPC1998","stan","logistics","strips-log-x-2",0,"D","Time","D^10vTime^-0.2",0,0
"176","IPC1998","hsp","logistics","strips-log-x-7",0,"D","Time","D^10vTime^-0.2",0,0
"201","IPC1998","stan","movie","strips-movie-x-1",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.099325710951824
"202","IPC1998","hsp","movie","strips-movie-x-1",1,"D","Time","D^10vTime^-0.2",0.911558852808667,-2115.00515749681
"203","IPC1998","ipp","movie","strips-movie-x-1",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"204","IPC1998","blackbox","movie","strips-movie-x-1",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"205","IPC1998","hsp","movie","strips-movie-x-10",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"206","IPC1998","ipp","movie","strips-movie-x-10",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"207","IPC1998","stan","movie","strips-movie-x-10",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.326049151222975
"208","IPC1998","blackbox","movie","strips-movie-x-10",2,"D","Time","D^10vTime^-0.2",0.998933263671479,0.480428569632664
"209","IPC1998","stan","movie","strips-movie-x-11",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.173425047352783
"210","IPC1998","blackbox","movie","strips-movie-x-11",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"211","IPC1998","ipp","movie","strips-movie-x-11",2,"D","Time","D^10vTime^-0.2",0.636947127143981,4.17729064566719
"212","IPC1998","hsp","movie","strips-movie-x-11",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"213","IPC1998","hsp","movie","strips-movie-x-12",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"214","IPC1998","ipp","movie","strips-movie-x-12",2,"D","Time","D^10vTime^-0.2",0.636947127143981,4.06898815245481
"215","IPC1998","blackbox","movie","strips-movie-x-12",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"216","IPC1998","stan","movie","strips-movie-x-12",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"217","IPC1998","ipp","movie","strips-movie-x-13",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"218","IPC1998","blackbox","movie","strips-movie-x-13",2,"D","Time","D^10vTime^-0.2",0.998933263671479,1.83075700216733
"219","IPC1998","hsp","movie","strips-movie-x-13",1,"D","Time","D^10vTime^-0.2",0.911558852808667,-3064.00515749681
"220","IPC1998","stan","movie","strips-movie-x-13",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"221","IPC1998","blackbox","movie","strips-movie-x-14",1,"D","Time","D^10vTime^-0.2",0.998933263671479,0.314310189182329
"222","IPC1998","hsp","movie","strips-movie-x-14",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"223","IPC1998","stan","movie","strips-movie-x-14",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.193546004247729
"224","IPC1998","ipp","movie","strips-movie-x-14",2,"D","Time","D^10vTime^-0.2",0.636947127143981,3.70561976819971
"225","IPC1998","hsp","movie","strips-movie-x-15",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"226","IPC1998","stan","movie","strips-movie-x-15",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"227","IPC1998","blackbox","movie","strips-movie-x-15",2,"D","Time","D^10vTime^-0.2",0.998933263671479,0.0573090811533277
"228","IPC1998","ipp","movie","strips-movie-x-15",2,"D","Time","D^10vTime^-0.2",0.636947127143981,3.42191358723723
"229","IPC1998","ipp","movie","strips-movie-x-16",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"230","IPC1998","blackbox","movie","strips-movie-x-16",1,"D","Time","D^10vTime^-0.2",0.998933263671479,0.161327783067399
"231","IPC1998","hsp","movie","strips-movie-x-16",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"232","IPC1998","stan","movie","strips-movie-x-16",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.0875420753722693
"233","IPC1998","ipp","movie","strips-movie-x-17",2,"D","Time","D^10vTime^-0.2",0.636947127143981,2.56530880812549
"234","IPC1998","stan","movie","strips-movie-x-17",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"235","IPC1998","hsp","movie","strips-movie-x-17",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"236","IPC1998","blackbox","movie","strips-movie-x-17",1,"D","Time","D^10vTime^-0.2",0.998933263671479,0.0811748833095081
"237","IPC1998","hsp","movie","strips-movie-x-18",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"238","IPC1998","ipp","movie","strips-movie-x-18",1,"D","Time","D^10vTime^-0.2",0.636947127143981,4.9131209802941
"239","IPC1998","blackbox","movie","strips-movie-x-18",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"240","IPC1998","stan","movie","strips-movie-x-18",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"241","IPC1998","ipp","movie","strips-movie-x-19",2,"D","Time","D^10vTime^-0.2",0.636947127143981,1.20099275892011
"242","IPC1998","stan","movie","strips-movie-x-19",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"243","IPC1998","hsp","movie","strips-movie-x-19",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"244","IPC1998","blackbox","movie","strips-movie-x-19",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"245","IPC1998","stan","movie","strips-movie-x-2",1,"D","Time","D^10vTime^-0.2",0.998387685570514,0.716000940616027
"246","IPC1998","blackbox","movie","strips-movie-x-2",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"247","IPC1998","ipp","movie","strips-movie-x-2",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"248","IPC1998","hsp","movie","strips-movie-x-2",2,"D","Time","D^10vTime^-0.2",0.911558852808667,2098.00515749681
"249","IPC1998","ipp","movie","strips-movie-x-20",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"250","IPC1998","blackbox","movie","strips-movie-x-20",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"251","IPC1998","stan","movie","strips-movie-x-20",1,"D","Time","D^10vTime^-0.2",0.998387685570514,0.537442112726083
"252","IPC1998","hsp","movie","strips-movie-x-20",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"253","IPC1998","blackbox","movie","strips-movie-x-21",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"254","IPC1998","hsp","movie","strips-movie-x-21",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"255","IPC1998","stan","movie","strips-movie-x-21",1,"D","Time","D^10vTime^-0.2",0.998387685570514,0.621755404489058
"256","IPC1998","ipp","movie","strips-movie-x-21",1,"D","Time","D^10vTime^-0.2",0.636947127143981,1.88714986360405
"257","IPC1998","stan","movie","strips-movie-x-22",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"258","IPC1998","ipp","movie","strips-movie-x-22",1,"D","Time","D^10vTime^-0.2",0.636947127143981,4.24583433844693
"259","IPC1998","blackbox","movie","strips-movie-x-22",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"260","IPC1998","hsp","movie","strips-movie-x-22",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"261","IPC1998","hsp","movie","strips-movie-x-23",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"262","IPC1998","stan","movie","strips-movie-x-23",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.134735886359721
"263","IPC1998","blackbox","movie","strips-movie-x-23",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"264","IPC1998","ipp","movie","strips-movie-x-23",1,"D","Time","D^10vTime^-0.2",0.636947127143981,6.66626109572951
"265","IPC1998","blackbox","movie","strips-movie-x-24",2,"D","Time","D^10vTime^-0.2",0.998933263671479,0.0408931582727377
"266","IPC1998","hsp","movie","strips-movie-x-24",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"267","IPC1998","stan","movie","strips-movie-x-24",0,"D","Time","D^10vTime^-0.2",0.998387685570514,0
"268","IPC1998","ipp","movie","strips-movie-x-24",1,"D","Time","D^10vTime^-0.2",0.636947127143981,9.16194925496717
"269","IPC1998","stan","movie","strips-movie-x-25",1,"D","Time","D^10vTime^-0.2",0.998387685570514,0.0160607188458712
"270","IPC1998","hsp","movie","strips-movie-x-25",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"271","IPC1998","ipp","movie","strips-movie-x-25",1,"D","Time","D^10vTime^-0.2",0.636947127143981,1.74259857376216
"272","IPC1998","blackbox","movie","strips-movie-x-25",2,"D","Time","D^10vTime^-0.2",0.998933263671479,0.148005814937164
"273","IPC1998","blackbox","movie","strips-movie-x-26",1,"D","Time","D^10vTime^-0.2",0.998933263671479,0.29323848985787
"274","IPC1998","stan","movie","strips-movie-x-26",1,"D","Time","D^10vTime^-0.2",0.998387685570514,0.637975152374466
"275","IPC1998","hsp","movie","strips-movie-x-26",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"276","IPC1998","ipp","movie","strips-movie-x-26",2,"D","Time","D^10vTime^-0.2",0.636947127143981,0.959822234606101
"277","IPC1998","stan","movie","strips-movie-x-27",1,"D","Time","D^10vTime^-0.2",0.998387685570514,0.372811771230232
"278","IPC1998","hsp","movie","strips-movie-x-27",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"279","IPC1998","blackbox","movie","strips-movie-x-27",1,"D","Time","D^10vTime^-0.2",0.998933263671479,0.200874895503198
"280","IPC1998","ipp","movie","strips-movie-x-27",2,"D","Time","D^10vTime^-0.2",0.636947127143981,8.75546311675317
"281","IPC1998","ipp","movie","strips-movie-x-28",1,"D","Time","D^10vTime^-0.2",0.636947127143981,0.0592888828520657
"282","IPC1998","blackbox","movie","strips-movie-x-28",2,"D","Time","D^10vTime^-0.2",0.998933263671479,0.467766133912164
"283","IPC1998","hsp","movie","strips-movie-x-28",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"284","IPC1998","stan","movie","strips-movie-x-28",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.978126764084003
"285","IPC1998","hsp","movie","strips-movie-x-29",0,"D","Time","D^10vTime^-0.2",0.911558852808667,0
"286","IPC1998","stan","movie","strips-movie-x-29",2,"D","Time","D^10vTime^-0.2",0.998387685570514,0.00446883607161652
"287","IPC1998","ipp","movie","strips-movie-x-29",2,"D","Time","D^10vTime^-0.2",0.636947127143981,3.82356197332145
"288","IPC1998","blackbox","movie","strips-movie-x-29",1,"D","Time","D^10vTime^-0.2",0.998933263671479,0.0142903890504442
"289","IPC1998","ipp","movie","strips-movie-x-3",0,"D","Time","D^10vTime^-0.2",0.636947127143981,0
"290","IPC1998","blackbox","movie","strips-movie-x-3",0,"D","Time","D^10vTime^-0.2",0.998933263671479,0
"291","IPC1998","hsp","movie","strips-movie-x-3",2,"D","Time","D^10vTime^-0.2",0.911558852808667,2138.00515749681
"292","IPC1998","stan","movie","strips-movie-x-3",1,"D","Time","D^10vTime^-0.2",0.998387685570514,0.234961713009461
