id,name,hash,time,ind,otd,ad,bc
0_4865900,clear_d,4865900,0,0,7,7,0
1_1317481,noop_clear_d,1317481,1,1,1,2,0
1_6307361,pick-up_d,6307361,1,3,1,4,0
0_4865901,clear_e,4865901,0,0,7,7,0
1_1317482,noop_clear_e,1317482,1,1,1,2,0
1_6307362,pick-up_e,6307362,1,3,1,4,0
0_4865902,clear_f,4865902,0,0,7,7,0
1_1317483,noop_clear_f,1317483,1,1,1,2,0
1_6307363,pick-up_f,6307363,1,3,1,4,0
0_6601223,handempty,6601223,0,0,7,7,0
1_5810144,noop_handempty,5810144,1,1,1,2,0
1_6307358,pick-up_a,6307358,1,3,1,4,0
1_6307359,pick-up_b,6307359,1,3,1,4,0
1_6307360,pick-up_c,6307360,1,3,1,4,0
0_6558339,ontable_a,6558339,0,0,2,2,0
1_5767260,noop_ontable_a,5767260,1,1,1,2,0
0_6558340,ontable_b,6558340,0,0,2,2,0
1_5767261,noop_ontable_b,5767261,1,1,1,2,0
0_6558341,ontable_c,6558341,0,0,2,2,0
1_5767262,noop_ontable_c,5767262,1,1,1,2,0
0_6558342,ontable_d,6558342,0,0,2,2,0
1_5767263,noop_ontable_d,5767263,1,1,1,2,0
0_6558343,ontable_e,6558343,0,0,2,2,0
1_5767264,noop_ontable_e,5767264,1,1,1,2,0
0_6558344,ontable_f,6558344,0,0,2,2,0
1_5767265,noop_ontable_f,5767265,1,1,1,2,0
0_4865897,clear_a,4865897,0,0,7,7,0
1_1317478,noop_clear_a,1317478,1,1,1,2,0
0_4865898,clear_b,4865898,0,0,7,7,0
1_1317479,noop_clear_b,1317479,1,1,1,2,0
0_4865899,clear_c,4865899,0,0,7,7,0
1_1317480,noop_clear_c,1317480,1,1,1,2,0
0_6307358,pick-up_a,6307358,0,0,1,1,0
1_4604069,holding_a,4604069,1,1,7,8,0
0_6307359,pick-up_b,6307359,0,0,1,1,0
1_4604070,holding_b,4604070,1,1,7,8,0
0_5767260,noop_ontable_a,5767260,0,0,1,1,0
1_6558339,ontable_a,6558339,1,1,2,3,0
0_6307360,pick-up_c,6307360,0,0,1,1,0
1_4604071,holding_c,4604071,1,1,7,8,0
0_5767261,noop_ontable_b,5767261,0,0,1,1,0
1_6558340,ontable_b,6558340,1,1,2,3,0
0_6307361,pick-up_d,6307361,0,0,1,1,0
1_4604072,holding_d,4604072,1,1,7,8,0
0_5767262,noop_ontable_c,5767262,0,0,1,1,0
1_6558341,ontable_c,6558341,1,1,2,3,0
0_6307362,pick-up_e,6307362,0,0,1,1,0
1_4604073,holding_e,4604073,1,1,7,8,0
0_5767263,noop_ontable_d,5767263,0,0,1,1,0
1_6558342,ontable_d,6558342,1,1,2,3,0
0_6307363,pick-up_f,6307363,0,0,1,1,0
1_4604074,holding_f,4604074,1,1,7,8,0
0_5767264,noop_ontable_e,5767264,0,0,1,1,0
1_6558343,ontable_e,6558343,1,1,2,3,0
0_5767265,noop_ontable_f,5767265,0,0,1,1,0
1_6558344,ontable_f,6558344,1,1,2,3,0
0_1317478,noop_clear_a,1317478,0,0,1,1,0
1_4865897,clear_a,4865897,1,1,12,13,0
0_1317479,noop_clear_b,1317479,0,0,1,1,0
1_4865898,clear_b,4865898,1,1,12,13,0
0_1317480,noop_clear_c,1317480,0,0,1,1,0
1_4865899,clear_c,4865899,1,1,12,13,0
0_1317481,noop_clear_d,1317481,0,0,1,1,0
1_4865900,clear_d,4865900,1,1,12,13,0
0_1317482,noop_clear_e,1317482,0,0,1,1,0
1_4865901,clear_e,4865901,1,1,12,13,0
0_1317483,noop_clear_f,1317483,0,0,1,1,0
1_4865902,clear_f,4865902,1,1,12,13,0
