"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist","MahaDist","MahaOut","CookDist","CookOut","Disc"
"341","IPC1998","hsp","mprime","strips-mprime-x-1",0,"D","Time","D^10vTime^-0.9",0.577160499571101,0,0.592770159430038,0,0.000739823967427109,0,2
"342","IPC1998","ipp","mprime","strips-mprime-x-1",0,"D","Time","D^10vTime^-0.9",0.503367594154083,0,0,0,3.71433673294495e-06,0,0
"343","IPC1998","stan","mprime","strips-mprime-x-1",0,"D","Time","D^10vTime^-0.9",0.553172532300465,0,0,0,0.000201794681015992,0,2
"344","IPC1998","blackbox","mprime","strips-mprime-x-1",0,"D","Time","D^10vTime^-0.9",0.6138112917873,0,0.607522169184918,0,0.0018058890889138,0,2
"374","IPC1998","blackbox","mprime","strips-mprime-x-17",2,"D","Time","D^10vTime^-0.9",0.6138112917873,889.304417944566,3.23593488779016,0,6.63297869374564,1,2
"376","IPC1998","hsp","mprime","strips-mprime-x-17",2,"D","Time","D^10vTime^-0.9",0.577160499571101,164525.466316353,3.25158532925881,0,6.78404763135369,1,2
"409","IPC1998","stan","mprime","strips-mprime-x-25",0,"D","Time","D^10vTime^-0.9",0.553172532300465,0,0,0,0.00107745953936336,0,0
"410","IPC1998","blackbox","mprime","strips-mprime-x-25",0,"D","Time","D^10vTime^-0.9",0.6138112917873,0,0.460569117632787,0,0.00024579914533213,0,0
"411","IPC1998","ipp","mprime","strips-mprime-x-25",0,"D","Time","D^10vTime^-0.9",0.503367594154083,0,0,0,0.0018698901489534,0,0
"412","IPC1998","hsp","mprime","strips-mprime-x-25",0,"D","Time","D^10vTime^-0.9",0.577160499571101,0,0.458623456611416,0,0.000151674805773698,0,0
"421","IPC1998","ipp","mprime","strips-mprime-x-28",0,"D","Time","D^10vTime^-0.9",0.503367594154083,0,0,0,3.60575594553393e-06,0,0
"422","IPC1998","blackbox","mprime","strips-mprime-x-28",0,"D","Time","D^10vTime^-0.9",0.6138112917873,0,0.793742457647195,0,0.0175124798897475,0,2
"423","IPC1998","stan","mprime","strips-mprime-x-28",0,"D","Time","D^10vTime^-0.9",0.553172532300465,0,0,0,0.000202715879733763,0,2
"424","IPC1998","hsp","mprime","strips-mprime-x-28",2,"D","Time","D^10vTime^-0.9",0.577160499571101,20476.6787989922,1.12057031537996,0,0.055184334183564,0,2
"429","IPC1998","hsp","mprime","strips-mprime-x-3",0,"D","Time","D^10vTime^-0.9",0.577160499571101,0,0.354261377094478,0,0.00195167036145324,0,0
"430","IPC1998","blackbox","mprime","strips-mprime-x-3",0,"D","Time","D^10vTime^-0.9",0.6138112917873,0,0.346488884236324,0,0.00170235866295296,0,0
"431","IPC1998","stan","mprime","strips-mprime-x-3",0,"D","Time","D^10vTime^-0.9",0.553172532300465,0,0,0,0.00760955883337134,0,0
"432","IPC1998","ipp","mprime","strips-mprime-x-3",0,"D","Time","D^10vTime^-0.9",0.503367594154083,0,0,0,0.00838659256354864,0,0
"481","IPC1998","stan","mystery","strips-mysty-x-1",2,"D","Time","D^10vTime^-0.9",0.553172532300465,34.9881276641035,0,0,7.51319438414327,1,2
"482","IPC1998","hsp","mystery","strips-mysty-x-1",1,"D","Time","D^10vTime^-0.9",0.577160499571101,155813.514125803,2.8326867338192,0,1.34224867879361,0,0
"483","IPC1998","blackbox","mystery","strips-mysty-x-1",1,"D","Time","D^10vTime^-0.9",0.6138112917873,3886.92769932643,2.99893139030522,0,1.57167228638164,0,0
"484","IPC1998","ipp","mystery","strips-mysty-x-1",2,"D","Time","D^10vTime^-0.9",0.503367594154083,94.9881276637273,0,0,6.28259066317474,1,2
"489","IPC1998","stan","mystery","strips-mysty-x-11",0,"D","Time","D^10vTime^-0.9",0.553172532300465,0,0,0,0.000203174206511102,0,2
"490","IPC1998","hsp","mystery","strips-mysty-x-11",0,"D","Time","D^10vTime^-0.9",0.577160499571101,0,0.594972415401498,0,0.000898770777840353,0,2
"491","IPC1998","blackbox","mystery","strips-mysty-x-11",0,"D","Time","D^10vTime^-0.9",0.6138112917873,0,0.60187253157174,0,0.00139596872391256,0,2
"492","IPC1998","ipp","mystery","strips-mysty-x-11",0,"D","Time","D^10vTime^-0.9",0.503367594154083,0,0,0,3.73777111814374e-06,0,0
"513","IPC1998","hsp","mystery","strips-mysty-x-17",1,"D","Time","D^10vTime^-0.9",0.577160499571101,8881.57142227168,1.31361184272473,0,0.0741015221485391,0,0
"514","IPC1998","stan","mystery","strips-mysty-x-17",1,"D","Time","D^10vTime^-0.9",0.553172532300465,-1740.98812766388,0,0,2.3308049878226,0,0
"515","IPC1998","ipp","mystery","strips-mysty-x-17",1,"D","Time","D^10vTime^-0.9",0.503367594154083,-20634.9881276637,0,0,2.01087961578386,0,0
"516","IPC1998","blackbox","mystery","strips-mysty-x-17",0,"D","Time","D^10vTime^-0.9",0.6138112917873,0,1.14501312436551,0,0.0300354246265317,0,0
"549","IPC1998","hsp","mystery","strips-mysty-x-25",0,"D","Time","D^10vTime^-0.9",0.577160499571101,0,0.436267837037925,0,0.000419887541538208,0,0
"550","IPC1998","stan","mystery","strips-mysty-x-25",2,"D","Time","D^10vTime^-0.9",0.553172532300465,40.9881276638166,0,0,0.0598387080440508,0,2
"551","IPC1998","ipp","mystery","strips-mysty-x-25",2,"D","Time","D^10vTime^-0.9",0.503367594154083,104.988127663727,0,0,0.1296979199673,0,2
"552","IPC1998","blackbox","mystery","strips-mysty-x-25",0,"D","Time","D^10vTime^-0.9",0.6138112917873,0,0.439582714060136,0,0.000568572147742913,0,0
"553","IPC1998","stan","mystery","strips-mysty-x-26",0,"D","Time","D^10vTime^-0.9",0.553172532300465,0,0,0,0.000101398599105157,0,2
"554","IPC1998","hsp","mystery","strips-mysty-x-26",0,"D","Time","D^10vTime^-0.9",0.577160499571101,0,0.605289859892541,0,0.00233001049720114,0,2
"555","IPC1998","blackbox","mystery","strips-mysty-x-26",0,"D","Time","D^10vTime^-0.9",0.6138112917873,0,0.710970639850218,0,0.0106079381872309,0,2
