"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist","MahaDist","MahaOut","CookDist","CookOut","Disc"
"378","IPC1998","blackbox","mprime","strips-mprime-x-17",0,"D","Time","D^-7vTime^-0.6",0.946456011973974,0,1.93709661728243,0,0.206962104190661,0,0
"379","IPC1998","hsp","mprime","strips-mprime-x-17",0,"D","Time","D^-7vTime^-0.6",0.949978153179716,0,0,0,301.085843896631,1,2
"413","IPC1998","blackbox","mprime","strips-mprime-x-25",0,"D","Time","D^-7vTime^-0.6",0.946456011973974,0,1.27903491639952,0,0.168807059865183,0,0
"414","IPC1998","hsp","mprime","strips-mprime-x-25",0,"D","Time","D^-7vTime^-0.6",0.949978153179716,0,0,0,0.0779787900163672,0,2
"415","IPC1998","ipp","mprime","strips-mprime-x-25",0,"D","Time","D^-7vTime^-0.6",0.949871144882205,0,0.708698791503552,0,0.0511356051452075,0,2
"416","IPC1998","stan","mprime","strips-mprime-x-25",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"433","IPC1998","stan","mprime","strips-mprime-x-3",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"434","IPC1998","ipp","mprime","strips-mprime-x-3",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"435","IPC1998","blackbox","mprime","strips-mprime-x-3",0,"D","Time","D^-7vTime^-0.6",0.946456011973974,0,0.889473933894562,0,0.0647942899127656,0,2
"436","IPC1998","hsp","mprime","strips-mprime-x-3",0,"D","Time","D^-7vTime^-0.6",0.949978153179716,0,0,0,0.266198004837799,0,0
"485","IPC1998","hsp","mystery","strips-mysty-x-1",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"486","IPC1998","ipp","mystery","strips-mysty-x-1",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"487","IPC1998","stan","mystery","strips-mysty-x-1",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"488","IPC1998","blackbox","mystery","strips-mysty-x-1",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"493","IPC1998","blackbox","mystery","strips-mysty-x-11",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"494","IPC1998","hsp","mystery","strips-mysty-x-11",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"495","IPC1998","ipp","mystery","strips-mysty-x-11",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"496","IPC1998","stan","mystery","strips-mysty-x-11",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"517","IPC1998","blackbox","mystery","strips-mysty-x-17",0,"D","Time","D^-7vTime^-0.6",0.946456011973974,0,0.908854397805473,0,0.0269047755212199,0,2
"518","IPC1998","stan","mystery","strips-mysty-x-17",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
"519","IPC1998","hsp","mystery","strips-mysty-x-17",0,"D","Time","D^-7vTime^-0.6",0,0,0,0,0,0,0
