"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist","MahaDist","MahaOut","CookDist","CookOut","Disc"
"1","IPC1998","blackbox","gripper","strips-gripper-x-1",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"2","IPC1998","stan","gripper","strips-gripper-x-1",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"3","IPC1998","ipp","gripper","strips-gripper-x-1",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"4","IPC1998","hsp","gripper","strips-gripper-x-1",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"45","IPC1998","stan","gripper","strips-gripper-x-2",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"46","IPC1998","ipp","gripper","strips-gripper-x-2",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"47","IPC1998","blackbox","gripper","strips-gripper-x-2",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"48","IPC1998","hsp","gripper","strips-gripper-x-2",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"53","IPC1998","ipp","gripper","strips-gripper-x-3",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"54","IPC1998","stan","gripper","strips-gripper-x-3",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"55","IPC1998","hsp","gripper","strips-gripper-x-3",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"85","IPC1998","hsp","logistics","strips-log-x-1",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"86","IPC1998","stan","logistics","strips-log-x-1",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"87","IPC1998","ipp","logistics","strips-log-x-1",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"88","IPC1998","blackbox","logistics","strips-log-x-1",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"129","IPC1998","blackbox","logistics","strips-log-x-2",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"130","IPC1998","hsp","logistics","strips-log-x-2",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"132","IPC1998","stan","logistics","strips-log-x-2",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"196","IPC1998","hsp","logistics","strips-log-x-7",0,"D","Time","D^-10vTime^-0.6",0,0,0,0,0,0,0
"225","IPC1998","stan","movie","strips-movie-x-1",1,"D","Time","D^-10vTime^-0.6",0.945861860490708,10.7124400028965,1.23467354432192,0,0.0249379183715663,0,0
"226","IPC1998","hsp","movie","strips-movie-x-1",1,"D","Time","D^-10vTime^-0.6",0.947774171842874,2514.88654301288,2.56629862306132,0,0.11137743749788,0,0
"227","IPC1998","ipp","movie","strips-movie-x-1",1,"D","Time","D^-10vTime^-0.6",0.777851699815032,8.69982849047658,1.01912948370389,0,0.0173227136958841,0,0
"228","IPC1998","blackbox","movie","strips-movie-x-1",1,"D","Time","D^-10vTime^-0.6",0.581518835210621,54.2783348558312,1.53813581354312,0,0.0421432947687568,0,0
"229","IPC1998","hsp","movie","strips-movie-x-10",0,"D","Time","D^-10vTime^-0.6",0.947774171842874,0,0.366959063555881,0,0.00156225071729255,0,0
"230","IPC1998","ipp","movie","strips-movie-x-10",1,"D","Time","D^-10vTime^-0.6",0.777851699815032,4.48680010543013,0.792460864627101,0,0.0100205259509739,0,0
"231","IPC1998","stan","movie","strips-movie-x-10",1,"D","Time","D^-10vTime^-0.6",0.945861860490708,3.71208153735358,0.662485326474019,0,0.00674364669790366,0,0
"232","IPC1998","blackbox","movie","strips-movie-x-10",0,"D","Time","D^-10vTime^-0.6",0.581518835210621,0,0.32391461619763,0,0.000996900523942409,0,0
"233","IPC1998","stan","movie","strips-movie-x-11",1,"D","Time","D^-10vTime^-0.6",0.945861860490708,2.71208133147718,0.593010214289789,0,0.00528168159977102,0,0
"234","IPC1998","blackbox","movie","strips-movie-x-11",0,"D","Time","D^-10vTime^-0.6",0.581518835210621,0,0.307221230438636,0,0.000622399250249054,0,0
"235","IPC1998","ipp","movie","strips-movie-x-11",2,"D","Time","D^-10vTime^-0.6",0.777851699815032,0.654418437596998,0.480378771932583,0,0.002879812195811,0,2
"236","IPC1998","hsp","movie","strips-movie-x-11",0,"D","Time","D^-10vTime^-0.6",0.947774171842874,0,0.379915963410682,0,0.00160139793603766,0,0
"237","IPC1998","hsp","movie","strips-movie-x-12",0,"D","Time","D^-10vTime^-0.6",0.947774171842874,0,0.316844126410749,0,0.000726537571669229,0,0
"238","IPC1998","ipp","movie","strips-movie-x-12",2,"D","Time","D^-10vTime^-0.6",0.777851699815032,0.787919398453127,0.486017676378366,0,0.00295640838026368,0,2
"239","IPC1998","blackbox","movie","strips-movie-x-12",0,"D","Time","D^-10vTime^-0.6",0.581518835210621,0,0.291271860951169,0,0.000259726103715942,0,0
"240","IPC1998","stan","movie","strips-movie-x-12",1,"D","Time","D^-10vTime^-0.6",0.945861860490708,1.71208120711299,0.526464518965312,0,0.00403307152055553,0,0
"241","IPC1998","ipp","movie","strips-movie-x-13",0,"D","Time","D^-10vTime^-0.6",0.777851699815032,0,0.27129926217738,0,1.26945542038131e-05,0,0
"242","IPC1998","blackbox","movie","strips-movie-x-13",0,"D","Time","D^-10vTime^-0.6",0.581518835210621,0,0.285843801274685,0,7.63360077854725e-06,0,0
"243","IPC1998","hsp","movie","strips-movie-x-13",2,"D","Time","D^-10vTime^-0.6",0.947774171842874,67.0763654596044,0.506471916014435,0,0.00329993096271224,0,2
"244","IPC1998","stan","movie","strips-movie-x-13",1,"D","Time","D^-10vTime^-0.6",0.945861860490708,0.712081129706306,0.46301067284067,0,0.00298073308219604,0,0
"245","IPC1998","blackbox","movie","strips-movie-x-14",0,"D","Time","D^-10vTime^-0.6",0.581518835210621,0,0.304163502366154,0,5.57564041082168e-06,0,0
"246","IPC1998","hsp","movie","strips-movie-x-14",0,"D","Time","D^-10vTime^-0.6",0.947774171842874,0,0.271406950091041,0,1.7546935188261e-05,0,2
"247","IPC1998","stan","movie","strips-movie-x-14",0,"D","Time","D^-10vTime^-0.6",0.945861860490708,0,0.346970538128527,0,0.00140538785776503,0,0
