"","pkey","com","dom","gn","solvedg","minSteps","graph","complete","gl","fap","parallel","GClass"
"1","IPC1998-gripper-strips-gripper-x-1","IPC1998","gripper","strips-gripper-x-1",1,11,1,1,7,3,1,"SGCP"
"2","IPC1998-gripper-strips-gripper-x-10","IPC1998","gripper","strips-gripper-x-10",1,85,1,0,50,3,1,"SIG"
"3","IPC1998-gripper-strips-gripper-x-11","IPC1998","gripper","strips-gripper-x-11",1,93,1,0,43,3,1,"SIG"
"4","IPC1998-gripper-strips-gripper-x-12","IPC1998","gripper","strips-gripper-x-12",1,101,1,0,38,3,1,"SIG"
"5","IPC1998-gripper-strips-gripper-x-13","IPC1998","gripper","strips-gripper-x-13",1,109,1,0,34,3,1,"SIG"
"6","IPC1998-gripper-strips-gripper-x-14","IPC1998","gripper","strips-gripper-x-14",1,119,1,0,31,3,1,"SIG"
"7","IPC1998-gripper-strips-gripper-x-15","IPC1998","gripper","strips-gripper-x-15",1,125,1,0,28,3,1,"SIG"
"8","IPC1998-gripper-strips-gripper-x-16","IPC1998","gripper","strips-gripper-x-16",1,135,1,0,26,3,1,"SIG"
"9","IPC1998-gripper-strips-gripper-x-17","IPC1998","gripper","strips-gripper-x-17",1,143,1,0,24,3,1,"SIG"
"10","IPC1998-gripper-strips-gripper-x-18","IPC1998","gripper","strips-gripper-x-18",1,151,1,0,22,3,1,"SIG"
"11","IPC1998-gripper-strips-gripper-x-19","IPC1998","gripper","strips-gripper-x-19",1,157,1,0,21,3,1,"SIG"
"12","IPC1998-gripper-strips-gripper-x-2","IPC1998","gripper","strips-gripper-x-2",1,17,1,1,11,3,1,"SGCP"
"13","IPC1998-gripper-strips-gripper-x-20","IPC1998","gripper","strips-gripper-x-20",1,165,1,0,19,3,1,"SIG"
"14","IPC1998-gripper-strips-gripper-x-3","IPC1998","gripper","strips-gripper-x-3",1,23,1,1,15,3,1,"SGCP"
"15","IPC1998-gripper-strips-gripper-x-4","IPC1998","gripper","strips-gripper-x-4",1,29,1,0,37,3,0,"SIG"
"16","IPC1998-gripper-strips-gripper-x-4","IPC1998","gripper","strips-gripper-x-4",1,29,1,0,50,3,0,"SIG"
"17","IPC1998-gripper-strips-gripper-x-5","IPC1998","gripper","strips-gripper-x-5",1,47,1,0,50,3,0,"SIG"
"18","IPC1998-gripper-strips-gripper-x-6","IPC1998","gripper","strips-gripper-x-6",1,53,1,0,50,3,1,"SIG"
"19","IPC1998-gripper-strips-gripper-x-7","IPC1998","gripper","strips-gripper-x-7",1,63,1,0,50,3,1,"SIG"
"20","IPC1998-gripper-strips-gripper-x-8","IPC1998","gripper","strips-gripper-x-8",1,71,1,0,50,3,1,"SIG"
"21","IPC1998-gripper-strips-gripper-x-9","IPC1998","gripper","strips-gripper-x-9",1,79,1,0,50,3,1,"SIG"
"22","IPC1998-logistics-strips-log-x-1","IPC1998","logistics","strips-log-x-1",1,26,1,1,9,9,1,"SGCP"
"23","IPC1998-logistics-strips-log-x-10","IPC1998","logistics","strips-log-x-10",0,Inf,1,0,10,9,1,"NSG"
"24","IPC1998-logistics-strips-log-x-11","IPC1998","logistics","strips-log-x-11",0,Inf,1,1,9,9,1,"NSG"
"25","IPC1998-logistics-strips-log-x-12","IPC1998","logistics","strips-log-x-12",0,Inf,1,1,9,9,1,"NSG"
"26","IPC1998-logistics-strips-log-x-13","IPC1998","logistics","strips-log-x-13",0,Inf,0,0,0,0,1,"NSNG"
"27","IPC1998-logistics-strips-log-x-14","IPC1998","logistics","strips-log-x-14",0,Inf,1,0,10,9,1,"NSG"
"28","IPC1998-logistics-strips-log-x-15","IPC1998","logistics","strips-log-x-15",0,Inf,1,0,18,11,1,"NSG"
"29","IPC1998-logistics-strips-log-x-16","IPC1998","logistics","strips-log-x-16",0,Inf,1,1,10,10,1,"NSG"
"30","IPC1998-logistics-strips-log-x-17","IPC1998","logistics","strips-log-x-17",0,Inf,1,1,9,9,1,"NSG"
"31","IPC1998-logistics-strips-log-x-18","IPC1998","logistics","strips-log-x-18",0,Inf,0,0,0,0,1,"NSNG"
"32","IPC1998-logistics-strips-log-x-19","IPC1998","logistics","strips-log-x-19",0,Inf,1,0,12,10,1,"NSG"
"33","IPC1998-logistics-strips-log-x-2","IPC1998","logistics","strips-log-x-2",1,32,1,1,7,7,1,"SGCP"
"34","IPC1998-logistics-strips-log-x-20","IPC1998","logistics","strips-log-x-20",0,Inf,0,0,0,0,1,"NSNG"
"35","IPC1998-logistics-strips-log-x-21","IPC1998","logistics","strips-log-x-21",0,Inf,1,1,10,10,1,"NSG"
"36","IPC1998-logistics-strips-log-x-22","IPC1998","logistics","strips-log-x-22",0,Inf,0,0,0,0,1,"NSNG"
"37","IPC1998-logistics-strips-log-x-23","IPC1998","logistics","strips-log-x-23",0,Inf,1,0,12,9,1,"NSG"
"38","IPC1998-logistics-strips-log-x-24","IPC1998","logistics","strips-log-x-24",0,Inf,1,1,10,10,1,"NSG"
"39","IPC1998-logistics-strips-log-x-25","IPC1998","logistics","strips-log-x-25",0,Inf,0,0,0,0,1,"NSNG"
"40","IPC1998-logistics-strips-log-x-26","IPC1998","logistics","strips-log-x-26",0,Inf,0,NA,NA,NA,NA,"NSNG"
"41","IPC1998-logistics-strips-log-x-27","IPC1998","logistics","strips-log-x-27",0,Inf,0,NA,NA,NA,NA,"NSNG"
"42","IPC1998-logistics-strips-log-x-28","IPC1998","logistics","strips-log-x-28",0,Inf,0,NA,NA,NA,NA,"NSNG"
