,pkey,com,dom,gn,fap,pl,gl
1,IPC1998-gripper-strips-gripper-x-1,IPC1998,gripper,strips-gripper-x-1,3,11,7
2,IPC1998-gripper-strips-gripper-x-10,IPC1998,gripper,strips-gripper-x-10,3,0,50
3,IPC1998-gripper-strips-gripper-x-11,IPC1998,gripper,strips-gripper-x-11,3,0,43
4,IPC1998-gripper-strips-gripper-x-12,IPC1998,gripper,strips-gripper-x-12,3,0,38
5,IPC1998-gripper-strips-gripper-x-13,IPC1998,gripper,strips-gripper-x-13,3,0,34
6,IPC1998-gripper-strips-gripper-x-14,IPC1998,gripper,strips-gripper-x-14,3,0,31
7,IPC1998-gripper-strips-gripper-x-15,IPC1998,gripper,strips-gripper-x-15,3,0,28
8,IPC1998-gripper-strips-gripper-x-16,IPC1998,gripper,strips-gripper-x-16,3,0,26
9,IPC1998-gripper-strips-gripper-x-17,IPC1998,gripper,strips-gripper-x-17,3,0,24
10,IPC1998-gripper-strips-gripper-x-18,IPC1998,gripper,strips-gripper-x-18,3,0,22
11,IPC1998-gripper-strips-gripper-x-19,IPC1998,gripper,strips-gripper-x-19,3,0,21
12,IPC1998-gripper-strips-gripper-x-2,IPC1998,gripper,strips-gripper-x-2,3,17,11
13,IPC1998-gripper-strips-gripper-x-20,IPC1998,gripper,strips-gripper-x-20,3,0,19
14,IPC1998-gripper-strips-gripper-x-3,IPC1998,gripper,strips-gripper-x-3,3,23,15
15,IPC1998-gripper-strips-gripper-x-4,IPC1998,gripper,strips-gripper-x-4,3,0,50
16,IPC1998-gripper-strips-gripper-x-4,IPC1998,gripper,strips-gripper-x-4,3,0,50
17,IPC1998-gripper-strips-gripper-x-5,IPC1998,gripper,strips-gripper-x-5,3,0,50
18,IPC1998-gripper-strips-gripper-x-6,IPC1998,gripper,strips-gripper-x-6,3,0,50
19,IPC1998-gripper-strips-gripper-x-7,IPC1998,gripper,strips-gripper-x-7,3,0,50
20,IPC1998-gripper-strips-gripper-x-8,IPC1998,gripper,strips-gripper-x-8,3,0,50
21,IPC1998-gripper-strips-gripper-x-9,IPC1998,gripper,strips-gripper-x-9,3,0,50
22,IPC1998-logistics-strips-log-x-1,IPC1998,logistics,strips-log-x-1,9,27,9
23,IPC1998-logistics-strips-log-x-10,IPC1998,logistics,strips-log-x-10,9,0,10
24,IPC1998-logistics-strips-log-x-11,IPC1998,logistics,strips-log-x-11,9,32,9
25,IPC1998-logistics-strips-log-x-12,IPC1998,logistics,strips-log-x-12,9,43,9
26,IPC1998-logistics-strips-log-x-13,IPC1998,logistics,strips-log-x-13,0,0,0
27,IPC1998-logistics-strips-log-x-14,IPC1998,logistics,strips-log-x-14,9,0,10
28,IPC1998-logistics-strips-log-x-15,IPC1998,logistics,strips-log-x-15,11,0,18
29,IPC1998-logistics-strips-log-x-16,IPC1998,logistics,strips-log-x-16,10,65,10
30,IPC1998-logistics-strips-log-x-17,IPC1998,logistics,strips-log-x-17,9,59,9
31,IPC1998-logistics-strips-log-x-18,IPC1998,logistics,strips-log-x-18,0,0,0
32,IPC1998-logistics-strips-log-x-19,IPC1998,logistics,strips-log-x-19,10,0,12
33,IPC1998-logistics-strips-log-x-2,IPC1998,logistics,strips-log-x-2,7,32,7
34,IPC1998-logistics-strips-log-x-20,IPC1998,logistics,strips-log-x-20,0,0,0
35,IPC1998-logistics-strips-log-x-21,IPC1998,logistics,strips-log-x-21,10,112,10
36,IPC1998-logistics-strips-log-x-22,IPC1998,logistics,strips-log-x-22,0,0,0
37,IPC1998-logistics-strips-log-x-23,IPC1998,logistics,strips-log-x-23,9,0,12
38,IPC1998-logistics-strips-log-x-24,IPC1998,logistics,strips-log-x-24,10,43,10
39,IPC1998-logistics-strips-log-x-25,IPC1998,logistics,strips-log-x-25,0,0,0
40,IPC1998-logistics-strips-log-x-3,IPC1998,logistics,strips-log-x-3,10,0,13
41,IPC1998-logistics-strips-log-x-4,IPC1998,logistics,strips-log-x-4,10,0,13
42,IPC1998-logistics-strips-log-x-5,IPC1998,logistics,strips-log-x-5,8,23,12
43,IPC1998-logistics-strips-log-x-6,IPC1998,logistics,strips-log-x-6,10,0,13
44,IPC1998-logistics-strips-log-x-7,IPC1998,logistics,strips-log-x-7,9,42,9
45,IPC1998-logistics-strips-log-x-8,IPC1998,logistics,strips-log-x-8,10,0,11
46,IPC1998-logistics-strips-log-x-9,IPC1998,logistics,strips-log-x-9,10,0,13
47,IPC1998-logistics-strips-log-y-1,IPC1998,logistics,strips-log-y-1,6,13,6
48,IPC1998-logistics-strips-log-y-2,IPC1998,logistics,strips-log-y-2,9,20,9
49,IPC1998-logistics-strips-log-y-3,IPC1998,logistics,strips-log-y-3,8,27,8
50,IPC1998-logistics-strips-log-y-4,IPC1998,logistics,strips-log-y-4,9,52,11
51,IPC1998-movie-strips-movie-x-1,IPC1998,movie,strips-movie-x-1,2,7,2
52,IPC1998-movie-strips-movie-x-10,IPC1998,movie,strips-movie-x-10,2,7,2
53,IPC1998-movie-strips-movie-x-11,IPC1998,movie,strips-movie-x-11,2,7,2
54,IPC1998-movie-strips-movie-x-12,IPC1998,movie,strips-movie-x-12,2,7,2
55,IPC1998-movie-strips-movie-x-13,IPC1998,movie,strips-movie-x-13,2,7,2
56,IPC1998-movie-strips-movie-x-14,IPC1998,movie,strips-movie-x-14,2,7,2
57,IPC1998-movie-strips-movie-x-15,IPC1998,movie,strips-movie-x-15,2,7,2
58,IPC1998-movie-strips-movie-x-16,IPC1998,movie,strips-movie-x-16,2,7,2
59,IPC1998-movie-strips-movie-x-17,IPC1998,movie,strips-movie-x-17,2,7,2
60,IPC1998-movie-strips-movie-x-18,IPC1998,movie,strips-movie-x-18,2,7,2
61,IPC1998-movie-strips-movie-x-19,IPC1998,movie,strips-movie-x-19,2,7,2
62,IPC1998-movie-strips-movie-x-2,IPC1998,movie,strips-movie-x-2,2,7,2
63,IPC1998-movie-strips-movie-x-20,IPC1998,movie,strips-movie-x-20,2,7,2
64,IPC1998-movie-strips-movie-x-21,IPC1998,movie,strips-movie-x-21,2,7,2
65,IPC1998-movie-strips-movie-x-22,IPC1998,movie,strips-movie-x-22,2,7,2
66,IPC1998-movie-strips-movie-x-23,IPC1998,movie,strips-movie-x-23,2,7,2
67,IPC1998-movie-strips-movie-x-24,IPC1998,movie,strips-movie-x-24,2,7,2
68,IPC1998-movie-strips-movie-x-25,IPC1998,movie,strips-movie-x-25,2,7,2
