com,dom,gn,fap,pl,gl
IPC1998,gripper,strips-gripper-x-1,3,11,7
IPC1998,gripper,strips-gripper-x-10,3,0,50
IPC1998,gripper,strips-gripper-x-11,3,0,43
IPC1998,gripper,strips-gripper-x-12,3,0,38
IPC1998,gripper,strips-gripper-x-13,3,0,34
IPC1998,gripper,strips-gripper-x-14,3,0,31
IPC1998,gripper,strips-gripper-x-15,3,0,28
IPC1998,gripper,strips-gripper-x-16,3,0,26
IPC1998,gripper,strips-gripper-x-17,3,0,24
IPC1998,gripper,strips-gripper-x-18,3,0,22
IPC1998,gripper,strips-gripper-x-19,3,0,21
IPC1998,gripper,strips-gripper-x-2,3,17,11
IPC1998,gripper,strips-gripper-x-20,3,0,19
IPC1998,gripper,strips-gripper-x-3,3,23,15
IPC1998,gripper,strips-gripper-x-4,3,0,37
IPC1998,gripper,strips-gripper-x-4,3,0,50
IPC1998,gripper,strips-gripper-x-5,3,0,50
IPC1998,gripper,strips-gripper-x-6,3,0,50
IPC1998,gripper,strips-gripper-x-7,3,0,50
IPC1998,gripper,strips-gripper-x-8,3,0,50
IPC1998,gripper,strips-gripper-x-9,3,0,50
IPC1998,logistics,strips-log-x-1,9,27,9
IPC1998,logistics,strips-log-x-10,9,0,10
IPC1998,logistics,strips-log-x-11,9,32,9
IPC1998,logistics,strips-log-x-12,9,43,9
IPC1998,logistics,strips-log-x-13,0,0,0
IPC1998,logistics,strips-log-x-14,9,0,10
IPC1998,logistics,strips-log-x-15,11,0,18
IPC1998,logistics,strips-log-x-16,10,65,10
IPC1998,logistics,strips-log-x-17,9,59,9
IPC1998,logistics,strips-log-x-18,0,0,0
IPC1998,logistics,strips-log-x-19,10,0,12
IPC1998,logistics,strips-log-x-2,7,32,7
IPC1998,logistics,strips-log-x-20,0,0,0
IPC1998,logistics,strips-log-x-21,10,112,10
IPC1998,logistics,strips-log-x-22,0,0,0
IPC1998,logistics,strips-log-x-23,9,0,12
IPC1998,logistics,strips-log-x-24,10,43,10
IPC1998,logistics,strips-log-x-25,0,0,0
IPC1998,logistics,strips-log-x-3,10,0,13
IPC1998,logistics,strips-log-x-4,10,0,13
IPC1998,logistics,strips-log-x-5,8,23,12
IPC1998,logistics,strips-log-x-6,10,0,13
IPC1998,logistics,strips-log-x-7,9,42,9
IPC1998,logistics,strips-log-x-8,10,0,11
IPC1998,logistics,strips-log-x-9,10,0,13
IPC1998,logistics,strips-log-y-1,6,13,6
IPC1998,logistics,strips-log-y-2,9,20,9
IPC1998,logistics,strips-log-y-3,8,27,8
IPC1998,logistics,strips-log-y-4,9,52,11
IPC1998,movie,strips-movie-x-1,2,7,2
IPC1998,movie,strips-movie-x-10,2,7,2
IPC1998,movie,strips-movie-x-11,2,7,2
IPC1998,movie,strips-movie-x-12,2,7,2
IPC1998,movie,strips-movie-x-13,2,7,2
IPC1998,movie,strips-movie-x-14,2,7,2
IPC1998,movie,strips-movie-x-15,2,7,2
IPC1998,movie,strips-movie-x-16,2,7,2
IPC1998,movie,strips-movie-x-17,2,7,2
IPC1998,movie,strips-movie-x-18,2,7,2
IPC1998,movie,strips-movie-x-19,2,7,2
IPC1998,movie,strips-movie-x-2,2,7,2
IPC1998,movie,strips-movie-x-20,2,7,2
IPC1998,movie,strips-movie-x-21,2,7,2
IPC1998,movie,strips-movie-x-22,2,7,2
IPC1998,movie,strips-movie-x-23,2,7,2
IPC1998,movie,strips-movie-x-24,2,7,2
IPC1998,movie,strips-movie-x-25,2,7,2
IPC1998,movie,strips-movie-x-26,2,7,2
IPC1998,movie,strips-movie-x-27,2,7,2
IPC1998,movie,strips-movie-x-28,2,7,2
IPC1998,movie,strips-movie-x-29,2,7,2
IPC1998,movie,strips-movie-x-3,2,7,2
IPC1998,movie,strips-movie-x-30,2,7,2
IPC1998,movie,strips-movie-x-4,2,7,2
IPC1998,movie,strips-movie-x-5,2,7,2
IPC1998,movie,strips-movie-x-6,2,7,2
IPC1998,movie,strips-movie-x-7,2,7,2
IPC1998,movie,strips-movie-x-8,2,7,2
IPC1998,movie,strips-movie-x-9,2,7,2
IPC1998,mprime,strips-mprime-x-1,5,9,5
IPC1998,mprime,strips-mprime-x-10,0,0,0
IPC1998,mprime,strips-mprime-x-11,7,8,7
IPC1998,mprime,strips-mprime-x-12,5,10,5
IPC1998,mprime,strips-mprime-x-13,8,16,8
IPC1998,mprime,strips-mprime-x-14,0,0,0
IPC1998,mprime,strips-mprime-x-15,6,9,6
IPC1998,mprime,strips-mprime-x-16,4,11,5
IPC1998,mprime,strips-mprime-x-17,4,4,4
IPC1998,mprime,strips-mprime-x-18,0,0,0
IPC1998,mprime,strips-mprime-x-19,6,8,6
IPC1998,mprime,strips-mprime-x-2,5,9,5
IPC1998,mprime,strips-mprime-x-20,0,0,0
IPC1998,mprime,strips-mprime-x-21,0,0,0
IPC1998,mprime,strips-mprime-x-22,8,13,8
IPC1998,mprime,strips-mprime-x-23,8,15,8
IPC1998,mprime,strips-mprime-x-24,6,18,6
IPC1998,mprime,strips-mprime-x-25,4,4,4
IPC1998,mprime,strips-mprime-x-26,5,8,5
IPC1998,mprime,strips-mprime-x-27,4,8,4
IPC1998,mprime,strips-mprime-x-28,6,11,7
IPC1998,mprime,strips-mprime-x-29,4,5,4
IPC1998,mprime,strips-mprime-x-3,4,4,4
IPC1998,mprime,strips-mprime-x-30,6,20,6
IPC1998,mprime,strips-mprime-x-4,7,9,7
IPC1998,mprime,strips-mprime-x-5,0,0,0
IPC1998,mprime,strips-mprime-x-6,8,0,9
IPC1998,mprime,strips-mprime-x-7,0,0,0
IPC1998,mprime,strips-mprime-x-8,5,7,5
IPC1998,mprime,strips-mprime-x-9,5,8,5
IPC1998,mprime,strips-mprime-y-1,4,5,4
IPC1998,mprime,strips-mprime-y-2,7,7,7
IPC1998,mprime,strips-mprime-y-3,10,20,10
IPC1998,mprime,strips-mprime-y-4,4,5,4
IPC1998,mprime,strips-mprime-y-5,4,6,4
IPC1998,mystery,strips-mysty-x-1,5,5,5
IPC1998,mystery,strips-mysty-x-10,0,0,0
IPC1998,mystery,strips-mysty-x-11,7,7,7
IPC1998,mystery,strips-mysty-x-12,0,0,0
IPC1998,mystery,strips-mysty-x-13,8,16,8
IPC1998,mystery,strips-mysty-x-14,0,0,0
IPC1998,mystery,strips-mysty-x-15,6,6,6
IPC1998,mystery,strips-mysty-x-16,0,0,0
IPC1998,mystery,strips-mysty-x-17,4,4,4
IPC1998,mystery,strips-mysty-x-18,0,0,0
IPC1998,mystery,strips-mysty-x-19,6,8,6
IPC1998,mystery,strips-mysty-x-2,5,9,5
IPC1998,mystery,strips-mysty-x-20,7,18,7
IPC1998,mystery,strips-mysty-x-21,0,0,0
IPC1998,mystery,strips-mysty-x-22,0,0,0
IPC1998,mystery,strips-mysty-x-23,0,0,0
IPC1998,mystery,strips-mysty-x-24,0,0,0
IPC1998,mystery,strips-mysty-x-25,4,4,4
IPC1998,mystery,strips-mysty-x-26,6,8,6
IPC1998,mystery,strips-mysty-x-27,4,7,4
IPC1998,mystery,strips-mysty-x-28,6,7,7
