"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist","MahaDist","MahaOut","CookDist","CookOut","Disc"
"378","IPC1998","blackbox","mprime","strips-mprime-x-17",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0,2.77359548629386,0,5.03401022179366,1,2
"379","IPC1998","hsp","mprime","strips-mprime-x-17",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0,0,0,3.95296513486325,1,2
"413","IPC1998","blackbox","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0,0.583433879553746,0,0.000591870557397225,0,2
"414","IPC1998","hsp","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0,0,0,8.79322228592989e-06,0,0
"415","IPC1998","ipp","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0.475090170625012,0,0,0,0.00226626024734721,0,0
"416","IPC1998","stan","mprime","strips-mprime-x-25",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0,0,0,0.000868121306057871,0,0
"433","IPC1998","stan","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0,0,0,0.00737927253366128,0,0
"434","IPC1998","ipp","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0.475090170625012,0,0,0,0.00921443663627993,0,0
"435","IPC1998","blackbox","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0,0.425124855250951,0,9.91388050628681e-05,0,0
"436","IPC1998","hsp","mprime","strips-mprime-x-3",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0,0,0,7.15605691610595e-05,0,2
"485","IPC1998","hsp","mystery","strips-mysty-x-1",1,"D","Time","D^-6vTime^-0.1",0.642009773062487,10175.6307916187,0,0,1.41563450650182,0,0
"486","IPC1998","ipp","mystery","strips-mysty-x-1",2,"D","Time","D^-6vTime^-0.1",0.475090170625012,94.9881276637273,0,0,4.58548507815225,1,2
"487","IPC1998","stan","mystery","strips-mysty-x-1",2,"D","Time","D^-6vTime^-0.1",0.531563857353823,34.9881276641353,0,0,5.42920776218161,1,2
"488","IPC1998","blackbox","mystery","strips-mysty-x-1",1,"D","Time","D^-6vTime^-0.1",0.629614267441121,1926.50745656975,2.61235337884669,0,1.20908977093502,0,0
"493","IPC1998","blackbox","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0,0.752107442920567,0,0.00805617749516376,0,2
"494","IPC1998","hsp","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0,0,0,0.00951637417389795,0,2
"495","IPC1998","ipp","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.475090170625012,0,0,0,1.40600084524939e-05,0,0
"496","IPC1998","stan","mystery","strips-mysty-x-11",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0,0,0,0.00049521611636592,0,2
"517","IPC1998","blackbox","mystery","strips-mysty-x-17",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0,0.884297064115248,0,0.0198888318689387,0,0
"518","IPC1998","stan","mystery","strips-mysty-x-17",1,"D","Time","D^-6vTime^-0.1",0.531563857353823,-1740.98812766385,0,0,1.63336485436214,0,0
"519","IPC1998","hsp","mystery","strips-mysty-x-17",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0,0,0,0.00507604627918073,0,2
"520","IPC1998","ipp","mystery","strips-mysty-x-17",1,"D","Time","D^-6vTime^-0.1",0.475090170625012,-20634.9881276637,0,0,1.4077904412078,0,0
"553","IPC1998","blackbox","mystery","strips-mysty-x-25",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0,0.553128216382645,0,0.000197937883086764,0,2
"554","IPC1998","ipp","mystery","strips-mysty-x-25",2,"D","Time","D^-6vTime^-0.1",0.475090170625012,104.988127663727,0,0,0.145979579418027,0,2
"555","IPC1998","stan","mystery","strips-mysty-x-25",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0,0,0,0.0707424824412274,0,2
"556","IPC1998","hsp","mystery","strips-mysty-x-25",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0,0,0,0.000390192965193932,0,0
"565","IPC1998","stan","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0,0,0,0.00121464680339502,0,2
"566","IPC1998","ipp","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.475090170625012,0,0,0,1.37081519047706e-05,0,0
"567","IPC1998","hsp","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0,0,0,0.00273777550843113,0,2
"568","IPC1998","blackbox","mystery","strips-mysty-x-28",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0,0.742314769562876,0,0.00667598198483044,0,2
"569","IPC1998","hsp","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0,0,0,0.00373497077094724,0,2
"570","IPC1998","stan","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.531563857353823,0,0,0,0.000168496197347896,0,2
"571","IPC1998","blackbox","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.629614267441121,0,0.71440227103789,0,0.00515836604200804,0,2
"572","IPC1998","ipp","mystery","strips-mysty-x-29",0,"D","Time","D^-6vTime^-0.1",0.475090170625012,0,0,0,0.000135054838623288,0,0
"573","IPC1998","hsp","mystery","strips-mysty-x-3",0,"D","Time","D^-6vTime^-0.1",0.642009773062487,0,0,0,9.14890950268671e-06,0,2
