assem-x-1, prob01.pddl, assem-x-1
assem-x-2, prob02.pddl, assem-x-2
assem-x-3, prob03.pddl, assem-x-3
assem-x-4, prob04.pddl, assem-x-4
assem-x-5, prob05.pddl, assem-x-5
assem-x-6, prob06.pddl, assem-x-6
assem-x-7, prob07.pddl, assem-x-7
assem-x-8, prob08.pddl, assem-x-8
assem-x-9, prob09.pddl, assem-x-9
assem-x-10, prob10.pddl, assem-x-10
assem-x-11, prob11.pddl, assem-x-11
assem-x-12, prob12.pddl, assem-x-12
assem-x-13, prob13.pddl, assem-x-13
assem-x-14, prob14.pddl, assem-x-14
assem-x-15, prob15.pddl, assem-x-15
assem-x-16, prob16.pddl, assem-x-16
assem-x-17, prob17.pddl, assem-x-17
assem-x-18, prob18.pddl, assem-x-18
assem-x-19, prob19.pddl, assem-x-19
assem-x-20, prob20.pddl, assem-x-20
assem-x-21, prob21.pddl, assem-x-21
assem-x-22, prob22.pddl, assem-x-22
assem-x-23, prob23.pddl, assem-x-23
assem-x-24, prob24.pddl, assem-x-24
assem-x-25, prob25.pddl, assem-x-25
assem-x-26, prob26.pddl, assem-x-26
assem-x-27, prob27.pddl, assem-x-27
assem-x-28, prob28.pddl, assem-x-28
assem-x-29, prob29.pddl, assem-x-29
assem-x-30, prob30.pddl, assem-x-30
strips-gripper-x-1, prob01.pddl, strips-gripper-x-1
strips-gripper-x-2, prob02.pddl, strips-gripper-x-2
strips-gripper-x-3, prob03.pddl, strips-gripper-x-3
strips-gripper-x-4, prob04.pddl, strips-gripper-x-4
strips-gripper-x-5, prob05.pddl, strips-gripper-x-5
strips-gripper-x-6, prob06.pddl, strips-gripper-x-6
strips-gripper-x-7, prob07.pddl, strips-gripper-x-7
strips-gripper-x-8, prob08.pddl, strips-gripper-x-8
strips-gripper-x-9, prob09.pddl, strips-gripper-x-9
strips-gripper-x-10, prob10.pddl, strips-gripper-x-10
strips-gripper-x-11, prob11.pddl, strips-gripper-x-11
strips-gripper-x-12, prob12.pddl, strips-gripper-x-12
strips-gripper-x-13, prob13.pddl, strips-gripper-x-13
strips-gripper-x-14, prob14.pddl, strips-gripper-x-14
strips-gripper-x-15, prob15.pddl, strips-gripper-x-15
