id,gn,name,hash,time,type,ind,iid,iod,idd,ixd,isd,otd,oid,ood,odd,oxd,osd,ad,bc
1_3958506,strips-log-x-11,fly-airplane_plane6_city2-3_city1-3,3958506,1,a,16,4,0,1,11,0,13,1,0,1,11,0,17,0
6_1925298,strips-log-x-11,noop_at_truck16_city2-2,1925298,6,a,32,1,0,0,31,0,32,1,0,0,31,0,33,0
8_821142,strips-log-x-11,unload-airplane_package4_plane4_city3-3,821142,8,a,246,5,0,1,240,0,242,1,0,1,240,0,247,0
3_3837243,strips-log-x-11,fly-airplane_plane3_city1-3_city2-3,3837243,3,a,36,4,0,1,31,0,33,1,0,1,31,0,37,0
4_6712838,strips-log-x-11,in_package7_truck16,6712838,4,f,28,4,0,3,21,0,28,4,0,3,21,0,32,0
7_5524693,strips-log-x-11,noop_at_package4_city1-1,5524693,7,a,205,1,0,0,204,0,205,1,0,0,204,0,206,0
3_3924671,strips-log-x-11,at_package6_city3-1,3924671,3,f,9,2,0,0,7,0,13,6,0,0,7,0,15,0
3_4691024,strips-log-x-11,load-airplane_package1_plane4_city1-3,4691024,3,a,127,5,0,1,121,0,123,1,0,1,121,0,128,0
1_5075786,strips-log-x-11,drive-truck_truck6_city2-2_city2-3_city2,5075786,1,a,18,7,0,1,10,0,12,1,0,1,10,0,19,0
8_442336,strips-log-x-11,drive-truck_truck9_city2-1_city2-2_city2,442336,8,a,58,7,0,1,50,0,52,1,0,1,50,0,59,0
4_2091201,strips-log-x-11,in_package4_truck22,2091201,4,f,39,4,0,3,32,0,39,4,0,3,32,0,43,0
7_5637275,strips-log-x-11,noop_at_truck20_city1-2,5637275,7,a,37,1,0,0,36,0,37,1,0,0,36,0,38,0
7_6620672,strips-log-x-11,in_package7_plane4,6620672,7,f,38,4,0,2,32,0,39,4,0,3,32,0,43,0
2_4363291,strips-log-x-11,drive-truck_truck13_city1-3_city1-1_city1,4363291,2,a,24,7,0,1,16,0,18,1,0,1,16,0,25,0
6_664824,strips-log-x-11,load-truck_package7_truck9_city2-2,664824,6,a,179,5,0,1,173,0,175,1,0,1,173,0,180,0
5_6665152,strips-log-x-11,unload-truck_package7_truck3_city2-2,6665152,5,a,150,5,0,1,144,0,146,1,0,1,144,0,151,0
8_3174187,strips-log-x-11,unload-truck_package5_truck14_city2-1,3174187,8,a,243,5,0,1,237,0,239,1,0,1,237,0,244,0
7_6110938,strips-log-x-11,noop_in_package4_plane5,6110938,7,a,205,1,0,0,204,0,205,1,0,0,204,0,206,0
5_7423000,strips-log-x-11,load-truck_package7_truck3_city2-2,7423000,5,a,150,5,0,1,144,0,145,1,0,0,144,0,151,0
3_3476825,strips-log-x-11,unload-truck_package3_truck7_city2-3,3476825,3,a,119,5,0,1,113,0,115,1,0,1,113,0,120,0
6_5000302,strips-log-x-11,load-truck_package5_truck1_city2-2,5000302,6,a,237,5,0,1,231,0,232,1,0,0,231,0,238,0
4_5896303,strips-log-x-11,noop_at_plane4_city2-3,5896303,4,a,30,1,0,0,29,0,30,1,0,0,29,0,31,0
4_6620671,strips-log-x-11,in_package7_plane3,6620671,4,f,27,1,0,0,26,0,28,2,0,0,26,0,29,0
4_2234024,strips-log-x-11,unload-truck_package3_truck1_city2-3,2234024,4,a,129,5,0,1,123,0,125,1,0,1,123,0,130,0
7_3129607,strips-log-x-11,load-airplane_package7_plane6_city1-3,3129607,7,a,206,5,0,1,200,0,202,1,0,1,200,0,207,0
4_6353229,strips-log-x-11,noop_at_package8_city1-3,6353229,4,a,49,1,0,0,48,0,49,1,0,0,48,0,50,0
4_4005494,strips-log-x-11,noop_city_city2,4005494,4,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
8_1343375,strips-log-x-11,drive-truck_truck13_city1-2_city1-1_city1,1343375,8,a,56,7,0,1,48,0,50,1,0,1,48,0,57,0
3_2133322,strips-log-x-11,in_package4_plane4,2133322,3,f,20,2,0,3,15,0,22,4,0,3,15,0,24,0
3_134052,strips-log-x-11,drive-truck_truck5_city2-2_city2-1_city2,134052,3,a,31,7,0,1,23,0,24,1,0,0,23,0,32,0
3_2269440,strips-log-x-11,drive-truck_truck2_city1-2_city1-3_city1,2269440,3,a,31,7,0,1,23,0,25,1,0,1,23,0,32,0
7_2697617,strips-log-x-11,in_package6_truck4,2697617,7,f,39,4,0,3,32,0,39,4,0,3,32,0,43,0
5_5070989,strips-log-x-11,unload-truck_package5_truck5_city2-3,5070989,5,a,190,5,0,1,184,0,186,1,0,1,184,0,191,0
3_2710390,strips-log-x-11,unload-truck_package1_truck13_city1-1,2710390,3,a,104,5,0,1,98,0,100,1,0,1,98,0,105,0
4_6907820,strips-log-x-11,noop_at_truck8_city3-3,6907820,4,a,21,1,0,0,20,0,21,1,0,0,20,0,22,0
8_552690,strips-log-x-11,in_package1_truck9,552690,8,f,43,4,0,3,36,0,43,4,0,3,36,0,47,0
8_5842685,strips-log-x-11,load-airplane_package6_plane4_city3-3,5842685,8,a,208,5,0,1,202,0,204,1,0,1,202,0,209,0
9_434634,strips-log-x-11,at_plane2_city2-3,434634,9,f,6,3,0,1,2,0,4,0,0,2,2,0,7,0
1_69135,strips-log-x-11,load-airplane_package1_plane1_city1-3,69135,1,a,29,5,0,1,23,0,25,1,0,1,23,0,30,0
2_5588236,strips-log-x-11,at_truck7_city2-2,5588236,2,f,7,3,0,1,3,0,10,5,0,2,3,0,13,0
8_3588455,strips-log-x-11,unload-truck_package5_truck16_city2-2,3588455,8,a,243,5,0,1,237,0,239,1,0,1,237,0,244,0
9_3859135,strips-log-x-11,at_package6_city2-1,3859135,9,f,49,13,0,0,36,0,36,0,0,0,36,0,49,0
5_1031884,strips-log-x-11,at_truck4_city3-3,1031884,5,f,6,3,0,1,2,0,17,13,0,2,2,0,20,0
6_2109018,strips-log-x-11,load-airplane_package2_plane6_city1-3,2109018,6,a,140,5,0,1,134,0,136,1,0,1,134,0,141,0
3_5684264,strips-log-x-11,unload-truck_package7_truck16_city2-3,5684264,3,a,117,5,0,1,111,0,113,1,0,1,111,0,118,0
1_65780,strips-log-x-11,at_package7_city2-1,65780,1,f,4,1,0,1,2,0,18,14,0,2,2,0,19,0
7_6499400,strips-log-x-11,load-truck_package1_truck8_city3-3,6499400,7,a,234,5,0,1,228,0,229,1,0,0,228,0,235,0
8_3048929,strips-log-x-11,noop_at_truck9_city2-3,3048929,8,a,35,1,0,0,34,0,35,1,0,0,34,0,36,0
7_6298571,strips-log-x-11,in_package5_truck16,6298571,7,f,42,4,0,2,36,0,43,4,0,3,36,0,47,0
8_3868826,strips-log-x-11,in_package5_truck4,3868826,8,f,43,4,0,3,36,0,43,4,0,3,36,0,47,0
3_7976340,strips-log-x-11,load-airplane_package4_plane5_city2-3,7976340,3,a,144,5,0,1,138,0,140,1,0,1,138,0,145,0
7_1890908,strips-log-x-11,unload-truck_package7_truck17_city2-2,1890908,7,a,203,5,0,1,197,0,199,1,0,1,197,0,204,0
1_45719,strips-log-x-11,noop_truck_truck19,45719,1,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
4_814794,strips-log-x-11,fly-airplane_plane3_city2-3_city1-3,814794,4,a,44,4,0,1,39,0,41,1,0,1,39,0,45,0
2_4279466,strips-log-x-11,drive-truck_truck6_city2-1_city2-2_city2,4279466,2,a,21,7,0,1,13,0,15,1,0,1,13,0,22,0
4_5570908,strips-log-x-11,unload-truck_package4_truck11_city3-2,5570908,4,a,160,5,0,1,154,0,156,1,0,1,154,0,161,0
1_2919733,strips-log-x-11,in_package8_truck20,2919733,1,f,6,1,0,0,5,0,7,2,0,0,5,0,8,0
8_3475099,strips-log-x-11,unload-truck_package2_truck11_city3-1,3475099,8,a,205,5,0,1,199,0,201,1,0,1,199,0,206,0
2_2642576,strips-log-x-11,noop_location_city1-1,2642576,2,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
4_451484,strips-log-x-11,drive-truck_truck20_city1-2_city1-1_city1,451484,4,a,37,7,0,1,29,0,31,1,0,1,29,0,38,0
8_5668421,strips-log-x-11,unload-truck_package7_truck21_city2-2,5668421,8,a,221,5,0,1,215,0,217,1,0,1,215,0,222,0
6_3096137,strips-log-x-11,at_package2_city3-1,3096137,6,f,26,6,0,5,15,0,26,6,0,5,15,0,32,0
8_1623587,strips-log-x-11,noop_in_package1_plane4,1623587,8,a,205,1,0,0,204,0,205,1,0,0,204,0,206,0
1_6547187,strips-log-x-11,noop_at_truck19_city2-2,6547187,1,a,10,1,0,0,9,0,10,1,0,0,9,0,11,0
6_7519989,strips-log-x-11,load-truck_package6_truck8_city3-3,7519989,6,a,128,5,0,1,122,0,124,1,0,1,122,0,129,0
0_748032,strips-log-x-11,noop_at_truck10_city3-1,748032,0,a,2,0,0,0,2,0,3,1,0,0,2,0,3,0
8_3697658,strips-log-x-11,load-truck_package4_truck12_city2-3,3697658,8,a,240,5,0,1,234,0,236,1,0,1,234,0,241,0
2_1837096,strips-log-x-11,noop_obj_package2,1837096,2,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
7_2524710,strips-log-x-11,unload-truck_package4_truck21_city2-3,2524710,7,a,234,5,0,1,228,0,230,1,0,1,228,0,235,0
8_6675230,strips-log-x-11,noop_in_package6_truck2,6675230,8,a,167,1,0,0,166,0,167,1,0,0,166,0,168,0
5_5570908,strips-log-x-11,unload-truck_package4_truck11_city3-2,5570908,5,a,194,5,0,1,188,0,190,1,0,1,188,0,195,0
8_3626655,strips-log-x-11,unload-airplane_package7_plane3_city3-3,3626655,8,a,224,5,0,1,218,0,219,1,0,0,218,0,225,0
8_5286002,strips-log-x-11,unload-truck_package3_truck15_city2-2,5286002,8,a,221,5,0,1,215,0,217,1,0,1,215,0,222,0
7_3687837,strips-log-x-11,drive-truck_truck5_city2-2_city2-3_city2,3687837,7,a,55,7,0,1,47,0,49,1,0,1,47,0,56,0
4_1373823,strips-log-x-11,drive-truck_truck15_city2-2_city2-1_city2,1373823,4,a,37,7,0,1,29,0,31,1,0,1,29,0,38,0
1_4435791,strips-log-x-11,obj_package3,4435791,1,f,1,1,0,0,0,0,18,18,0,0,0,0,19,0
8_2674593,strips-log-x-11,load-truck_package2_truck4_city3-3,2674593,8,a,202,5,0,1,196,0,198,1,0,1,196,0,203,0
4_6758421,strips-log-x-11,at_package1_city1-2,6758421,4,f,36,4,0,0,32,0,37,5,0,0,32,0,41,0
7_5470287,strips-log-x-11,in_package1_truck20,5470287,7,f,43,4,0,3,36,0,43,4,0,3,36,0,47,0
6_1054126,strips-log-x-11,unload-truck_package1_truck5_city2-2,1054126,6,a,237,5,0,1,231,0,233,1,0,1,231,0,238,0
3_985353,strips-log-x-11,drive-truck_truck20_city1-1_city1-3_city1,985353,3,a,31,7,0,1,23,0,25,1,0,1,23,0,32,0
8_7021546,strips-log-x-11,drive-truck_truck4_city3-3_city3-1_city3,7021546,8,a,58,7,0,1,50,0,52,1,0,1,50,0,59,0
