id,name,hash,time,ind,otd,ad,bc
0_7347850,in-city_city10-2_city10,7347850,0,0,3,3,0
1_2937985,noop_in-city_city10-2_city10,2937985,1,1,1,2,0
1_7656764,drive-truck_truck10_city10-1_city10-2_city10,7656764,1,9,7,16,0
0_5132250,location_city4-1,5132250,0,0,3,3,0
1_2839184,noop_location_city4-1,2839184,1,1,1,2,0
1_4013645,drive-truck_truck4_city4-1_city4-2_city4,4013645,1,8,5,13,0
0_6497300,city_city9,6497300,0,0,3,3,0
1_4005501,noop_city_city9,4005501,1,1,1,2,0
1_5227117,drive-truck_truck9_city9-1_city9-2_city9,5227117,1,8,5,13,0
0_5132251,location_city4-2,5132251,0,0,3,3,0
1_2839185,noop_location_city4-2,2839185,1,1,1,2,0
0_1988052,in-city_city4-1_city4,1988052,0,0,3,3,0
1_7198704,noop_in-city_city4-1_city4,7198704,1,1,1,2,0
0_6461254,at_truck9_city9-1,6461254,0,0,2,2,0
1_3507679,noop_at_truck9_city9-1,3507679,1,2,4,6,0
0_323304,airport_city4-2,323304,0,0,73,73,0
1_1627007,noop_airport_city4-2,1627007,1,1,1,2,0
1_6883250,fly-airplane_plane1_city6-2_city4-2,6883250,1,13,105,118,0
1_799939,fly-airplane_plane2_city3-2_city4-2,799939,1,14,106,120,0
1_6022145,fly-airplane_plane3_city7-2_city4-2,6022145,1,14,106,120,0
1_2895747,fly-airplane_plane4_city3-2_city4-2,2895747,1,14,106,120,0
0_7586955,at_package5_city1-2,7586955,0,0,6,6,0
1_1731339,noop_at_package5_city1-2,1731339,1,1,6,7,0
0_5781406,in-city_city3-1_city3,5781406,0,0,3,3,0
1_2991081,noop_in-city_city3-1_city3,2991081,1,1,1,2,0
1_5371146,drive-truck_truck3_city3-1_city3-2_city3,5371146,1,8,6,14,0
0_6823957,at_package1_city2-2,6823957,0,0,6,6,0
1_968341,noop_at_package1_city2-2,968341,1,1,6,7,0
0_1642757,at_truck6_city6-1,1642757,0,0,2,2,0
1_6690159,noop_at_truck6_city6-1,6690159,1,2,4,6,0
1_1298643,drive-truck_truck6_city6-1_city6-2_city6,1298643,1,8,5,13,0
0_5328858,location_city7-1,5328858,0,0,3,3,0
1_3035792,noop_location_city7-1,3035792,1,1,1,2,0
1_7942119,drive-truck_truck7_city7-1_city7-2_city7,7942119,1,8,6,14,0
0_5328859,location_city7-2,5328859,0,0,9,9,0
1_3035793,noop_location_city7-2,3035793,1,1,1,2,0
1_7889752,load-airplane_package4_plane3_city7-2,7889752,1,15,111,126,0
0_7303760,at_package3_city3-2,7303760,0,0,6,6,0
1_1448144,noop_at_package3_city3-2,1448144,1,3,10,13,0
1_6416259,load-airplane_package3_plane2_city3-2,6416259,1,16,113,129,0
1_6830526,load-airplane_package3_plane4_city3-2,6830526,1,16,113,129,0
0_3557810,in-city_city3-2_city3,3557810,0,0,3,3,0
1_767485,noop_in-city_city3-2_city3,767485,1,1,1,2,0
0_3715160,airplane_plane1,3715160,0,0,95,95,0
1_5018863,noop_airplane_plane1,5018863,1,1,1,2,0
1_7079858,fly-airplane_plane1_city6-2_city7-2,7079858,1,13,105,118,0
1_6817714,fly-airplane_plane1_city6-2_city3-2,6817714,1,13,105,118,0
1_6752178,fly-airplane_plane1_city6-2_city2-2,6752178,1,13,105,118,0
1_7210930,fly-airplane_plane1_city6-2_city9-2,7210930,1,13,105,118,0
1_6948786,fly-airplane_plane1_city6-2_city5-2,6948786,1,13,105,118,0
1_6686642,fly-airplane_plane1_city6-2_city1-2,6686642,1,13,105,118,0
1_7767629,fly-airplane_plane1_city6-2_city10-2,7767629,1,13,105,118,0
1_7145394,fly-airplane_plane1_city6-2_city8-2,7145394,1,13,105,118,0
0_3715161,airplane_plane2,3715161,0,0,96,96,0
1_5018864,noop_airplane_plane2,5018864,1,1,1,2,0
1_996547,fly-airplane_plane2_city3-2_city7-2,996547,1,14,106,120,0
1_931011,fly-airplane_plane2_city3-2_city6-2,931011,1,14,106,120,0
1_668867,fly-airplane_plane2_city3-2_city2-2,668867,1,14,106,120,0
1_1127619,fly-airplane_plane2_city3-2_city9-2,1127619,1,14,106,120,0
1_865475,fly-airplane_plane2_city3-2_city5-2,865475,1,14,106,120,0
1_603331,fly-airplane_plane2_city3-2_city1-2,603331,1,14,106,120,0
1_2629551,fly-airplane_plane2_city3-2_city10-2,2629551,1,14,106,120,0
1_1062083,fly-airplane_plane2_city3-2_city8-2,1062083,1,14,106,120,0
0_7104561,city_city10,7104561,0,0,3,3,0
1_1281200,noop_city_city10,1281200,1,1,1,2,0
0_519912,airport_city7-2,519912,0,0,73,73,0
1_1823615,noop_airport_city7-2,1823615,1,1,1,2,0
1_5956609,fly-airplane_plane3_city7-2_city3-2,5956609,1,14,106,120,0
1_6153217,fly-airplane_plane3_city7-2_city6-2,6153217,1,14,106,120,0
1_5891073,fly-airplane_plane3_city7-2_city2-2,5891073,1,14,106,120,0
1_6349825,fly-airplane_plane3_city7-2_city9-2,6349825,1,14,106,120,0
1_6087681,fly-airplane_plane3_city7-2_city5-2,6087681,1,14,106,120,0
1_5825537,fly-airplane_plane3_city7-2_city1-2,5825537,1,14,106,120,0
1_3351128,fly-airplane_plane3_city7-2_city10-2,3351128,1,14,106,120,0
1_6284289,fly-airplane_plane3_city7-2_city8-2,6284289,1,14,106,120,0
1_3092355,fly-airplane_plane4_city3-2_city7-2,3092355,1,14,106,120,0
0_3715162,airplane_plane3,3715162,0,0,96,96,0
1_5018865,noop_airplane_plane3,5018865,1,1,1,2,0
0_7024213,in-city_city9-1_city9,7024213,0,0,3,3,0
1_4233888,noop_in-city_city9-1_city9,4233888,1,1,1,2,0
0_3715163,airplane_plane4,3715163,0,0,96,96,0
1_5018866,noop_airplane_plane4,5018866,1,1,1,2,0
1_3026819,fly-airplane_plane4_city3-2_city6-2,3026819,1,14,106,120,0
1_2764675,fly-airplane_plane4_city3-2_city2-2,2764675,1,14,106,120,0
1_3223427,fly-airplane_plane4_city3-2_city9-2,3223427,1,14,106,120,0
1_2961283,fly-airplane_plane4_city3-2_city5-2,2961283,1,14,106,120,0
1_2699139,fly-airplane_plane4_city3-2_city1-2,2699139,1,14,106,120,0
1_3090940,fly-airplane_plane4_city3-2_city10-2,3090940,1,14,106,120,0
1_3157891,fly-airplane_plane4_city3-2_city8-2,3157891,1,14,106,120,0
0_7351164,in-city_city2-2_city2,7351164,0,0,3,3,0
1_4560839,noop_in-city_city2-2_city2,4560839,1,1,1,2,0
1_6728647,drive-truck_truck2_city2-1_city2-2_city2,6728647,1,8,6,14,0
0_5066714,location_city3-1,5066714,0,0,3,3,0
1_2773648,noop_location_city3-1,2773648,1,1,1,2,0
0_5915915,at_truck7_city7-1,5915915,0,0,2,2,0
1_2962340,noop_at_truck7_city7-1,2962340,1,2,5,7,0
