id,gn,name,hash,time,type,ind,iid,iod,idd,ixd,isd,otd,oid,ood,odd,oxd,osd,ad,bc
4_6814600,strips-mprime-x-11,succumb_hangover_lubricity_cherry_uranus_saturn,6814600,4,a,226,7,0,2,217,0,219,2,0,0,217,0,228,0
5_1780638,strips-mprime-x-11,overcome_laceration_lubricity_sweetroll_neptune_uranus,1780638,5,a,341,9,0,2,330,0,334,2,0,2,330,0,343,0
5_3401799,strips-mprime-x-11,overcome_hangover_lubricity_pistachio_uranus_saturn,3401799,5,a,338,9,0,2,327,0,331,2,0,2,327,0,340,0
1_5720469,strips-mprime-x-11,noop_food_pear,5720469,1,a,1,1,0,0,0,0,1,1,0,0,0,0,2,0
4_1278210,strips-mprime-x-11,feast_lubricity_tomato_chicken_alsace_quebec,1278210,4,a,233,7,0,2,224,0,228,2,0,2,224,0,235,0
6_4017634,strips-mprime-x-11,drink_chicken_tomato_manitoba_surrey_bosnia_alsace_quebec,4017634,6,a,133,5,0,2,126,0,130,2,0,2,126,0,135,0
3_3621439,strips-mprime-x-11,overcome_hangover_lubricity_chicken_neptune_uranus,3621439,3,a,158,9,0,2,147,0,151,2,0,2,147,0,160,0
4_5631791,strips-mprime-x-11,pain_loneliness,5631791,4,f,1,1,0,0,0,0,19,19,0,0,0,0,20,0
1_1052947,strips-mprime-x-11,drink_pear_pistachio_bosnia_quebec_alsace_surrey_manitoba,1052947,1,a,59,5,0,2,52,0,56,2,0,2,52,0,61,0
3_1616886,strips-mprime-x-11,drink_sweetroll_shrimp_bosnia_quebec_alsace_surrey_manitoba,1616886,3,a,90,5,0,2,83,0,87,2,0,2,83,0,92,0
2_7051227,strips-mprime-x-11,drink_pistachio_chicken_surrey_bosnia_quebec_manitoba_kentucky,7051227,2,a,99,5,0,2,92,0,96,2,0,2,92,0,101,0
6_45740,strips-mprime-x-11,drink_shrimp_cherry_surrey_bosnia_quebec_manitoba_kentucky,45740,6,a,138,5,0,2,131,0,135,2,0,2,131,0,140,0
3_7954530,strips-mprime-x-11,eats_pistachio_bacon,7954530,3,f,1,1,0,0,0,0,6,6,0,0,0,0,7,0
7_953300,strips-mprime-x-11,craves_sciatica_pistachio,953300,7,f,57,2,0,0,55,0,55,0,0,0,55,0,57,0
