id,name,hash,time,ind,otd,ad,bc
0_3046200,locale_tofu_manitoba,3046200,0,0,1,1,0
1_191203,noop_locale_tofu_manitoba,191203,1,1,1,2,0
0_918250,pain_boils,918250,0,0,3,3,0
1_6427428,noop_pain_boils,6427428,1,1,1,2,0
1_5715987,overcome_boils_lubricity_lemon_saturn_earth,5715987,1,14,23,37,0
0_3715801,orbits_saturn_earth,3715801,0,0,13,13,0
1_5861162,noop_orbits_saturn_earth,5861162,1,1,1,2,0
1_5592600,overcome_sciatica_aesthetics_bacon_saturn_earth,5592600,1,13,19,32,0
1_1277058,overcome_laceration_stimulation_lamb_saturn_earth,1277058,1,13,25,38,0
0_2289801,eats_haroset_lobster,2289801,0,0,4,4,0
1_7435781,noop_eats_haroset_lobster,7435781,1,1,1,2,0
1_7135015,feast_love_haroset_lobster_bavaria_manitoba,7135015,1,12,31,43,0
0_137551,eats_ham_lemon,137551,0,0,2,2,0
1_923989,noop_eats_ham_lemon,923989,1,1,1,2,0
0_7563751,eats_cantelope_lemon,7563751,0,0,1,1,0
1_4708754,noop_eats_cantelope_lemon,4708754,1,1,1,2,0
0_3344601,craves_loneliness_tofu,3344601,0,0,1,1,0
1_1108354,noop_craves_loneliness_tofu,1108354,1,1,1,2,0
0_2247302,craves_entertainment_lobster,2247302,0,0,5,5,0
1_937738,noop_craves_entertainment_lobster,937738,1,3,13,16,0
1_5347858,feast_entertainment_lobster_haroset_bavaria_manitoba,5347858,1,11,23,34,0
1_7467054,feast_entertainment_lobster_bacon_bavaria_manitoba,7467054,1,11,23,34,0
1_2432615,overcome_grief_entertainment_lobster_vulcan_uranus,2432615,1,13,23,36,0
0_4569802,eats_haroset_lamb,4569802,0,0,4,4,0
1_1616227,noop_eats_haroset_lamb,1616227,1,1,1,2,0
1_5112850,feast_love_haroset_lamb_bavaria_manitoba,5112850,1,12,31,43,0
0_4730552,eats_beef_lemon,4730552,0,0,3,3,0
1_6034255,noop_eats_beef_lemon,6034255,1,1,1,2,0
0_6188452,food_ham,6188452,0,0,6,6,0
1_1903589,noop_food_ham,1903589,1,1,1,2,0
1_6955647,feast_lubricity_lemon_ham_bavaria_manitoba,6955647,1,12,21,33,0
0_7461953,craves_anger_flounder,7461953,0,0,2,2,0
1_4671628,noop_craves_anger_flounder,4671628,1,1,2,3,0
0_4138703,eats_wonderbread_marzipan,4138703,0,0,1,1,0
1_2516280,noop_eats_wonderbread_marzipan,2516280,1,1,1,2,0
0_2200903,pleasure_love,2200903,0,0,17,17,0
1_1016330,noop_pleasure_love,1016330,1,1,1,2,0
